curie,label,retrieved_at
ENVO:03600010,membrane bioreactor,2025-10-19T07:20:44.033998
ENVO:01000155,organic material,2025-10-19T07:20:44.049391
ENVO:01001862,Solar radiation,2025-10-19T07:20:48.128270
ENVO:2000034,geothermal energy,2025-10-19T07:20:48.128709
ENVO:02000091,coal,2025-10-19T07:20:48.130074
ENVO:01000552,natural gas,2025-10-19T07:20:48.130484
ENVO:00002984,petroleum,2025-10-19T07:20:48.130898
ENVO:03510006,diesel fuel,2025-10-19T07:20:48.131379
ENVO:01000553,liquefied petroleum gas,2025-10-19T07:20:48.131638
ENVO:01000415,fine respirable suspended particulate matter,2025-10-19T07:20:48.777318
ENVO:01000405,respirable suspended particulate matter,2025-10-19T07:20:48.777792
ENVO:01000416,ultrafine respirable suspended particulate matter,2025-10-19T07:20:48.778019
ENVO:00002116,contaminated soil,2025-10-19T07:20:48.793839
ENVO:03501332,occupational environment,2025-10-19T07:20:48.794188
ENVO:01000944,microplastic particle,2025-10-19T07:20:48.797415
ENVO:00000284,quarry,2025-10-19T07:20:48.885588
ENVO:01001441,opencast mining,2025-10-19T07:20:48.886360
ENVO:01001204,alluvial deposit,2025-10-19T07:20:48.887034
ENVO:00002053,limestone,2025-10-19T07:20:48.910384
ENVO:02500039,water pollution,2025-10-19T07:20:48.915387
ENVO:02500037,air pollution,2025-10-19T07:20:48.915716
ENVO:02500012,deforestation,2025-10-19T07:20:48.915938
ENVO:01001346,erosion,2025-10-19T07:20:48.916466
ENVO:00001997,acid mine drainage,2025-10-19T07:20:48.916991
ENVO:01001069,metallic material,2025-10-19T07:20:50.020025
ENVO:03501307,ceramic,2025-10-19T07:20:50.020807
ENVO:06105005,thermoset polymer,2025-10-19T07:20:50.024438
