curie,label,retrieved_at
EDAM:3673,,2025-10-19T07:17:16.984015
EDAM:3676,,2025-10-19T07:17:16.984817
EDAM:3170,,2025-10-19T07:17:16.985036
EDAM:3837,,2025-10-19T07:17:16.985221
EDAM:4028,,2025-10-19T07:17:16.985392
EDAM:3169,,2025-10-19T07:17:16.985557
EDAM:1929,,2025-10-19T07:17:16.985744
EDAM:format_1930xxxJUNK,,2025-10-19T07:17:16.986318
EDAM:2573,,2025-10-19T07:17:16.986567
EDAM:2572,,2025-10-19T07:17:16.986820
EDAM:3016,,2025-10-19T07:17:16.987035
EDAM:3020,,2025-10-19T07:17:16.987219
EDAM:3284,,2025-10-19T07:17:16.987401
EDAM:format_1930,FASTQ,2025-10-19T07:17:30.346205
EDAM:format_3579,JPG,2025-10-19T07:20:45.414385
EDAM:format_3603,PNG,2025-10-19T07:20:45.414975
EDAM:format_3467,GIF,2025-10-19T07:20:45.415378
EDAM:format_3592,BMP,2025-10-19T07:20:45.415598
EDAM:format_3591,TIFF,2025-10-19T07:20:45.415786
EDAM:format_3604,SVG,2025-10-19T07:20:45.415965
EDAM:format_3508,PDF,2025-10-19T07:20:45.416157
EDAM:format_1964,plain text format (unformatted),2025-10-19T07:20:45.416531
EDAM:format_3817,latex,2025-10-19T07:20:45.416965
EDAM:format_2331,HTML,2025-10-19T07:20:45.417319
EDAM:format_2332,XML,2025-10-19T07:20:45.417523
EDAM:format_3464,JSON,2025-10-19T07:20:45.417728
EDAM:format_3752,CSV,2025-10-19T07:20:45.418046
EDAM:format_3475,TSV,2025-10-19T07:20:45.418233
EDAM:format_3750,YAML,2025-10-19T07:20:45.418409
EDAM:format_3590,HDF5,2025-10-19T07:20:45.418578
EDAM:format_3650,NetCDF,2025-10-19T07:20:45.418793
EDAM:3678,,2025-10-19T07:20:50.647670
EDAM:topic_3673,Whole genome sequencing,2025-10-19T07:26:22.830242
EDAM:topic_3676,Exome sequencing,2025-10-19T07:26:22.832973
EDAM:topic_3170,RNA-Seq,2025-10-19T07:26:22.841295
EDAM:topic_3837,Metagenomic sequencing,2025-10-19T07:26:22.847338
EDAM:topic_4028,Single-cell sequencing,2025-10-19T07:26:22.849373
EDAM:topic_3656,Immunoprecipitation experiment,2025-10-19T07:26:22.862859
EDAM:format_1929,FASTA,2025-10-19T07:26:22.881202
EDAM:format_2573,SAM,2025-10-19T07:26:22.882665
EDAM:format_2572,BAM,2025-10-19T07:26:22.883066
EDAM:format_3016,VCF,2025-10-19T07:26:22.883618
EDAM:format_3020,BCF,2025-10-19T07:26:22.883945
EDAM:format_3284,SFF,2025-10-19T07:26:22.884400
EDAM:topic_3678,Experimental design and studies,2025-10-19T07:42:35.222990
