A,B,C,S,y
0,0,0,0,10
0,0,0,1,47
0,0,0,2,1
0,0,0,3,33
0,0,0,4,74
0,0,0,5,24
0,0,0,6,3
0,0,0,7,15
0,0,0,8,6
0,0,0,9,88
0,0,0,10,72
0,0,0,11,61
0,0,1,0,47
0,0,1,1,88
0,0,1,2,8
0,0,1,3,3
0,0,1,4,2
0,0,1,5,76
0,0,1,6,90
0,0,1,7,67
0,0,1,8,89
0,0,1,9,25
0,0,1,10,67
0,0,1,11,28
0,0,2,0,35
0,0,2,1,89
0,0,2,2,68
0,0,2,3,95
0,0,2,4,45
0,0,2,5,61
0,0,2,6,64
0,0,2,7,55
0,0,2,8,12
0,0,2,9,31
0,0,2,10,93
0,0,2,11,21
0,0,3,0,64
0,0,3,1,0
0,0,3,2,84
0,0,3,3,81
0,0,3,4,77
0,0,3,5,0
0,0,3,6,84
0,0,3,7,11
0,0,3,8,86
0,0,3,9,1
0,0,3,10,92
0,0,3,11,7
0,0,4,0,24
0,0,4,1,26
0,0,4,2,27
0,0,4,3,79
0,0,4,4,29
0,0,4,5,10
0,0,4,6,99
0,0,4,7,18
0,0,4,8,55
0,0,4,9,42
0,0,4,10,41
0,0,4,11,62
0,1,0,0,53
0,1,0,1,58
0,1,0,2,60
0,1,0,3,0
0,1,0,4,36
0,1,0,5,55
0,1,0,6,16
0,1,0,7,12
0,1,0,8,84
0,1,0,9,8
0,1,0,10,94
0,1,0,11,68
0,1,1,0,58
0,1,1,1,6
0,1,1,2,47
0,1,1,3,58
0,1,1,4,93
0,1,1,5,84
0,1,1,6,22
0,1,1,7,82
0,1,1,8,35
0,1,1,9,61
0,1,1,10,61
0,1,1,11,75
0,1,2,0,46
0,1,2,1,10
0,1,2,2,32
0,1,2,3,95
0,1,2,4,15
0,1,2,5,48
0,1,2,6,24
0,1,2,7,35
0,1,2,8,40
0,1,2,9,71
0,1,2,10,35
0,1,2,11,88
0,1,3,0,33
0,1,3,1,52
0,1,3,2,64
0,1,3,3,56
0,1,3,4,73
0,1,3,5,80
0,1,3,6,62
0,1,3,7,65
0,1,3,8,20
0,1,3,9,90
0,1,3,10,50
0,1,3,11,12
0,1,4,0,73
0,1,4,1,13
0,1,4,2,35
0,1,4,3,80
0,1,4,4,10
0,1,4,5,34
0,1,4,6,34
0,1,4,7,32
0,1,4,8,27
0,1,4,9,87
0,1,4,10,95
0,1,4,11,77
0,2,0,0,72
0,2,0,1,79
0,2,0,2,63
0,2,0,3,66
0,2,0,4,33
0,2,0,5,48
0,2,0,6,50
0,2,0,7,28
0,2,0,8,73
0,2,0,9,74
0,2,0,10,85
0,2,0,11,18
0,2,1,0,75
0,2,1,1,82
0,2,1,2,0
0,2,1,3,19
0,2,1,4,38
0,2,1,5,39
0,2,1,6,99
0,2,1,7,96
0,2,1,8,55
0,2,1,9,9
0,2,1,10,34
0,2,1,11,53
0,2,2,0,22
0,2,2,1,69
0,2,2,2,16
