X,_IND,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99
3.56000,0,-2.56056,-13.23770,-28.12639,-51.39018,-85.70217,-130.16402,-179.56557,-223.48873,-248.94449,-245.94815,-212.10654,-157.05816,-98.48096,-56.10440,-43.49342,-62.41640,-104.24581,-154.16332,-199.13233,-231.77861,-251.01106,-260.13632,-263.41691,-264.19201,-263.96450,-262.86494,-260.64938,-257.39540,-253.33896,-248.34702,-241.70309,-232.47933,-220.20851,-205.55265,-189.90616,-174.87989,-161.41285,-149.31671,-137.43847,-124.50927,-110.14047,-94.99027,-80.12807,-66.04084,-52.35180,-38.11040,-22.47331,-5.15783,13.30011,31.84946,49.49446,65.91021,81.69578,97.93657,115.43997,134.13265,153.28964,172.08496,190.01595,206.70911,221.65725,234.41534,244.82092,253.11826,259.90991,265.80604,271.26390,276.38223,280.76552,283.57303,284.03247,281.85815,277.40393,271.46735,264.60550,256.99865,248.70990,239.83676,230.37411,220.08290,208.67313,196.10260,182.74937,169.24639,156.23741,144.10296,132.74880,121.74563,110.66591,99.57080,89.17226,80.39262,73.45392,67.58853,61.30818,53.29379,43.03865,31.05161,18.85767,8.44196
3.56000,0,-2.25039,-12.59488,-29.37295,-59.93405,-108.03854,-170.11932,-232.95558,-276.42663,-281.81411,-243.86539,-175.12141,-101.30674,-49.83765,-38.57562,-69.91676,-131.66188,-202.85578,-263.66479,-301.80461,-314.83188,-308.48311,-292.66413,-276.87798,-266.64178,-262.54217,-262.11042,-262.57390,-262.50630,-261.50800,-258.91133,-253.23403,-243.01044,-228.14612,-210.46990,-192.84329,-177.48919,-164.83615,-153.56705,-141.84323,-128.55648,-113.75626,-98.19113,-82.56215,-67.07822,-51.40543,-34.90034,-17.06613,1.88242,20.80907,38.22961,53.38078,67.01492,81.11555,97.66637,117.39541,139.36256,161.57758,182.05771,199.70908,214.58687,227.35307,238.56240,248.32630,256.54862,263.34001,269.17133,274.59172,279.79086,284.40916,287.65180,288.61721,286.71440,282.02836,275.34382,267.64204,259.56329,251.11144,241.85586,231.44430,219.87217,207.35707,194.18504,180.79830,167.76743,155.52405,144.10356,133.12357,122.02274,110.56023,99.20040,88.80244,79.77613,71.70776,63.83850,55.75376,47.53071,39.28728,30.78133,21.70901,12.55024
5.20000,0,3.31639,-12.02410,-36.83138,-75.91121,-129.19665,-190.12991,-246.49103,-283.90560,-291.08381,-264.71109,-211.64073,-147.12121,-89.77111,-55.55235,-53.16931,-82.37405,-135.30282,-199.81944,-263.34704,-315.93881,-351.97656,-370.45641,-374.16105,-368.14539,-357.97478,-348.13867,-341.01855,-336.65485,-333.30785,-328.51157,-320.12123,-306.93251,-288.77777,-266.30905,-240.72846,-213.56053,-186.40904,-160.64303,-137.05836,-115.65852,-95.71834,-76.18458,-56.25464,-35.80334,-15.37811,4.23415,22.57506,39.86978,57.00162,75.17738,95.48718,118.53634,144.23489,171.79057,199.92416,227.24519,252.62438,275.40075,295.38443,312.73394,327.81023,341.07321,353.04917,364.34040,375.55984,387.09134,398.79669,409.92443,419.33168,425.89556,428.89885,428.22673,424.32554,417.99197,410.10568,401.36968,392.08085,381.98022,370.29073,356.02842,338.50403,317.77463,294.82028,271.32935,249.11132,229.35502,212.13414,196.48942,181.03478,164.70396,147.22427,129.10967,111.24905,94.39296,78.84131,64.42843,50.75360,37.55518,25.05970,14.07178
5.20000,0,4.08328,-2.70486,-19.19918,-52.19141,-103.91244,-169.79183,-238.28828,-293.46215,-320.09526,-309.69758,-264.69185,-198.48410,-131.05237,-82.02798,-64.43649,-81.60709,-127.84023,-191.66248,-259.88016,-320.97937,-367.16218,-395.00165,-405.09313,-401.10667,-388.44177,-372.62195,-357.78555,-345.78074,-336.17618,-327.08048,-316.28562,-302.19308,-284.22941,-262.77355,-238.82676,-213.65345,-188.47291,-164.21178,-141.34156,-119.84746,-99.37335,-79.50311,-60.04360,-41.14332,-23.14038,-6.21327,9.91538,26.02095,43.14440,62.22304,83.77081,107.71900,133.44637,159.97649,186.25029,211.37987,234.82633,256.44327,276.37231,294.84318,311.97723,327.70175,341.81045,354.09869,364.49559,373.13069,380.29159,386.28872,391.28769,395.19557,397.67669,398.28703,396.64774,392.57834,386.13520,377.56142,367.17434,355.21102,341.69303,326.41626,309.13827,289.91695,269.38460,248.69853,229.10006,211.28815,195.02789,179.36125,163.30375,146.45648,129.09098,111.80018,95.12826,79.38701,64.60888,50.63137,37.35143,25.01347,14.29581,6.05287
7.00000,0,7.75651,-6.06390,-31.39519,-72.40831,-131.56566,-205.03033,-285.99784,-363.61079,-425.96938,-462.86551,-465.69891,-436.01260,-379.59207,-306.80442,-232.48907,-169.16495,-127.85587,-111.97119,-121.12640,-152.19959,-197.12759,-248.81614,-300.33006,-346.05038,-382.18406,-405.71543,-416.82070,-416.44198,-406.23858,-389.77187,-369.96880,-349.32469,-329.44543,-310.74631,-292.78941,-274.53967,-255.01971,-233.42313,-209.72989,-184.31104,-157.85044,-131.24513,-105.13037,-79.89029,-55.42608,-31.40160,-7.29394,17.41980,43.12770,70.11237,98.27315,127.37974,157.05304,186.73920,215.90468,243.94543,270.47999,295.22182,317.92827,338.77585,357.95117,375.63002,392.14810,407.65950,422.14566,435.59159,447.84542,458.61357,467.75654,475.05207,480.14317,482.96477,483.39080,481.21398,476.60510,469.62343,460.20115,448.55040,434.72584,418.65681,400.57155,380.63469,359.04082,336.30464,312.89080,289.23416,265.62843,242.11317,218.55576,194.83917,171.03185,147.46309,124.57556,102.79175,82.54551,63.99299,47.33245,32.92286,20.87838,11.39707
7.00000,0,11.74965,-2.95263,-33.71053,-86.74382,-163.19813,-257.31296,-358.43547,-450.84786,-518.27130,-547.05212,-533.07780,-477.35893,-393.76474,-299.30080,-212.88783,-149.06085,-118.20782,-120.89401,-152.73558,-205.93787,-269.43068,-333.75845,-390.92284,-435.73340,-464.80772,-478.94204,-479.61717,-470.60231,-456.00648,-439.25601,-422.82398,-407.53824,-392.83767,-377.36653,-359.42395,-338.05727,-312.79549,-284.02953,-252.81518,-220.24289,-187.46734,-155.22307,-123.86663,-93.36468,-63.59171,-34.34808,-5.57611,22.68323,50.42384,77.69085,104.71721,131.81467,159.30097,187.30301,215.72809,244.16093,271.98576,298.40280,322.81609,344.63578,363.67517,380.05850,393.96652,406.02700,416.69882,426.43663,435.49893,443.79244,451.06111,456.78000,460.38545,461.50082,459.64254,454.85954,447.12989,436.54309,423.36843,407.59279,389.46690,369.15614,346.96147,323.51710,299.54110,275.89063,253.26237,232.09101,212.26343,193.45256,175.14089,156.98155,138.88611,120.96850,103.44990,86.53603,70.40120,55.30775,41.43311,29.11695,18.67348,10.31608
9.49000,0,-1.93109,-53.82756,-112.54614,-178.91596,-252.25600,-329.99618,-407.64742,-479.19573,-537.13887,-575.41799,-589.59332,-577.78069,-541.15274,-483.88135,-412.54701,-335.21743,-260.45395,-194.98980,-143.46578,-108.14654,-89.04361,-84.37096,-91.43019,-106.34235,-125.73435,-146.85293,-167.61299,-186.58511,-202.87855,-215.87800,-225.34322,-231.13126,-233.09028,-231.08266,-225.00149,-214.80344,-200.44199,-182.16928,-160.38219,-135.54012,-108.19397,-78.94446,-48.39810,-17.12529,14.32818,45.52023,76.09871,105.78712,134.38458,161.77020,187.88757,212.81348,236.74836,259.94374,282.69227,305.27953,327.93250,350.77871,373.80419,396.85150,419.66782,441.94520,463.37064,483.66893,502.60704,520.02049,535.85945,550.05110,562.49476,573.02676,581.40019,587.25001,590.10499,589.61698,585.39493,577.12790,564.62996,547.87342,526.97187,502.18101,474.11764,443.36614,410.56561,376.36243,341.36790,306.13136,271.16252,236.90066,203.76444,172.17266,142.53171,115.20793,90.51009,68.76819,50.01934,34.33106,21.69640,12.01915,5.09694,0.61425
9.49000,0,15.58765,-6.56641,-37.47458,-80.39827,-137.05586,-206.94849,-286.98529,-371.51232,-452.30518,-520.27923,-567.11982,-586.39668,-574.70764,-532.33596,-463.31001,-374.54385,-276.51456,-179.36327,-92.26912,-22.48688,25.32255,49.30885,49.59643,29.88612,-5.21896,-50.71446,-101.56952,-153.16229,-201.56974,-243.48136,-276.84391,-300.65671,-314.67125,-319.32797,-315.57956,-304.69574,-287.96140,-266.87675,-242.70834,-216.42274,-188.76217,-160.26684,-131.31529,-102.17138,-73.03938,-44.08269,-15.45813,12.67192,40.14431,66.81184,92.54860,117.32152,141.21774,164.40531,187.14004,209.73616,232.52389,255.81239,279.82274,304.60768,330.07857,355.99579,381.99240,407.61445,432.35032,455.67833,477.20114,496.56950,513.50608,527.79813,539.28834,547.83177,553.30545,555.76506,555.20391,551.62608,545.03388,535.42054,522.74615,506.93496,488.11513,466.37229,441.86646,414.84523,385.64998,354.70569,322.51407,289.69907,256.83497,224.48355,193.17777,163.40789,135.61052,110.22773,87.42173,67.33371,50.02210,35.47725,23.63132,14.36062
3.56000,1,5.88106,31.57195,58.32282,91.17779,136.59746,198.36100,275.82588,364.59754,458.88976,555.28120,653.96482,758.50963,873.19400,999.11710,1130.85340,1258.21248,1369.85686,1457.44836,1518.38240,1555.01643,1574.02988,1583.72214,1591.52987,1603.22410,1621.63666,1646.84845,1677.10057,1710.30910,1745.22877,1780.96085,1816.25423,1849.63713,1879.95264,1906.99032,1930.95120,1951.87905,1969.68041,1984.14015,1995.07500,2002.51160,2006.62108,2008.06368,2008.11303,2007.76452,2006.92520,2004.41990,1999.00290,1990.07971,1977.81434,1962.53786,1944.48002,1924.10550,1902.14435,1879.17112,1855.18660,1829.64886,1801.88819,1771.38787,1737.76245,1700.56175,1659.66589,1615.72547,1569.57764,1521.62283,1471.68884,1419.45452,1364.86353,1308.19933,1249.72391,1189.73487,1128.81932,1067.69629,1006.91522,946.47450,886.02743,825.54510,765.62427,706.94987,649.75440,593.86631,539.42799,487.22901,438.32409,393.53347,353.31559,317.51586,285.26813,255.31717,226.51048,198.48386,171.79201,147.28616,125.13836,104.76704,85.40106,66.77602,49.17672,33.09854,19.16937,8.35275
3.56000,1,6.06069,30.58396,59.65977,102.64085,168.50183,261.00171,374.88737,496.95124,611.29276,707.09714,784.37850,853.48782,927.75739,1014.63021,1111.42970,1207.21911,1288.86556,1347.47503,1381.65929,1397.36010,1404.93775,1415.07917,1435.11099,1466.57649,1506.03426,1548.12969,1588.92227,1627.35889,1664.26324,1700.26831,1734.80044,1766.74401,1795.48498,1821.21722,1844.61778,1866.43849,1887.15489,1906.63720,1924.14803,1938.83191,1950.26506,1958.58436,1964.16738,1967.19346,1967.50287,1964.77948,1958.77504,1949.48007,1937.30600,1923.12896,1907.84823,1891.64905,1873.79898,1853.27119,1829.47709,1802.44179,1772.48297,1739.88293,1704.88023,1667.66419,1628.13332,1585.82168,1540.26143,1491.45478,1439.83530,1385.83244,1329.65282,1271.40569,1211.33207,1149.81722,1087.30975,1024.32641,961.40374,898.87940,836.81360,775.17592,714.12504,654.11990,595.74206,539.47939,485.79009,435.39452,389.06196,346.99740,308.58628,272.89496,239.44785,208.44136,180.29834,155.07646,132.41792,111.93924,93.51664,77.23894,63.15608,51.14473,40.72278,31.06064,21.46628,12.18809
