GROUP,_IND,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,11.43818,11.21764,10.98887,10.94617,10.99559,11.11965,11.28481,11.46532,11.62355,11.78927,11.92678,12.04434,12.14845,12.21069,12.24838,12.27160,12.27672,12.31269,12.32749,12.36153,12.39237,12.47576,12.54059,12.61987,12.71116,12.84520,12.96822,13.02992,13.10517,13.17336,13.18221,13.25011,13.27728,13.28902,13.34536,13.36102,13.41454,13.47523,13.56490,13.61675,13.74138,13.82492,13.93843,14.02213,14.10798,14.20747,14.31248,14.38709,14.49313,14.58579,14.68381,14.79242,14.88904,15.00708,15.13655,15.27430,15.40695,15.53384,15.64929,15.72622,15.79281,15.81881,15.81098,15.73751,15.67353,15.57885,15.51540,15.40218,15.32462,15.22409,15.13052,15.04754,14.97044,14.89705,14.83650,14.80653,14.76473,14.72219,14.71330,14.68898,14.67026,14.63105,14.56810,14.46642,14.31688,14.19895,14.00355,13.81938,13.61937,13.39444,13.14285,12.71973,12.10514,10.62838,8.90170,8.54220,8.63385,8.70930,8.90415,9.08913,9.16027
0,0,11.55513,11.40759,11.22727,11.12874,11.06595,11.03186,11.03538,11.04872,11.08852,11.12906,11.20080,11.31330,11.39507,11.45288,11.53109,11.60960,11.68382,11.71670,11.76486,11.79371,11.83477,11.88136,11.92702,11.97315,12.04565,12.11574,12.17960,12.23911,12.27757,12.31428,12.34706,12.39244,12.41648,12.42990,12.47732,12.51093,12.54231,12.58951,12.65076,12.69692,12.74897,12.78850,12.82777,12.87078,12.91768,12.97497,13.02320,13.07182,13.11693,13.16878,13.22958,13.27532,13.34026,13.40419,13.47837,13.57397,13.63104,13.69653,13.78766,13.88017,13.98096,14.07846,14.19424,14.30349,14.41859,14.54031,14.60877,14.67722,14.72860,14.75254,14.73863,14.72201,14.65057,14.57492,14.49156,14.42189,14.32687,14.23314,14.11774,14.03279,13.92338,13.80444,13.65795,13.49855,13.32333,13.11019,12.87193,12.57382,12.23998,11.92195,11.50825,11.02527,10.54979,9.94664,9.36199,9.08090,9.12227,9.27655,9.52886,9.79888,9.87198
0,0,11.59149,11.36631,11.15502,11.05268,11.01669,11.06444,11.12820,11.20377,11.26645,11.32146,11.32793,11.36437,11.40892,11.42627,11.44671,11.48090,11.52633,11.59668,11.72591,11.81421,11.91608,12.03228,12.15134,12.26092,12.35686,12.45985,12.54203,12.61593,12.67681,12.71971,12.76287,12.81576,12.83668,12.86962,12.89637,12.93163,12.96957,12.98811,13.02128,13.06993,13.11513,13.16010,13.20393,13.27482,13.31225,13.36408,13.41345,13.47949,13.54013,13.58736,13.65400,13.71266,13.76709,13.83583,13.89114,13.96635,14.03109,14.09491,14.15495,14.19378,14.26714,14.29397,14.29104,14.24327,14.21190,14.15548,14.10517,14.04898,13.96022,13.87938,13.78376,13.70748,13.61166,13.54392,13.46442,13.40546,13.33247,13.26064,13.19431,13.10801,13.01062,12.92917,12.78335,12.61739,12.37302,12.15647,11.87607,11.57186,11.21360,10.95540,10.72415,10.68553,10.72632,10.79924,10.86415,10.94029,11.03695,10.96391,11.84736,11.73851,11.73998
0,0,11.89007,11.51699,11.32257,11.28727,11.23656,11.23942,11.28427,11.33250,11.41593,11.52872,11.68666,11.92327,12.11012,12.26697,12.43266,12.56003,12.67721,12.74050,12.79437,12.86558,12.92152,12.98643,13.05921,13.12557,13.17692,13.23676,13.31282,13.36604,13.43238,13.49208,13.54709,13.61144,13.67024,13.72734,13.78873,13.83162,13.85738,13.91052,13.96597,14.00908,14.04285,14.09036,14.13040,14.17234,14.20293,14.25667,14.30825,14.33446,14.36875,14.40227,14.45306,14.48019,14.51379,14.53166,14.54958,14.56364,14.57011,14.58870,14.60312,14.62507,14.64567,14.65307,14.64329,14.65934,14.65412,14.62409,14.58403,14.53747,14.48250,14.42146,14.36205,14.29307,14.24375,14.18109,14.13405,14.10241,14.05718,14.01128,13.96483,13.89625,13.81230,13.71797,13.60873,13.45775,13.28298,13.08649,12.83952,12.57962,12.30044,11.99327,11.65028,11.25682,10.75733,10.06488,9.38185,8.77005,8.54955,8.42506,8.39866,8.46936,8.58918
0,0,11.38116,11.13549,10.92417,10.81326,10.79067,10.85047,10.91445,11.00422,11.09892,11.19992,11.32198,11.46374,11.60963,11.74575,11.86703,11.97297,12.06377,12.14876,12.18081,12.22397,12.25148,12.25897,12.25676,12.26294,12.28292,12.32996,12.36682,12.41173,12.46957,12.53910,12.61711,12.67969,12.73853,12.77100,12.81634,12.85426,12.87437,12.91983,12.96582,12.99997,13.05575,13.10414,13.17070,13.22372,13.29884,13.36352,13.44220,13.48719,13.52922,13.56432,13.57918,13.60538,13.61165,13.62320,13.61020,13.59637,13.59283,13.55635,13.53375,13.50693,13.47953,13.43896,13.38675,13.30261,13.26381,13.20318,13.13589,13.08053,13.01963,12.96437,12.89868,12.85132,12.80252,12.76354,12.72496,12.68746,12.65778,12.61724,12.55130,12.50685,12.45897,12.39986,12.34362,12.27339,12.21344,12.16165,12.14118,12.08199,12.02865,11.93132,11.75001,11.45915,11.07889,10.87838,10.67785,10.36193,10.21311,10.10543,10.16649,10.23898,10.24515
0,0,11.99690,11.66578,11.51383,11.42104,11.37763,11.34054,11.34621,11.35911,11.39632,11.39108,11.38031,11.38287,11.36776,11.36904,11.37114,11.37674,11.38590,11.40774,11.41836,11.41892,11.44866,11.46070,11.48372,11.50763,11.55625,11.59223,11.65355,11.69435,11.75161,11.82153,11.87117,11.91148,11.94659,11.98700,12.01410,12.04099,12.06074,12.09372,12.12847,12.17481,12.22719,12.28692,12.35620,12.40323,12.47618,12.55796,12.61110,12.67953,12.73633,12.79281,12.85331,12.89880,12.93585,12.96247,12.99216,12.99704,13.00559,12.95624,12.94042,12.87395,12.84945,12.78449,12.72907,12.64280,12.56846,12.48094,12.41411,12.34047,12.27431,12.19821,12.12858,12.04842,11.97266,11.87869,11.76403,11.66035,11.52529,11.41136,11.29736,11.16074,10.98770,10.82731,10.66697,10.47021,10.28310,10.07063,9.83527,9.60489,9.44934,9.34948,9.30278,9.29486,9.25586,9.21005,9.17814,9.18191,9.16748,9.18279,9.20317,9.27506,9.26088
0,0,11.47515,11.24524,11.09673,11.08633,11.20219,11.27341,11.35876,11.40403,11.43721,11.45485,11.47468,11.55697,11.62125,11.68361,11.70519,11.66386,11.66379,11.65943,11.67596,11.71778,11.73476,11.75565,11.80043,11.83211,11.88223,11.91780,11.96791,12.06099,12.13543,12.22717,12.30811,12.38815,12.45679,12.52840,12.60395,12.68285,12.75321,12.84224,12.91177,12.96707,13.02926,13.11104,13.17257,13.24026,13.30817,13.37153,13.43385,13.48301,13.52807,13.54355,13.57237,13.61183,13.62508,13.66791,13.70405,13.74052,13.77120,13.85073,13.88458,13.93816,13.99130,14.05210,14.11606,14.19350,14.24506,14.29630,14.31891,14.32506,14.29369,14.26795,14.24801,14.19210,14.14139,14.09483,14.06684,14.03626,13.99603,13.98181,13.91697,13.83191,13.73955,13.59210,13.41050,13.18957,12.92752,12.64577,12.35837,12.01918,11.68257,11.33297,10.93202,10.35459,9.68324,9.21493,8.99932,8.84356,8.72072,8.71490,8.77081,8.87370,8.91335
0,0,11.74904,11.63381,11.54569,11.44468,11.36911,11.30427,11.22861,11.16256,11.12030,11.11654,11.15429,11.17251,11.18380,11.21365,11.22920,11.25310,11.30024,11.33526,11.35216,11.39386,11.45010,11.49700,11.54442,11.58611,11.63848,11.67327,11.71604,11.74628,11.78622,11.82453,11.86696,11.89870,11.93676,11.96826,11.99777,12.01287,12.06568,12.10514,12.13951,12.17964,12.22487,12.27264,12.33743,12.38089,12.43883,12.49509,12.55539,12.62725,12.70632,12.78076,12.83414,12.91684,12.99545,13.08956,13.17003,13.25657,13.35611,13.44698,13.55291,13.64648,13.73501,13.83849,13.92400,13.96423,14.00832,14.04676,14.03256,13.98727,13.94287,13.89433,13.82924,13.78062,13.69569,13.62227,13.55303,13.50435,13.43583,13.37799,13.32973,13.26605,13.21289,13.16559,13.09381,13.04068,12.98563,12.91654,12.84739,12.75811,12.71860,12.63343,12.52778,12.36439,12.09958,11.86639,11.65938,11.38009,10.96924,10.41499,9.99983,10.32656,10.39910
0,0,11.84637,11.74894,11.47261,11.25750,11.14739,11.13627,11.19417,11.23310,11.20061,11.17712,11.19085,11.20280,11.24323,11.27109,11.27206,11.29120,11.28383,11.30873,11.31378,11.32938,11.34544,11.35822,11.37705,11.42225,11.44964,11.47555,11.50826,11.54083,11.59815,11.64612,11.69092,11.75670,11.83622,11.91973,12.00047,12.10332,12.20636,12.33938,12.45870,12.54530,12.64427,12.75317,12.85449,12.93329,13.02068,13.08491,13.19155,13.26376,13.33702,13.38092,13.42322,13.45147,13.44556,13.43721,13.41766,13.40169,13.35001,13.32327,13.28628,13.26530,13.23069,13.20306,13.19367,13.15639,13.11839,13.05968,13.01983,12.96152,12.90014,12.84252,12.78641,12.74033,12.68859,12.63156,12.57945,12.52277,12.48555,12.43850,12.38387,12.32616,12.24333,12.18228,12.10880,12.02872,11.94667,11.83649,11.70190,11.55825,11.34217,11.16161,11.00654,10.98521,11.00925,10.97010,10.96321,11.00659,10.98403,10.95753,10.75701,10.76167,10.78091
0,0,11.10409,11.10233,10.95614,10.84038,10.80668,10.84926,10.93428,11.03675,11.15840,11.28254,11.32712,11.36122,11.37917,11.34542,11.31577,11.28179,11.26996,11.29078,11.30064,11.32707,11.36188,11.39464,11.45815,11.54079,11.61897,11.71650,11.80307,11.87207,11.94080,12.03943,12.10907,12.15836,12.22500,12.28244,12.34334,12.40197,12.47469,12.53863,12.57892,12.65627,12.72005,12.79722,12.86318,12.97769,13.08502,13.21351,13.30936,13.41148,13.55811,13.64705,13.76147,13.82339,13.87927,13.91779,13.90283,13.92606,13.88993,13.88285,13.86541,13.82841,13.81338,13.77111,13.76880,13.72470,13.70027,13.67399,13.65175,13.65169,13.62610,13.62526,13.64156,13.63451,13.63779,13.62657,13.64177,13.64418,13.66762,13.70975,13.74625,13.77188,13.82023,13.86029,13.91884,13.95595,13.99707,14.03435,14.04766,14.06205,14.15911,14.21003,14.13414,13.99130,13.70091,13.29823,13.27422,12.99046,12.17819,11.44272,11.53215,11.88863,11.76670
