flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
 Oil of Olives,C_Oil_olive,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"[Flax, raw or retted]",C_Flaxw,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
[Kapok fruit],C_Kapot,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
[Oil palm fruit],C_palm,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
[Tallowtree Seeds],C_Talld,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Abaca manila hemp,C_Manila,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Abaca, manila hemp, raw",C_Manila,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Agave fibres nes,C_Agavs,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Agave fibres nes ,C_Agavs,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Agave fibres, raw, n.e.c.",C_Agavs,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Alcohol, Non-Food Purposes",C_Alc_food,fao,bonsut_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
Almonds,C_Almol,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Almonds, in shell",C_Almol,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Almonds, Shelled",C_Almod,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Almonds, shelled",C_Almod,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Animal Oils and Fats,C_Anim_ofat,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Animal oils and fats n.e.c.,C_Anim_ofat,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
Animal Oils and Fats nes,C_Anim_ofat,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",C_Anisr,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
"Anise, badian, fennel",C_Anisr,fao,bonsut_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
