code,parent_code,name,level
TOTAL,,Total EBOPS 2002/2010,0
200,,Total EBOPS 2002/2010 Services,0
S,,Total EBOPS 2010 SDMX Services,0
205,200,1. Transportation,1
206,205,1.1 Sea transport,2
207,206,1.1.1 Passenger,3
208,206,1.1.2 Freight,3
209,206,1.1.3 Other,3
210,205,1.2 Air transport,2
211,210,1.2.1 Passenger,3
212,210,1.2.2 Freight,3
213,210,1.2.3 Other,3
214,205,1.3 Other transport,2
215,214,1.3.1 Passenger,3
216,214,1.3.2 Freight,3
217,214,1.3.3 Other,3
218,205,1.4 Other transport of which: Space transport,2
219,205,1.5 Other transport of which: Rail transport,2
220,219,1.5.1 Passenger,3
221,219,1.5.2 Freight,3
222,219,1.5.3 Other,3
223,205,1.6 Other transport of which: Road transport,2
224,223,1.6.1 Passenger,3
225,223,1.6.2 Freight,3
226,223,1.6.3 Other,3
227,205,1.7 Other transport of which: Inland waterway transport,2
228,227,1.7.1 Passenger,3
229,227,1.7.2 Freight,3
230,227,1.7.3 Other,3
231,205,1.8 Other transport of which: Pipeline transport and electricity transmission,2
232,205,1.9 Other supporting an auxiliary transport services,2
236,200,2. Travel,1
237,236,2.1 Business travel,2
238,237,2.1.1 Expenditure by seasonal and border workers,3
239,237,2.1.2 Other,3
240,236,2.2 Personal travel,2
241,240,2.2.1 Health-related expenditure,3
242,240,2.2.2 Education-related expenditure,3
243,240,2.2.3 Other,3
245,200,3. Communications services,1
246,245,3.1 Postal and courier services,2
247,245,3.2 Telecommunications services,2
249,200,4. Construction services,1
250,249,4.1 Construction abroad,2
251,249,4.2 Construction in the compiling economy,2
253,200,5. Insurance services,1
254,253,5.1 Life insurance and pension funding,2
255,253,5.2 Freight insurance,2
256,253,5.3 Other direct insurance,2
257,253,5.4 Reinsurance,2
258,253,5.5 Auxiliary services,2
260,200,6. Financial services,1
262,200,7. Computer and information services,1
263,262,7.1 Computer services,2
264,262,7.2 Information services,2
266,200,8. Royalties and license fees,1
268,200,9. Other business services,1
269,268,9.1 Merchanting and other trade-related services,2
270,269,9.1.1 Merchanting,3
271,269,9.1.2 Other trade-related services,3
272,268,9.2 Operational leasing services,2
273,268,"9.3 Miscellaneous business, professional, and technical services",2
274,273,"9.3.1 Legal, accounting, management consulting, and public relations",3
275,274,9.3.1.1 Legal services,4
276,274,"9.3.1.2 Accounting, auditing, bookkeeping, and tax consulting services",4
277,274,9.3.1.3 Business and management consulting and public relations services,4
278,273,"9.3.2 Advertising, market research, and public opinion polling",3
279,273,9.3.3 Research and development,3
280,273,"9.3.4 Architectural, engineering, and other technical services",3
281,273,"9.3.5 Agricultural, mining, and on-site processing services",3
282,281,9.3.5.1 Waste treatment and depollution,4
283,281,"9.3.5.2 Agricultural, mining, and other on-site processing services",4
284,273,9.3.6 Other business services,3
285,273,"9.3.7 Services between related enterprises, n.i.e.",3
287,200,"10. Personal, cultural, and recreational services",1
288,287,10.1 Audiovisual and related services,2
289,287,"10.2 Other personal, cultural, and recreational services",2
291,200,"11. Government services, n.i.e.",1
292,291,11.1 Embassies and consulates,2
293,291,11.2 Military units and agencies,2
294,291,11.3 Other government services,2
310,900,Compensation of employees,2
391,900,Workers' remittance,2
431,900,Migrant's transfers,2
500,900,Direct investment,2
858,950,1.3 Other freight,3
862,950,1.4 Space freight,3
863,950,1.5 Rail freight,3
865,950,1.7 Inland waterway freight,3
868,950,1.8 Pipeline freight,3
871,970,2.3 Travel - All other travel expenditure,3
887,999,5. Financial intermediation services indirectly measured (FISIM),2
888,999,6. Financial servies including FISIM,2
889,264,7.2.1 News agency services,3
890,264,7.2.2 Other information provision services,3
891,266,8.1 Franchises and similar rights,2
