code,name,parent_code,level
11,"AGRICULTURE, FORESTRY, FISHING, AND HUNTING",TOTII,1
111CA,Farms,11,2
111,Crop production,111CA,3
1111A0,Oilseed farming,111,4
1111B0,Grain farming,111,4
111200,Vegetable and melon farming,111,4
111300,Fruit and tree nut farming,111,4
111400,"Greenhouse, nursery, and floriculture production",111,4
111900,Other crop farming,111,4
112,Animal production and aquaculture,111CA,3
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",112,4
112120,Dairy cattle and milk production,112,4
112A00,"Animal production, except cattle and poultry and eggs",112,4
112300,Poultry and egg production,112,4
113FF,"Forestry, fishing, and related activities",11,2
113000,Forestry and logging,113FF,3
114000,"Fishing, hunting and trapping",113FF,3
115000,Support activities for agriculture and forestry,113FF,3
21,MINING,TOTII,1
211,Oil and gas extraction,21,2
211000,Oil and gas extraction,211,3
212,"Mining, except oil and gas",21,2
212100,Coal mining,212,3
2122A0,"Iron, gold, silver, and other metal ore mining",212,3
212230,"Copper, nickel, lead, and zinc mining",212,3
212310,Stone mining and quarrying,212,3
2123A0,Other nonmetallic mineral mining and quarrying,212,3
213,Support activities for mining,21,2
213111,Drilling oil and gas wells,213,3
21311A,Other support activities for mining,213,3
22,Utilities,TOTII,1
2211,"Electric power generation, transmission, and distribution",22,2
221100,"Electric power generation, transmission, and distribution",2211,3
2212NW,"Natural gas distribution and water, sewage and other systems",22,2
221200,Natural gas distribution,2212NW,3
221300,"Water, sewage and other systems",2212NW,3
23,Construction,TOTII,1
23EH,"Education, hospital, and health structures",23,2
233210,Health care structures,23EH,3
233262,Educational and vocational structures,23EH,3
23OC,Office and commercial structures,23,2
2332A0,Office and commercial structures,23OC,3
23PC,Power and communication structures,23,2
233240,Power and communication structures,23PC,3
23TH,Transportation structures and highways and streets,23,2
2332C0,Transportation structures and highways and streets,23TH,3
23OT,Other nonresidential structures,23,2
233230,Manufacturing structures,23OT,3
2332D0,Other nonresidential structures,23OT,3
23SF,Single-family residential structures,23,2
233411,Single-family residential structures,23SF,3
23OR,Other residential construction,23,2
233412,Multifamily residential structures,23OR,3
2334A0,Other residential structures,23OR,3
23MR,Maintenance and repair construction,23,2
230301,Nonresidential maintenance and repair,23MR,3
230302,Residential maintenance and repair,23MR,3
33DG,DURABLE GOODS,TOTII,1
321,Wood products,33DG,2
321100,Sawmills and wood preservation,321,3
321200,"Veneer, plywood, and engineered wood product manufacturing",321,3
321910,Millwork,321,3
3219A0,All other wood product manufacturing,321,3
327,Nonmetallic mineral products,33DG,2
327100,Clay product and refractory manufacturing,327,3
327200,Glass and glass product manufacturing,327,3
327310,Cement manufacturing,327,3
327320,Ready-mix concrete manufacturing,327,3
327330,"Concrete pipe, brick, and block manufacturing",327,3
327390,Other concrete product manufacturing,327,3
327400,Lime and gypsum product manufacturing,327,3
327910,Abrasive product manufacturing,327,3
327991,Cut stone and stone product manufacturing,327,3
327992,Ground or treated mineral and earth manufacturing,327,3
327993,Mineral wool manufacturing,327,3
327999,Miscellaneous nonmetallic mineral products,327,3
331,Primary metals,33DG,2
3311IS,Iron and steel mills and manufacturing from purchased steel,331,3
331110,Iron and steel mills and ferroalloy manufacturing,3311IS,4
331200,Steel product manufacturing from purchased steel,3311IS,4
3313NF,Nonferrous metal production and processing and foundries,331,3
331313,Alumina refining and primary aluminum production,3313NF,4
331314,Secondary smelting and alloying of aluminum,3313NF,4
33131B,Aluminum product manufacturing from purchased aluminum,3313NF,4
331410,Nonferrous metal (except aluminum) smelting and refining,3313NF,4
331420,"Copper rolling, drawing, extruding and alloying",3313NF,4
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",3313NF,4
331510,Ferrous metal foundries,3313NF,4
331520,Nonferrous metal foundries,3313NF,4
332,Fabricated metal products,33DG,2
33211A,"All other forging, stamping, and sintering",332,3
332114,Custom roll forming,332,3
332119,"Metal crown, closure, and other metal stamping (except automotive)",332,3
332200,Cutlery and handtool manufacturing,332,3
332310,Plate work and fabricated structural product manufacturing,332,3
332320,Ornamental and architectural metal products manufacturing,332,3
332410,Power boiler and heat exchanger manufacturing,332,3
332420,Metal tank (heavy gauge) manufacturing,332,3
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332,3
332500,Hardware manufacturing,332,3
332600,Spring and wire product manufacturing,332,3
332710,Machine shops,332,3
332720,"Turned product and screw, nut, and bolt manufacturing",332,3
332800,"Coating, engraving, heat treating and allied activities",332,3
33291A,Valve and fittings other than plumbing,332,3
332913,Plumbing fixture fitting and trim manufacturing,332,3
332991,Ball and roller bearing manufacturing,332,3
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332,3
332996,Fabricated pipe and pipe fitting manufacturing,332,3
332999,Other fabricated metal manufacturing,332,3
333,Machinery,33DG,2
33311,Agricultural implement manufacturing,333,3
333111,Farm machinery and equipment manufacturing,33311,4
333112,Lawn and garden equipment manufacturing,33311,4
33312,Construction machinery manufacturing,333,3
333120,Construction machinery manufacturing,33312,4
33313,Mining and oil and gas field machinery manufacturing,333,3
333130,Mining and oil and gas field machinery manufacturing,33313,4
3332OM,Other machinery,333,3
333242,Semiconductor machinery manufacturing,3332OM,4
33329A,Other industrial machinery manufacturing,3332OM,4
333314,Optical instrument and lens manufacturing,3332OM,4
333316,Photographic and photocopying equipment manufacturing,3332OM,4
333318,Other commercial and service industry machinery manufacturing,3332OM,4
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3332OM,4
333414,Heating equipment (except warm air furnaces) manufacturing,3332OM,4
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",3332OM,4
333511,Industrial mold manufacturing,3332OM,4
333517,Machine tool manufacturing,3332OM,4
333514,"Special tool, die, jig, and fixture manufacturing",3332OM,4
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",3332OM,4
333611,Turbine and turbine generator set units manufacturing,3332OM,4
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3332OM,4
333613,Mechanical power transmission equipment manufacturing,3332OM,4
333618,Other engine equipment manufacturing,3332OM,4
333914,"Measuring, dispensing, and other pumping equipment manufacturing",3332OM,4
333912,Air and gas compressor manufacturing,3332OM,4
333920,Material handling equipment manufacturing,3332OM,4
333991,Power-driven handtool manufacturing,3332OM,4
33399A,Other general purpose machinery manufacturing,3332OM,4
333993,Packaging machinery manufacturing,3332OM,4
333994,Industrial process furnace and oven manufacturing,3332OM,4
33399B,Fluid power process machinery,3332OM,4
334,Computer and electronic products,33DG,2
3341,Computer and peripheral equipment manufacturing,334,3
334111,Electronic computer manufacturing,3341,4
334112,Computer storage device manufacturing,3341,4
334118,Computer terminals and other computer peripheral equipment manufacturing,3341,4
3342,Communications equipment manufacturing,334,3
334210,Telephone apparatus manufacturing,3342,4
334220,Broadcast and wireless communications equipment,3342,4
334290,Other communications equipment manufacturing,3342,4
3344,Semiconductor and other electronic component manufacturing,334,3
334413,Semiconductor and related device manufacturing,3344,4
334418,Printed circuit assembly (electronic assembly) manufacturing,3344,4
33441A,Other electronic component manufacturing,3344,4
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334,3
334510,Electromedical and electrotherapeutic apparatus manufacturing,3345,4
334511,"Search, detection, and navigation instruments manufacturing",3345,4
334512,Automatic environmental control manufacturing,3345,4
334513,Industrial process variable instruments manufacturing,3345,4
334514,Totalizing fluid meter and counting device manufacturing,3345,4
334515,Electricity and signal testing instruments manufacturing,3345,4
334516,Analytical laboratory instrument manufacturing,3345,4
334517,Irradiation apparatus manufacturing,3345,4
33451A,"Watch, clock, and other measuring and controlling device manufacturing",3345,4
334X,Other computer and electronic product manufacturing,334,3
334300,Audio and video equipment manufacturing,334X,4
334610,Manufacturing and reproducing magnetic and optical media,334X,4
335,"Electrical equipment, appliances, and components",33DG,2
335110,Electric lamp bulb and part manufacturing,335,3
335120,Lighting fixture manufacturing,335,3
335210,Small electrical appliance manufacturing,335,3
335220,Major household appliance manufacturing,335,3
335311,"Power, distribution, and specialty transformer manufacturing",335,3
335312,Motor and generator manufacturing,335,3
335313,Switchgear and switchboard apparatus manufacturing,335,3
335314,Relay and industrial control manufacturing,335,3
335911,Storage battery manufacturing,335,3
335912,Primary battery manufacturing,335,3
335920,Communication and energy wire and cable manufacturing,335,3
335930,Wiring device manufacturing,335,3
335991,Carbon and graphite product manufacturing,335,3
335999,All other miscellaneous electrical equipment and component manufacturing,335,3
3361MV,"Motor vehicles, bodies and trailers, and parts",33DG,2
336111,Automobile manufacturing,3361MV,3
336112,Light truck and utility vehicle manufacturing,3361MV,3
33612,Heavy duty truck manufacturing,3361MV,3
336120,Heavy duty truck manufacturing,33612,4
3362BP,"Motor vehicle body, trailer, and parts manufacturing",3361MV,3
336211,Motor vehicle body manufacturing,3362BP,4
336212,Truck trailer manufacturing,3362BP,4
