name,code,parent_code,level
Agricultural products,0,,0
Wheat,15,1717,2
Wheat and meslin flour,16,0,1
Bran of wheat,17,0,1
"Uncooked pasta, not stuffed or otherwise prepared",18,0,1
Germ of wheat,19,0,1
Bread,20,0,1
Bulgur,21,0,1
Pastry,22,0,1
Starch of wheat,23,0,1
Wheat gluten,24,0,1
Wheat-fermented beverages,26,0,1
Rice,27,1717,2
Husked rice,28,0,1
"Rice, milled (husked)",29,0,1
"Rice, milled",31,0,1
"Rice, broken",32,0,1
"Rice, gluten",33,0,1
Starch of rice,34,0,1
Bran of rice,35,0,1
Oil of rice bran,36,0,1
Cake of rice bran,37,0,1
Flour of rice,38,0,1
Rice-fermented beverages,39,0,1
Breakfast cereals,41,0,1
Barley,44,1717,2
Pot barley,45,0,1
"Barley, pearled",46,0,1
Bran of barley,47,0,1
Barley flour and grits,48,0,1
"Malt, whether or not roasted",49,0,1
Malt extract,50,0,1
"Beer of barley, malted",51,0,1
Maize (corn),56,1717,2
Germ of maize,57,0,1
Flour of maize,58,0,1
Bran of maize,59,0,1
Oil of maize,60,0,1
Cake of maize,61,0,1
Maize gluten,63,0,1
Starch of maize,64,0,1
"Beer of maize, malted",66,0,1
Rye,71,1717,2
Flour of rye,72,0,1
Bran of rye,73,0,1
Oats,75,1717,2
"Oats, rolled",76,0,1
Bran of oats,77,0,1
Millet,79,1717,2
Flour of millet,80,0,1
Bran of millet,81,0,1
"Beer of millet, malted",82,0,1
Sorghum,83,1717,2
Flour of sorghum,84,0,1
Bran of sorghum,85,0,1
"Beer of sorghum, malted",86,0,1
Buckwheat,89,1717,2
Flour of buckwheat,90,0,1
Bran of buckwheat,91,0,1
Quinoa,92,1717,2
Fonio,94,1717,2
Flour of fonio,95,0,1
Bran of fonio,96,0,1
Triticale,97,1717,2
Flour of triticale,98,0,1
Bran of triticale,99,0,1
Canary seed,101,1717,2
Mixed grain,103,1717,2
Flour of mixed grain,104,0,1
Bran of mixed grain,105,0,1
Cereals n.e.c.,108,1717,2
Infant food,109,0,1
"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",110,0,1
Flour of cereals n.e.c.,111,0,1
Bran of cereals n.e.c.,112,0,1
Cereal preparations,113,0,1
Mixes and doughs for the preparation of bakers' wares,114,0,1
"Food preparations of flour, meal or malt extract",115,0,1
Potatoes,116,1720,2
"Flour, meal, powder, flakes, granules and pellets of potatoes",117,0,1
"Potatoes, frozen",118,0,1
Starch of potatoes,119,0,1
Potato Offals,120,0,1
Tapioca of potatoes,121,0,1
Sweet potatoes,122,1720,2
"Cassava, fresh",125,1720,2
Flour of cassava,126,0,1
Tapioca of cassava,127,0,1
"Cassava, dry",128,1720,2
Starch of cassava,129,0,1
Yautia,135,1720,2
Taro,136,1720,2
Yams,137,1720,2
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",149,1720,2
Flour of roots and tubers n.e.c.,150,0,1
"Edible roots and tubers with high starch or inulin content, n.e.c., dry",151,1720,2
"Fructose, chemically pure",154,0,1
"Maltose, chemically pure",155,0,1
Sugar cane,156,1723,2
Sugar beet,157,1723,2
"Cane sugar, centrifugal",158,0,1
Beet Sugar,159,0,1
"Refined cane or beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup",160,0,1
Other sugar crops n.e.c.,161,1723,2
Raw cane or beet sugar (centrifugal only),162,0,1
"Cane sugar, non-centrifugal",163,0,1
Refined sugar,164,0,1
Molasses,165,0,1
Other fructose and syrup,166,0,1
Sugar and syrups n.e.c.,167,0,1
Sugar confectionery,168,0,1
Beet Pulp,169,0,1
Bagasse,170,0,1
Glucose and dextrose,172,0,1
Lactose,173,0,1
Artificial Sweeteners,174,0,1
Isoglucose,175,0,1
"Beans, dry",176,1726,2
