code,parent_code,name,level
11010-0,,Hard Coal,0
11020-0,,Patent fuel,0
11030-1,,Brown coal,0
11030-2,,Brown coal briquettes (BKB),0
11040-0,,Peat,0
12010-0,,Crude petroleum,0
12020-1,,Natural gas,0
13000-1,,Uranium ores and concentrates,0
14100-0,,Iron ores and concentrates,0
14210-0,,Copper ores and concentrates,0
14220-0,,Nickel ores and concentrates,0
14230-0,,Aluminium ores and concentrates (Bauxite),0
14240-1,,Gold ores and concentrates,0
14240-2,,Silver ores and concentrates,0
14240-3,,Platinum ores and concentrates,0
14290-1,,Tin ores and concentrates,0
14290-2,,Lead ores and concentrates,0
14290-3,,Zinc ores and concentrates,0
14290-4,,Chromium ores and concentrates,0
14290-5,,Molybdenum ores and concentrates,0
15110-0,,Slate,0
15120-0,,"Marble, travertines, etc.",0
15130-1,,"Granite, sandstone and other monumental or building stone",0
15200-0,,Gypsum; anhydrite; limestone and other calcareous stone,0
15310-0,,Natural sands,0
15320-0,,Gravel and crushed stone,0
15400-0,,Clays,0
16110-1,,"Natural phosphates, P2O5 content",0
16110-2,,"Crude potash salts, K2O content",0
16190-1,,Fluorspar,0
16190-2,,"Barytes, whether or not calcined",0
16200-1,,Salt and pure sodium chloride,0
16310-0,,"Diamonds and other precious stones, unworked",0
16320-1,,"Diamonds, industrial",0
16320-2,,"Abrasives, natural",0
16330-0,,Chalk and dolomite,0
16390-1,,Magnesite,0
16390-2,,"Graphite, natural",0
16390-3,,Asbestos,0
16390-4,,"Quartz crystal, natural",0
16390-5,,Talc and steatite,0
17100-0,,Electrical energy,0
17200-1,,Coke-oven gas,0
17200-2,,Gasworks gas,0
21110-1,,Beef and veal,0
21110-2,,Pork,0
21110-3,,Mutton and lamb,0
21120-1,,"Poultry, dressed",0
21131-1,,"Bacon, ham and other dried, salted or smoked pig meat",0
21132-1,,Sausages and similar products of meat,0
21220-0,,"Fish, fish fillets, other fish meat and fish livers and roes, frozen",0
21230-0,,"Fish, dried, salted or in brine; smoked fish; edible fish meal",0
21240-0,,"Fish, otherwise prepared or preserved; caviar",0
21310-0,,"Vegetables, frozen",0
21400-0,,"Fruit and vegetable juices, frozen or not",0
21400-1,,"Fruit and vegetable juices, concentrated, frozen or not",0
21400-2,,"Fruit and vegetable juices, unconcentrated, frozen or not",0
21510-0,,"Fruits, frozen",0
21520-0,,"Jams, fruit jellies and fruit or nut puree and pastes",0
21610-0,,"Fats of bovine animals, sheep, goats, pigs and poultry; wool grease",0
21620-0,,Other animal oils and fats,0
21630-1,,"Oil, soya-bean, crude",0
21630-2,,"Oil, cotton-seed, crude",0
21630-3,,"Oil, olive, virgin",0
21630-4,,"Oil, groundnut, crude",0
21650-1,,"Oil, soya-bean, refined",0
21650-2,,"Oil, cotton-seed, refined",0
21650-3,,"Oil, olive, refined",0
21660-0,,"Oil, corn, crude or refined",0
21680-1,,Margarine and similar preparations,0
22110-0,,Processed liquid milk,0
22120-0,,Cream,0
22910-0,,Milk and cream in solid forms,0
22920-0,,"Milk and cream, condensed (industrial production)",0
22930-0,,Yoghurt and other fermented or acidified milk and cream,0
22940-0,,Butter and other fats and oils derived from milk,0
22950-0,,Cheese and curd,0
22970-0,,Ice cream and other edible ice,0
23110-0,,Wheat or meslin flour,0
23120-0,,Cereal flours other than of wheat or meslin,0
23120-1,,Maize (corn) flour,0
23130-0,,"Groats, meal and pellets of wheat and other cereals",0
23150-0,,Other cereal grain products (including corn flakes),0
23160-0,,"Rice, semi- or wholly milled",0
23310-0,,Preparations used in animal feeding,0
23410-0,,"Crispbread; rusks, toasted bread and similar toasted products",0
23420-0,,Gingerbread and the like; sweet biscuits; waffles and wafers,0
23430-0,,Other bread and other bakers' wares,0
23500-1,,Refined sugar,0
23510-0,,Raw sugar,0
23600-1,,Chocolate and other food preparations containing cocoa,0
23620-0,,Cocoa butter,0
23630-0,,"Cocoa powder, not sweetened",0
23670-1,,Sugar confectionery not containing cocoa,0
23710-0,,Uncooked pasta,0
23720-0,,"Pasta, prepared; couscous",0
23911-0,,"Coffee, decaffeinated or roasted",0
23912-1,,"Coffee extracts, essences and concentrates and their preparations",0
23913-0,,Tea,0
23991-1,,Homogenised composite food preparations,0
23994-0,,Vinegar,0
24100-1,,Ethyl alcohol denatured or not and other spirits denatured of any strength,0
24130-0,,"Spirits, liqueurs and other spirituous beverages",0
24210-0,,Wine and grape must,0
24310-0,,Beer,0
24320-0,,"Malt, whether or not roasted",0
24410-0,,Mineral waters and aerated waters,0
24490-0,,"Soft drinks, excluding water and fruit juices",0
25010-1,,Cigarettes containing tobacco,0
25090-0,,"Tobacco, manufactured (smoking tobacco, chewing tobacco, snuff)",0
26110-0,,Raw silk (not thrown),0
26130-0,,"Wool, degreased not carbonized, not carded or combed",0
26150-0,,"Wool, carded or combed",0
26300-1,,Yarn of wool,0
26300-2,,Cotton yarn (other than sewing thread),0
