code,parent_code,level,name,description,default_unit
fi,,0,industry product,,
C_ALUM_01_RES,fi,1,aluminium and aluminium products - residual,aluminium and aluminium products - residual,TJ
C_ALUO,fi,1,aluminium ore and concentrate,aluminium ore and concentrate,tonnes
C_ALUW,fi,1,recycling of aluminium,recycling of aluminium,tonnes
C_AL_INCI,fi,1,incineration with energy recovery of aluminium,incineration with energy recovery of aluminium,tonnes
C_AL_LAND,fi,1,landfill of aluminium,landfill of aluminium,tonnes
C_ANTH,fi,1,hard coal (anthracite),hard coal (anthracite),tonnes
C_ASHW,fi,1,"treatment of ash, recycling for clinker substitute","treatment of ash, recycling for clinker substitute",tonnes
C_AS_LAND,fi,1,landfill of ashes,landfill of ashes,tonnes
C_Agavs,fi,1,"agave fibre, raw, decorticated and dried","agave fibre, raw, decorticated and dried",tonnes
C_Almod,fi,1,"almond, shelled","almond, shelled",tonnes
C_Almol,fi,1,"almonds, in shell","almonds, in shell",tonnes
C_Anisr,fi,1,"anise, badian, coriander, cumin, caraway, fennel seed, and juniper berry, raw","anise, badian, coriander, cumin, caraway, fennel seed, and juniper berry, raw",tonnes
C_Appls,fi,1,"apple, fresh","apple, fresh",tonnes
C_Apris,fi,1,"apricot, fresh","apricot, fresh",tonnes
C_Apriy,fi,1,"apricot, dried","apricot, dried",tonnes
C_Arecs,fi,1,areca nut,areca nut,tonnes
C_Artis,fi,1,"artichoke, fresh","artichoke, fresh",tonnes
C_Aspas,fi,1,"asparagus, fresh","asparagus, fresh",tonnes
C_Avocs,fi,1,avocado,avocado,tonnes
C_BA_INCI,fi,1,energy recovery of batteries and accumulators waste,energy recovery of batteries and accumulators waste,tonnes
C_BA_INCI_no_recov,fi,1,incineration of batteries and accumulators waste,incineration of batteries and accumulators waste,tonnes
C_BA_LAND,fi,1,landfill of batteries and accumulators wastes,landfill of batteries and accumulators wastes,tonnes
C_BA_RECY,fi,1,recycling of batteries and accumulators wastes,recycling of batteries and accumulators wastes,tonnes
