code,name,parent_code,level
11,"AGRICULTURE, FORESTRY, FISHING, AND HUNTING",TOTII,3
111CA,Farms,11,4
111,Crop production,111CA,5
1111A0,Oilseed farming,111,6
1111B0,Grain farming,111,6
111200,Vegetable and melon farming,111,6
111300,Fruit and tree nut farming,111,6
111400,"Greenhouse, nursery, and floriculture production",111,6
111900,Other crop farming,111,6
112,Animal production and aquaculture,111CA,5
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",112,6
112120,Dairy cattle and milk production,112,6
112A00,"Animal production, except cattle and poultry and eggs",112,6
112300,Poultry and egg production,112,6
113FF,"Forestry, fishing, and related activities",11,4
113000,Forestry and logging,113FF,5
114000,"Fishing, hunting and trapping",113FF,5
115000,Support activities for agriculture and forestry,113FF,5
21,MINING,TOTII,3
211,Oil and gas extraction,21,4
211000,Oil and gas extraction,211,5
212,"Mining, except oil and gas",21,4
212100,Coal mining,212,5
2122A0,"Iron, gold, silver, and other metal ore mining",212,5
212230,"Copper, nickel, lead, and zinc mining",212,5
212310,Stone mining and quarrying,212,5
2123A0,Other nonmetallic mineral mining and quarrying,212,5
213,Support activities for mining,21,4
213111,Drilling oil and gas wells,213,5
21311A,Other support activities for mining,213,5
22,Utilities,TOTII,3
2211,"Electric power generation, transmission, and distribution",22,4
221100,"Electric power generation, transmission, and distribution",2211,5
2212NW,"Natural gas distribution and water, sewage and other systems",22,4
221200,Natural gas distribution,2212NW,5
221300,"Water, sewage and other systems",2212NW,5
23,Construction,TOTII,3
23EH,"Education, hospital, and health structures",23,4
233210,Health care structures,23EH,5
233262,Educational and vocational structures,23EH,5
23OC,Office and commercial structures,23,4
2332A0,Office and commercial structures,23OC,5
23PC,Power and communication structures,23,4
233240,Power and communication structures,23PC,5
23TH,Transportation structures and highways and streets,23,4
2332C0,Transportation structures and highways and streets,23TH,5
23OT,Other nonresidential structures,23,4
233230,Manufacturing structures,23OT,5
2332D0,Other nonresidential structures,23OT,5
23SF,Single-family residential structures,23,4
233411,Single-family residential structures,23SF,5
23OR,Other residential construction,23,4
233412,Multifamily residential structures,23OR,5
2334A0,Other residential structures,23OR,5
23MR,Maintenance and repair construction,23,4
230301,Nonresidential maintenance and repair,23MR,5
230302,Residential maintenance and repair,23MR,5
33DG,DURABLE GOODS,TOTII,3
321,Wood products,33DG,4
321100,Sawmills and wood preservation,321,5
321200,"Veneer, plywood, and engineered wood product manufacturing",321,5
321910,Millwork,321,5
3219A0,All other wood product manufacturing,321,5
327,Nonmetallic mineral products,33DG,4
327100,Clay product and refractory manufacturing,327,5
327200,Glass and glass product manufacturing,327,5
327310,Cement manufacturing,327,5
327320,Ready-mix concrete manufacturing,327,5
327330,"Concrete pipe, brick, and block manufacturing",327,5
327390,Other concrete product manufacturing,327,5
327400,Lime and gypsum product manufacturing,327,5
327910,Abrasive product manufacturing,327,5
327991,Cut stone and stone product manufacturing,327,5
327992,Ground or treated mineral and earth manufacturing,327,5
327993,Mineral wool manufacturing,327,5
327999,Miscellaneous nonmetallic mineral products,327,5
331,Primary metals,33DG,4
3311IS,Iron and steel mills and manufacturing from purchased steel,331,5
331110,Iron and steel mills and ferroalloy manufacturing,3311IS,6
331200,Steel product manufacturing from purchased steel,3311IS,6
3313NF,Nonferrous metal production and processing and foundries,331,5
331313,Alumina refining and primary aluminum production,3313NF,6
331314,Secondary smelting and alloying of aluminum,3313NF,6
33131B,Aluminum product manufacturing from purchased aluminum,3313NF,6
331410,Nonferrous metal (except aluminum) smelting and refining,3313NF,6
331420,"Copper rolling, drawing, extruding and alloying",3313NF,6
