code,parent_code,level,name
_T,,0,Total
A,_T,1,"Agriculture, forestry and fishing"
01,A,2,"Crop and animal production, hunting and related service activities"
011,01,3,Growing of non-perennial crops
0111,011,4,"Growing of cereals (except rice), leguminous crops and oil seeds"
0112,011,4,Growing of rice
0113,011,4,"Growing of vegetables and melons, roots and tubers"
0114,011,4,Growing of sugar cane
0115,011,4,Growing of tobacco
0116,011,4,Growing of fibre crops
0119,011,4,Growing of other non-perennial crops
012,01,3,Growing of perennial crops
0121,012,4,Growing of grapes
0122,012,4,Growing of tropical and subtropical fruits
0123,012,4,Growing of citrus fruits
0124,012,4,Growing of pome fruits and stone fruits
0125,012,4,Growing of other tree and bush fruits and nuts
0126,012,4,Growing of oleaginous fruits
0127,012,4,Growing of beverage crops
0128,012,4,"Growing of spices, aromatic, drug and pharmaceutical crops"
0129,012,4,Growing of other perennial crops
013,01,3,Plant propagation
0130,013,4,Plant propagation
014,01,3,Animal production
0141,014,4,Raising of cattle and buffaloes
0142,014,4,Raising of horses and other equines
0143,014,4,Raising of camels and camelids
0144,014,4,Raising of sheep and goats
0145,014,4,Raising of swine/pigs
0146,014,4,Raising of poultry
0149,014,4,Raising of other animals
015,01,3,Mixed farming
0150,015,4,Mixed farming
016,01,3,Support activities to agriculture and post-harvest crop activities
0161,016,4,Support activities for crop production
0162,016,4,Support activities for animal production
0163,016,4,Post-harvest crop activities
0164,016,4,Seed processing for propagation
017,01,3,"Hunting, trapping and related service activities"
0170,017,4,"Hunting, trapping and related service activities"
02,A,2,Forestry and logging
021,02,3,Silviculture and other forestry activities
0210,021,4,Silviculture and other forestry activities
022,02,3,Logging
0220,022,4,Logging
023,02,3,Gathering of non-wood forest products
0230,023,4,Gathering of non-wood forest products
024,02,3,Support services to forestry
0240,024,4,Support services to forestry
03,A,2,Fishing and aquaculture
031,03,3,Fishing
0311,031,4,Marine fishing
0312,031,4,Freshwater fishing
032,03,3,Aquaculture
0321,032,4,Marine aquaculture
0322,032,4,Freshwater aquaculture
B,_T,1,Mining and quarrying
05,B,2,Mining of coal and lignite
051,05,3,Mining of hard coal
0510,051,4,Mining of hard coal
052,05,3,Mining of lignite
0520,052,4,Mining of lignite
06,B,2,Extraction of crude petroleum and natural gas
