code,name,parent_code,level
Total_consumption_of_rubber_including_reclaimed,Total_consumption_of_rubber_including_reclaimed,,0
Stocks_of_natural_rubber_end_of_period,Stocks_of_natural_rubber_end_of_period,,0
Stocks_of_synthetic_rubber_end_of_period,Stocks_of_synthetic_rubber_end_of_period,,0
Consumption_of_natural_rubber,Consumption_of_natural_rubber,,0
Total_consumption_of_natural_and_synthetic_rubber_excluding_reclaimed,Total_consumption_of_natural_and_synthetic_rubber_excluding_reclaimed,,0
Consumption_of_synthetic_rubber,Consumption_of_synthetic_rubber,,0
Consumption_of_reclaimed_rubber,Consumption_of_reclaimed_rubber,,0
Rubber_consumed_in_the_manufacture_of_tires_and_tubes,Rubber_consumed_in_the_manufacture_of_tires_and_tubes,,0
Rubber_consumed_in_the_manufacture_of_footwear,Rubber_consumed_in_the_manufacture_of_footwear,,0
Rubber_consumed_in_the_manufacture_of_wire_and_cable,Rubber_consumed_in_the_manufacture_of_wire_and_cable,,0
Rubber_consumed_in_the_manufacture_of_foamed_rubber,Rubber_consumed_in_the_manufacture_of_foamed_rubber,,0
Rubber_consumed_in_the_manufacture_of_rug_underlay,Rubber_consumed_in_the_manufacture_of_rug_underlay,,0
Rubber_consumed_in_other_manufacturing,Rubber_consumed_in_other_manufacturing,,0
