A,B,S,y
0,0,0,9
0,1,0,4
0,2,0,6
0,3,0,6
0,4,0,4
0,0,1,0
0,1,1,7
0,2,1,7
0,3,1,1
0,4,1,5
0,0,2,7
0,1,2,9
0,2,2,2
0,3,2,9
0,4,2,8
0,0,3,3
0,1,3,3
0,2,3,3
0,3,3,0
0,4,3,9
0,0,4,8
0,1,4,6
0,2,4,2
0,3,4,4
0,4,4,2
0,0,5,9
0,1,5,1
0,2,5,9
0,3,5,3
0,4,5,3
0,0,6,7
0,1,6,6
0,2,6,1
0,3,6,5
0,4,6,5
0,0,7,3
0,1,7,6
0,2,7,8
0,3,7,5
0,4,7,6
0,0,8,7
0,1,8,9
0,2,8,4
0,3,8,1
0,4,8,5
0,0,9,3
0,1,9,1
0,2,9,6
0,3,9,6
0,4,9,3
1,0,10,3
1,1,10,8
1,2,10,5
1,3,10,0
1,4,10,9
1,0,11,1
1,1,11,4
1,2,11,3
1,3,11,4
1,4,11,2
1,0,12,2
1,1,12,3
1,2,12,3
1,3,12,5
1,4,12,4
1,0,13,3
1,1,13,9
1,2,13,6
1,3,13,1
1,4,13,0
1,0,14,5
1,1,14,9
1,2,14,4
1,3,14,8
1,4,14,6
1,0,15,4
1,1,15,2
1,2,15,3
1,3,15,3
1,4,15,1
1,0,16,6
1,1,16,0
1,2,16,4
1,3,16,6
1,4,16,2
1,0,17,9
1,1,17,2
1,2,17,2
1,3,17,6
1,4,17,1
1,0,18,6
1,1,18,9
1,2,18,6
1,3,18,3
1,4,18,3
1,0,19,3
1,1,19,5
1,2,19,5
1,3,19,9
1,4,19,6
2,0,20,6
2,1,20,9
2,2,20,7
2,3,20,7
2,4,20,3
2,0,21,9
2,1,21,9
2,2,21,2
2,3,21,0
2,4,21,0
2,0,22,6
2,1,22,0
2,2,22,4
2,3,22,8
2,4,22,5
2,0,23,1
2,1,23,1
2,2,23,7
2,3,23,0
2,4,23,9
2,0,24,0
2,1,24,7
2,2,24,0
2,3,24,0
2,4,24,6
2,0,25,3
2,1,25,9
2,2,25,0
2,3,25,7
2,4,25,9
2,0,26,0
2,1,26,6
2,2,26,1
2,3,26,0
2,4,26,7
2,0,27,1
2,1,27,7
2,2,27,8
2,3,27,0
2,4,27,3
2,0,28,2
2,1,28,6
2,2,28,3
2,3,28,1
2,4,28,4
2,0,29,7
2,1,29,6
2,2,29,5
2,3,29,8
2,4,29,8
3,0,30,1
3,1,30,6
3,2,30,5
3,3,30,0
3,4,30,9
3,0,31,5
3,1,31,9
3,2,31,7
3,3,31,2
3,4,31,9
3,0,32,5
3,1,32,0
3,2,32,4
3,3,32,4
3,4,32,8
3,0,33,9
3,1,33,8
3,2,33,8
3,3,33,7
3,4,33,7
3,0,34,6
3,1,34,2
3,2,34,0
3,3,34,9
3,4,34,9
3,0,35,9
3,1,35,2
3,2,35,2
3,3,35,1
3,4,35,6
3,0,36,1
3,1,36,7
3,2,36,5
3,3,36,4
3,4,36,7
3,0,37,6
3,1,37,9
3,2,37,3
3,3,37,9
3,4,37,9
3,0,38,6
3,1,38,0
3,2,38,5
3,3,38,6
3,4,38,8
3,0,39,3
3,1,39,9
3,2,39,4
3,3,39,5
3,4,39,0
