Trial,subj000,subj001,subj002,subj003,subj004,subj005,subj006,subj007,subj008,subj009
0,3,3,1,1,2,1,3,2,2,3
1,1,3,3,3,1,3,3,1,2,1
2,1,2,3,1,2,3,1,3,2,2
3,1,2,3,3,2,3,1,3,1,2
4,3,2,3,2,3,1,2,1,1,1
5,1,3,2,2,3,2,3,2,3,2
6,1,1,1,1,3,2,3,2,2,1
7,2,1,2,2,2,3,2,3,1,1
8,2,1,2,3,3,2,3,1,3,1
9,2,3,2,2,2,3,2,3,3,1
10,3,2,3,1,1,3,2,3,2,1
11,3,2,2,3,2,2,2,1,3,2
12,2,1,1,2,2,1,3,1,1,2
13,1,3,1,2,3,1,3,2,1,3
14,3,2,3,3,3,1,1,3,1,1
15,1,1,1,2,1,3,2,1,1,3
16,3,3,3,2,3,3,2,1,3,1
17,1,3,2,1,1,1,2,3,3,1
18,3,3,2,1,3,2,2,1,2,1
19,2,2,3,1,1,2,1,1,1,2
20,1,2,3,2,2,2,1,1,2,3
21,1,1,2,3,3,2,3,3,3,2
22,3,3,1,3,3,1,2,1,3,3
23,3,3,3,3,1,2,2,3,2,1
24,3,1,1,1,1,3,1,1,2,2
25,2,2,3,2,1,1,2,3,2,1
26,3,3,3,1,2,3,1,2,3,3
27,2,2,2,1,2,2,1,2,2,1
28,2,1,2,3,3,1,1,1,3,1
29,2,3,2,1,3,1,3,3,1,3
30,2,1,1,2,3,3,2,2,2,3
31,3,2,3,3,1,2,3,1,1,3
32,1,2,2,1,2,2,1,3,2,2
33,3,1,1,1,2,3,1,2,2,3
34,3,1,1,2,2,1,2,3,3,3
35,2,3,2,3,1,3,2,3,3,2
36,2,1,2,1,3,2,2,1,3,2
37,1,1,1,3,3,1,1,2,3,2
38,2,3,2,1,1,3,1,2,1,2
39,2,3,2,3,3,3,3,2,1,3
40,2,3,3,3,3,1,3,2,3,1
41,1,3,3,1,3,2,1,2,2,1
42,2,2,2,1,2,1,1,1,2,2
43,2,1,2,1,2,2,3,1,1,2
44,1,2,3,2,2,3,1,3,1,1
45,3,2,2,2,3,2,1,3,1,3
46,3,3,3,2,1,2,3,2,1,1
47,1,2,1,3,1,3,2,3,2,3
48,1,2,1,2,1,1,3,2,1,2
49,2,1,1,3,1,2,3,1,2,2
50,2,3,1,2,2,3,1,2,3,3
51,1,1,1,3,1,3,2,2,2,3
52,1,1,1,3,1,3,3,3,2,2
53,3,2,1,2,2,1,1,3,3,2
54,2,3,1,1,1,1,3,1,1,3
55,1,1,1,2,3,2,3,1,3,1
56,1,2,3,3,1,2,2,2,1,2
57,3,1,3,1,2,1,3,2,1,3
58,3,1,3,2,1,1,2,3,3,3
59,3,2,2,3,2,1,1,2,3,3
