A,S,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,0.08355,0.47685,0.58630,0.52786,0.63966,0.67220,0.69920,0.75866,0.84493,0.91268,0.94402,0.97977,1.03530,1.09225,1.14730,1.20611,1.26833,1.32833,1.38374,1.43707,1.48284,1.52153,1.55130,1.56997,1.57638,1.57614,1.57435,1.57202,1.57423,1.58119,1.58960,1.59456,1.59200,1.58653,1.57780,1.56300,1.54108,1.51626,1.49304,1.46650,1.44486,1.42411,1.40523,1.39484,1.38570,1.38191,1.38052,1.38149,1.38411,1.39185,1.39501,1.40461,1.41597,1.42290,1.42930,1.44201,1.45630,1.47137,1.48593,1.50181,1.51952,1.53938,1.55660,1.57617,1.59752,1.62098,1.64363,1.66784,1.69151,1.71583,1.73617,1.75505,1.77230,1.78863,1.80258,1.81170,1.81634,1.81496,1.80746,1.79385,1.77179,1.74192,1.70340,1.65241,1.59153,1.51210,1.41827,1.31115,1.19402,1.06499,0.92005,0.76110,0.59578,0.43407,0.29211,0.18986,0.13341,0.10220,0.07922,0.05879,0.03460
0,1,0.04577,0.25247,0.59323,0.48253,0.49135,0.51294,0.54345,0.60599,0.67142,0.73390,0.78581,0.83735,0.88919,0.92520,0.95386,0.98954,1.03895,1.10218,1.16302,1.21617,1.26184,1.29888,1.32725,1.34700,1.35909,1.36371,1.36176,1.35571,1.34527,1.33231,1.32000,1.30778,1.29813,1.28984,1.27893,1.26889,1.26015,1.25226,1.24516,1.23914,1.23271,1.22783,1.22564,1.22614,1.22436,1.22607,1.22726,1.22585,1.22568,1.22770,1.23107,1.23334,1.23591,1.23907,1.24421,1.24919,1.25229,1.25857,1.26815,1.27946,1.29581,1.31231,1.33061,1.35303,1.37946,1.40844,1.44024,1.47463,1.50559,1.53762,1.56961,1.59748,1.62278,1.64392,1.65809,1.66775,1.67363,1.67243,1.66539,1.65219,1.63224,1.60668,1.57125,1.53016,1.47949,1.41459,1.33846,1.25061,1.15212,1.03607,0.91420,0.78577,0.64163,0.50205,0.36416,0.24743,0.16136,0.11063,0.08050,0.05356,0.03157
0,2,0.07483,0.27217,0.41817,0.44172,0.48308,0.48939,0.49275,0.52044,0.56517,0.60585,0.65756,0.72875,0.81050,0.89281,0.97893,1.06879,1.15652,1.24294,1.32188,1.39009,1.45017,1.49790,1.53290,1.55896,1.57715,1.58833,1.59217,1.58922,1.58133,1.56891,1.55234,1.53182,1.50872,1.48517,1.46311,1.44092,1.41503,1.38922,1.36551,1.34093,1.31881,1.29669,1.27742,1.26352,1.24789,1.23751,1.22792,1.22436,1.21886,1.21869,1.21939,1.22191,1.22584,1.23083,1.23597,1.24492,1.25183,1.26062,1.27082,1.28508,1.30051,1.31603,1.33334,1.35529,1.37636,1.39800,1.42115,1.44443,1.46835,1.49258,1.51509,1.53434,1.55232,1.56706,1.57793,1.58617,1.58672,1.57910,1.56608,1.54607,1.52086,1.48944,1.44866,1.40090,1.34363,1.27313,1.19140,1.09705,0.99640,0.88889,0.77861,0.65681,0.52659,0.41383,0.32398,0.24701,0.17490,0.11791,0.07484,0.04030,0.00615
0,3,0.03928,0.49513,0.94514,0.79070,0.89949,0.85734,0.86404,0.88006,0.87060,0.91963,0.99900,1.09044,1.17780,1.26155,1.34307,1.42527,1.50717,1.58538,1.65246,1.70027,1.73162,1.75346,1.76675,1.76956,1.76299,1.74835,1.72747,1.70343,1.67785,1.64963,1.61692,1.58379,1.55315,1.52280,1.49483,1.46771,1.44593,1.42232,1.40101,1.38208,1.36523,1.35107,1.34180,1.33297,1.32957,1.32605,1.32380,1.32475,1.32565,1.33124,1.33524,1.33978,1.34936,1.36110,1.37058,1.38265,1.39528,1.41009,1.42479,1.44400,1.46684,1.49070,1.51785,1.54845,1.58074,1.61534,1.65268,1.68920,1.72644,1.76386,1.79999,1.83111,1.86001,1.88478,1.90262,1.91480,1.92039,1.91884,1.90935,1.89081,1.86445,1.83010,1.78451,1.72791,1.66211,1.58075,1.48640,1.37785,1.25329,1.11809,0.96323,0.79827,0.62997,0.46088,0.31853,0.21011,0.14042,0.09536,0.06169,0.03681,0.02109
0,4,0.04310,0.49256,0.96333,0.89559,0.99065,1.02532,1.03642,1.04443,1.07371,1.09927,1.12538,1.18016,1.25661,1.33021,1.39382,1.44869,1.49684,1.53366,1.55556,1.57028,1.58306,1.58852,1.58769,1.58427,1.57626,1.55925,1.53666,1.51154,1.48571,1.46347,1.44267,1.42479,1.41073,1.39983,1.39381,1.38771,1.38324,1.38072,1.37468,1.36881,1.36279,1.35729,1.35329,1.34897,1.34693,1.34434,1.34797,1.35011,1.35195,1.36183,1.36783,1.37458,1.38232,1.38862,1.39834,1.40621,1.41734,1.42876,1.44033,1.45527,1.46952,1.48809,1.50883,1.53378,1.56017,1.58847,1.61727,1.64622,1.67671,1.70732,1.73699,1.76420,1.78728,1.80523,1.81904,1.82995,1.83593,1.83378,1.82539,1.81278,1.79258,1.76286,1.72339,1.67297,1.60905,1.53616,1.45020,1.33078,1.19726,1.04995,0.88154,0.71063,0.54974,0.41098,0.30090,0.21624,0.14580,0.08875,0.04145,0.01024,-0.00653
0,5,0.07444,0.29248,0.60250,0.58250,0.58175,0.60901,0.58734,0.59215,0.64476,0.72610,0.81622,0.90434,1.00275,1.10639,1.19920,1.27654,1.33526,1.37930,1.41408,1.44409,1.47316,1.49596,1.51200,1.51799,1.51850,1.51829,1.51443,1.50736,1.49775,1.48659,1.47094,1.45037,1.43050,1.40966,1.38980,1.36781,1.34735,1.32751,1.31164,1.29618,1.28305,1.26935,1.25979,1.25034,1.24216,1.23915,1.23781,1.23209,1.23286,1.22860,1.22913,1.22963,1.23297,1.23586,1.24501,1.25464,1.26419,1.28029,1.29458,1.31171,1.32817,1.34859,1.36814,1.39248,1.41664,1.44032,1.46798,1.49490,1.52246,1.54958,1.57519,1.59718,1.61540,1.62814,1.63697,1.64168,1.63955,1.63188,1.61963,1.60156,1.57405,1.53601,1.48951,1.43130,1.35841,1.27273,1.17596,1.06882,0.94183,0.81674,0.68608,0.57266,0.47119,0.37299,0.27721,0.19137,0.11964,0.06992,0.04038,0.02423,0.01295
0,6,0.04529,0.35452,0.54032,0.53353,0.65349,0.73651,0.78686,0.82892,0.88497,0.94044,0.98007,1.02606,1.08856,1.15288,1.21798,1.28748,1.34782,1.39189,1.42301,1.44911,1.46893,1.48183,1.48405,1.47546,1.46089,1.44107,1.41674,1.39312,1.36919,1.34106,1.31263,1.28550,1.25881,1.23221,1.20760,1.18913,1.17455,1.16216,1.15128,1.14387,1.13759,1.13396,1.13282,1.13325,1.13631,1.14306,1.15936,1.17586,1.20008,1.22862,1.25215,1.27365,1.29266,1.30914,1.32352,1.33721,1.34924,1.35785,1.36832,1.38097,1.39517,1.41234,1.43071,1.45195,1.47471,1.49667,1.52398,1.55021,1.57514,1.60100,1.62607,1.65163,1.67488,1.69593,1.71510,1.72942,1.73876,1.73880,1.72897,1.71030,1.67920,1.63917,1.58801,1.52253,1.44588,1.35965,1.25699,1.14867,1.02554,0.89433,0.75013,0.59672,0.44129,0.30101,0.20205,0.14388,0.10532,0.07528,0.04927,0.02744,0.00789
0,7,0.05336,0.25287,0.42646,0.44335,0.49389,0.54106,0.55986,0.57658,0.60632,0.65734,0.71111,0.75516,0.79482,0.84737,0.91307,0.98413,1.05452,1.12464,1.18888,1.24535,1.29384,1.33221,1.36122,1.38121,1.39279,1.39658,1.39294,1.38401,1.37030,1.35188,1.33096,1.30851,1.28551,1.26313,1.23970,1.21594,1.19411,1.17396,1.15387,1.13559,1.12113,1.10596,1.09334,1.08368,1.07717,1.07128,1.06782,1.07044,1.07551,1.08467,1.09887,1.12079,1.14676,1.17197,1.20335,1.23339,1.26511,1.29267,1.32192,1.34607,1.37112,1.39719,1.42034,1.44408,1.47147,1.49694,1.52412,1.54959,1.57247,1.59572,1.61579,1.63536,1.65109,1.66142,1.66759,1.66885,1.66601,1.65782,1.64343,1.62457,1.59985,1.56907,1.53395,1.49136,1.44201,1.38314,1.31580,1.24344,1.15960,1.06716,0.96938,0.86161,0.75113,0.63534,0.52117,0.40858,0.29610,0.19196,0.09293,0.03381,0.00481
0,8,0.04239,0.38335,0.60928,0.60196,0.66569,0.71076,0.77539,0.87159,0.95813,1.06082,1.17115,1.27545,1.35870,1.42066,1.47914,1.53397,1.57727,1.61348,1.64263,1.65962,1.66119,1.65028,1.63192,1.60597,1.57316,1.53629,1.49554,1.45047,1.40389,1.35676,1.30834,1.26007,1.21213,1.16691,1.12254,1.08121,1.04447,1.01234,0.98506,0.96286,0.94643,0.93278,0.92450,0.91901,0.91720,0.91923,0.92387,0.93248,0.94174,0.95788,0.97022,0.99421,1.01931,1.04768,1.07842,1.11467,1.15047,1.18758,1.22599,1.26419,1.30084,1.33942,1.37826,1.41610,1.45682,1.49546,1.53138,1.56352,1.59324,1.61987,1.63961,1.65072,1.65403,1.64994,1.63867,1.61967,1.59186,1.55760,1.51785,1.47187,1.42112,1.36437,1.30227,1.23460,1.15840,1.07818,0.99098,0.88834,0.78759,0.69208,0.59483,0.50383,0.42270,0.34380,0.26796,0.19325,0.12706,0.07645,0.03920,0.01431,-0.00129
0,9,0.07965,0.27332,0.48261,0.53754,0.57783,0.57064,0.54067,0.52792,0.54263,0.58870,0.65758,0.73845,0.82851,0.92561,1.02328,1.11461,1.19133,1.25224,1.29984,1.33825,1.36703,1.39353,1.42130,1.44550,1.46785,1.48765,1.49792,1.50375,1.50642,1.50213,1.49863,1.49424,1.48564,1.47570,1.46503,1.45406,1.43952,1.42016,1.40312,1.38541,1.36924,1.35427,1.33801,1.32133,1.30514,1.29145,1.27845,1.26199,1.25207,1.24819,1.24627,1.25001,1.25486,1.26054,1.26764,1.28014,1.29445,1.31147,1.33366,1.35585,1.37969,1.40490,1.43072,1.45457,1.48116,1.50635,1.52987,1.55059,1.56900,1.58640,1.60316,1.61792,1.62908,1.63390,1.63476,1.63393,1.62971,1.61987,1.60560,1.58553,1.55551,1.52002,1.47946,1.43141,1.37023,1.29331,1.21368,1.11165,0.99945,0.88314,0.76916,0.65307,0.53536,0.41132,0.29577,0.21399,0.15461,0.10747,0.06711,0.03572,0.00713
