TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;21,62;9,00;5,47;0,80;0,09;21,67;12,42;10,32;4,54;4,54;;;0,56;-2,30;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;5.064.990,71;26,90;3,96;0,56;5.289.481.248,34
ALOS3;23,86;4,64;16,31;0,89;0,46;74,56;55,52;26,33;7,74;5,83;-1,91;-0,22;4,29;4,80;-0,53;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;59.846.407,52;26,67;1,46;1,80;12.029.995.995,42
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
B3SA3;12,71;2,19;13,90;3,39;1,42;90,57;58,91;44,65;10,54;10,53;-0,01;0,00;6,21;6,59;-2,19;2,62;24,40;10,24;9,27;0,42;0,58;0,23;12,34;12,15;292.556.428,24;3,75;0,91;0,92;66.937.215.000,00
BAZA3;73,15;10,95;3,51;0,58;0,07;14,87;22,77;20,75;3,20;3,20;;;0,73;83,57;-0,07;;16,62;1,98;;0,12;0,88;0,10;26,63;33,51;213.766,00;125,37;20,84;-0,31;4.100.665.742,25
BBAS3;20,85;8,27;6,37;0,66;0,05;34,96;2,96;6,48;13,96;13,96;;;0,41;2,01;-0,05;11,97;10,31;0,77;;0,07;0,92;0,12;17,31;2,74;442.343.026,00;31,76;3,27;-0,14;119.487.889.734,00
BBDC3;14,40;8,66;7,27;0,88;0,07;31,68;8,22;8,95;7,92;8,60;;;0,65;0,75;-0,08;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;67.757.901,14;16,43;1,98;0,13;165.639.563.495,76
BBDC4;16,88;8,00;8,53;1,03;0,08;31,68;8,22;8,95;9,28;8,60;;;0,76;0,88;-0,09;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;332.394.993,57;16,43;1,98;0,15;165.639.563.495,76
BBSE3;32,48;13,12;7,28;6,19;3,04;;;;6,56;6,56;;;;22,55;-5,71;1,40;84,97;41,71;;0,49;0,51;0,00;;6,01;129.811.036,52;5,25;4,46;1,16;64.960.000.000,00
BEES3;8,00;5,98;7,46;1,18;0,07;31,53;10,44;7,81;5,58;5,58;;;0,58;0,34;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;68.929,00;6,80;1,07;0,58;2.781.901.118,92
BEES4;8,02;6,45;7,48;1,18;0,07;31,53;10,44;7,81;5,59;5,58;;;0,58;0,34;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;19.825,14;6,80;1,07;0,59;2.781.901.118,92
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
