source	deme	date	new_confirmed	total_confirmed	country
ecdc	France	2019-12-31	0	0	France
ecdc	France	2020-01-01	0	0	France
ecdc	France	2020-01-02	0	0	France
ecdc	France	2020-01-03	0	0	France
ecdc	France	2020-01-04	0	0	France
ecdc	France	2020-01-05	0	0	France
ecdc	France	2020-01-06	0	0	France
ecdc	France	2020-01-07	0	0	France
ecdc	France	2020-01-08	0	0	France
ecdc	France	2020-01-09	0	0	France
ecdc	France	2020-01-10	0	0	France
ecdc	France	2020-01-11	0	0	France
ecdc	France	2020-01-12	0	0	France
ecdc	France	2020-01-13	0	0	France
ecdc	France	2020-01-14	0	0	France
ecdc	France	2020-01-15	0	0	France
ecdc	France	2020-01-16	0	0	France
ecdc	France	2020-01-17	0	0	France
ecdc	France	2020-01-18	0	0	France
ecdc	France	2020-01-19	0	0	France
ecdc	France	2020-01-20	0	0	France
ecdc	France	2020-01-21	0	0	France
ecdc	France	2020-01-22	0	0	France
ecdc	France	2020-01-23	0	0	France
ecdc	France	2020-01-24	0	0	France
ecdc	France	2020-01-25	3	3	France
ecdc	France	2020-01-26	0	3	France
ecdc	France	2020-01-27	0	3	France
ecdc	France	2020-01-28	0	3	France
ecdc	France	2020-01-29	1	4	France
ecdc	France	2020-01-30	1	5	France
ecdc	France	2020-01-31	1	6	France
ecdc	France	2020-02-01	0	6	France
ecdc	France	2020-02-02	0	6	France
ecdc	France	2020-02-03	0	6	France
ecdc	France	2020-02-04	0	6	France
ecdc	France	2020-02-05	0	6	France
ecdc	France	2020-02-06	0	6	France
ecdc	France	2020-02-07	0	6	France
ecdc	France	2020-02-08	5	11	France
ecdc	France	2020-02-09	0	11	France
ecdc	France	2020-02-10	0	11	France
ecdc	France	2020-02-11	0	11	France
ecdc	France	2020-02-12	0	11	France
ecdc	France	2020-02-13	0	11	France
ecdc	France	2020-02-14	0	11	France
ecdc	France	2020-02-15	0	11	France
ecdc	France	2020-02-16	0	11	France
ecdc	France	2020-02-17	1	12	France
ecdc	France	2020-02-18	0	12	France
ecdc	France	2020-02-19	0	12	France
ecdc	France	2020-02-20	0	12	France
ecdc	France	2020-02-21	0	12	France
ecdc	France	2020-02-22	0	12	France
ecdc	France	2020-02-23	0	12	France
ecdc	France	2020-02-24	0	12	France
ecdc	France	2020-02-25	0	12	France
ecdc	France	2020-02-26	2	14	France
ecdc	France	2020-02-27	3	17	France
ecdc	France	2020-02-28	21	38	France
ecdc	France	2020-02-29	19	57	France
ecdc	France	2020-03-01	43	100	France
ecdc	France	2020-03-02	30	130	France
ecdc	France	2020-03-03	48	178	France
ecdc	France	2020-03-04	34	212	France
ecdc	France	2020-03-05	73	285	France
ecdc	France	2020-03-06	138	423	France
ecdc	France	2020-03-07	190	613	France
ecdc	France	2020-03-08	103	716	France
ecdc	Germany	2019-12-31	0	0	Germany
ecdc	Germany	2020-01-01	0	0	Germany
ecdc	Germany	2020-01-02	0	0	Germany
ecdc	Germany	2020-01-03	0	0	Germany
ecdc	Germany	2020-01-04	0	0	Germany
ecdc	Germany	2020-01-05	0	0	Germany
ecdc	Germany	2020-01-06	0	0	Germany
ecdc	Germany	2020-01-07	0	0	Germany
ecdc	Germany	2020-01-08	0	0	Germany
ecdc	Germany	2020-01-09	0	0	Germany
ecdc	Germany	2020-01-10	0	0	Germany
ecdc	Germany	2020-01-11	0	0	Germany
ecdc	Germany	2020-01-12	0	0	Germany
ecdc	Germany	2020-01-13	0	0	Germany
ecdc	Germany	2020-01-14	0	0	Germany
ecdc	Germany	2020-01-15	0	0	Germany
ecdc	Germany	2020-01-16	0	0	Germany
ecdc	Germany	2020-01-17	0	0	Germany
