A,B,C,S,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,0,0,-0.06841,-0.05950,-0.05308,-0.04980,-0.05042,-0.05515,-0.06447,-0.07866,-0.09776,-0.12180,-0.15073,-0.18482,-0.22351,-0.26679,-0.31442,-0.36594,-0.42130,-0.47996,-0.54143,-0.60573,-0.67210,-0.73995,-0.80884,-0.87816,-0.94735,-1.01549,-1.08194,-1.14597,-1.20642,-1.26267,-1.31382,-1.35868,-1.39675,-1.42694,-1.44831,-1.46043,-1.46263,-1.45439,-1.43512,-1.40461,-1.36302,-1.31036,-1.24672,-1.17262,-1.08865,-0.99535,-0.89379,-0.78484,-0.66930,-0.54866,-0.42410,-0.29677,-0.16807,-0.03928,0.08843,0.21379,0.33537,0.45206,0.56277,0.66643,0.76196,0.84870,0.92576,0.99235,1.04789,1.09191,1.12426,1.14459,1.15307,1.14961,1.13440,1.10825,1.07171,1.02535,0.97008,0.90721,0.83803,0.76360,0.68529,0.60471,0.52333,0.44255,0.36347,0.28759,0.21626,0.15016,0.09038,0.03755,-0.00790,-0.04582,-0.07633,-0.09919,-0.11496,-0.12446,-0.12805,-0.12660,-0.12121,-0.11271,-0.10230,-0.09082,-0.07911
0,0,0,1,0.32465,0.35587,0.38395,0.40855,0.42958,0.44709,0.46119,0.47192,0.47932,0.48367,0.48530,0.48425,0.48123,0.47618,0.46923,0.46135,0.45246,0.44288,0.43320,0.42335,0.41380,0.40489,0.39677,0.38954,0.38344,0.37877,0.37554,0.37370,0.37339,0.37460,0.37717,0.38123,0.38652,0.39297,0.40048,0.40877,0.41768,0.42679,0.43598,0.44502,0.45370,0.46173,0.46871,0.47437,0.47871,0.48137,0.48189,0.48031,0.47651,0.47031,0.46143,0.44995,0.43590,0.41914,0.39963,0.37744,0.35277,0.32581,0.29658,0.26512,0.23182,0.19689,0.16060,0.12309,0.08476,0.04603,0.00704,-0.03187,-0.07007,-0.10739,-0.14346,-0.17777,-0.21013,-0.23983,-0.26662,-0.29031,-0.31040,-0.32662,-0.33871,-0.34631,-0.34920,-0.34746,-0.34110,-0.32982,-0.31381,-0.29331,-0.26832,-0.23937,-0.20686,-0.17097,-0.13216,-0.09110,-0.04826,-0.00434,0.04024,0.08496,0.12905,0.17217,0.21375,0.25318,0.29033
0,0,0,2,1.41509,1.46336,1.51413,1.56668,1.62015,1.67415,1.72775,1.78034,1.83196,1.88210,1.93066,1.97773,2.02340,2.06776,2.11133,2.15462,2.19770,2.24145,2.28612,2.33221,2.38013,2.43000,2.48216,2.53668,2.59332,2.65204,2.71257,2.77424,2.83658,2.89885,2.96024,3.02009,3.07757,3.13136,3.18091,3.22556,3.26445,3.29694,3.32223,3.34015,3.35058,3.35320,3.34806,3.33550,3.31564,3.28906,3.25633,3.21775,3.17430,3.12681,3.07590,3.02231,2.96676,2.90996,2.85253,2.79492,2.73777,2.68143,2.62613,2.57235,2.51990,2.46901,2.41968,2.37171,2.32531,2.28001,2.23569,2.19218,2.14916,2.10649,2.06384,2.02112,1.97795,1.93422,1.88965,1.84432,1.79847,1.75161,1.70417,1.65630,1.60813,1.56022,1.51314,1.46702,1.42250,1.38043,1.34134,1.30583,1.27459,1.24850,1.22773,1.21277,1.20429,1.20253,1.20744,1.21920,1.23763,1.26230,1.29310,1.32913,1.36994
0,0,0,3,-0.07266,-0.06312,-0.05983,-0.06223,-0.06963,-0.08156,-0.09734,-0.11609,-0.13725,-0.16003,-0.18355,-0.20747,-0.23118,-0.25431,-0.27643,-0.29743,-0.31720,-0.33564,-0.35282,-0.36900,-0.38422,-0.39861,-0.41260,-0.42617,-0.43985,-0.45369,-0.46762,-0.48179,-0.49644,-0.51130,-0.52626,-0.54128,-0.55589,-0.56985,-0.58297,-0.59479,-0.60479,-0.61270,-0.61829,-0.62090,-0.62018,-0.61609,-0.60829,-0.59681,-0.58156,-0.56253,-0.53983,-0.51372,-0.48471,-0.45341,-0.42012,-0.38565,-0.35095,-0.31645,-0.28318,-0.25223,-0.22423,-0.20017,-0.18096,-0.16722,-0.15958,-0.15852,-0.16465,-0.17782,-0.19820,-0.22563,-0.25963,-0.29952,-0.34460,-0.39405,-0.44647,-0.50091,-0.55597,-0.60999,-0.66168,-0.70994,-0.75332,-0.79054,-0.82083,-0.84305,-0.85640,-0.86098,-0.85655,-0.84275,-0.82012,-0.78933,-0.75115,-0.70646,-0.65648,-0.60226,-0.54504,-0.48654,-0.42812,-0.37076,-0.31589,-0.26453,-0.21754,-0.17614,-0.14058,-0.11133,-0.08868
0,0,0,4,1.34867,1.35452,1.35588,1.35318,1.34653,1.33637,1.32333,1.30750,1.28962,1.27049,1.25067,1.23111,1.21231,1.19488,1.17981,1.16773,1.15914,1.15464,1.15460,1.15941,1.16918,1.18384,1.20331,1.22726,1.25543,1.28714,1.32168,1.35827,1.39585,1.43350,1.47007,1.50481,1.53654,1.56379,1.58598,1.60235,1.61162,1.61349,1.60731,1.59245,1.56919,1.53717,1.49632,1.44729,1.39019,1.32587,1.25492,1.17798,1.09625,1.01058,0.92209,0.83182,0.74097,0.65046,0.56135,0.47486,0.39190,0.31331,0.23997,0.17261,0.11173,0.05798,0.01169,-0.02675,-0.05711,-0.07936,-0.09335,-0.09938,-0.09771,-0.08826,-0.07147,-0.04797,-0.01800,0.01805,0.05950,0.10558,0.15600,0.21026,0.26736,0.32701,0.38869,0.45164,0.51528,0.57923,0.64315,0.70634,0.76842,0.82888,0.88759,0.94415,0.99789,1.04895,1.09687,1.14127,1.18201,1.21886,1.25158,1.27991,1.30395,1.32345,1.33827
0,0,1,0,0.96362,0.86424,0.76805,0.67652,0.59038,0.51102,0.43971,0.37680,0.32306,0.27911,0.24500,0.22087,0.20671,0.20172,0.20550,0.21751,0.23662,0.26165,0.29130,0.32419,0.35894,0.39418,0.42828,0.45954,0.48678,0.50870,0.52401,0.53157,0.53074,0.52088,0.50153,0.47277,0.43468,0.38777,0.33235,0.26950,0.20065,0.12667,0.04929,-0.03002,-0.10957,-0.18760,-0.26278,-0.33333,-0.39748,-0.45408,-0.50204,-0.54008,-0.56766,-0.58395,-0.58853,-0.58167,-0.56313,-0.53323,-0.49261,-0.44169,-0.38135,-0.31244,-0.23571,-0.15235,-0.06324,0.03071,0.12836,0.22898,0.33190,0.43630,0.54133,0.64636,0.75107,0.85467,0.95671,1.05704,1.15506,1.25004,1.34147,1.42924,1.51265,1.59097,1.66358,1.72984,1.78928,1.84111,1.88469,1.91943,1.94452,1.95968,1.96470,1.95907,1.94271,1.91562,1.87789,1.82999,1.77225,1.70527,1.63000,1.54741,1.45850,1.36437,1.26654,1.16626,1.06475
0,0,1,1,0.96635,1.07946,1.18853,1.29200,1.38847,1.47667,1.55540,1.62379,1.68087,1.72617,1.75937,1.78004,1.78841,1.78480,1.76934,1.74279,1.70611,1.65984,1.60514,1.54348,1.47598,1.40376,1.32853,1.25163,1.17406,1.09775,1.02396,0.95380,0.88848,0.82923,0.77698,0.73258,0.69671,0.67019,0.65344,0.64636,0.64919,0.66208,0.68499,0.71713,0.75800,0.80728,0.86416,0.92761,0.99661,1.07024,1.14741,1.22693,1.30735,1.38755,1.46635,1.54230,1.61423,1.68088,1.74121,1.79403,1.83819,1.87283,1.89725,1.91070,1.91245,1.90225,1.87993,1.84535,1.79855,1.73990,1.67001,1.58954,1.49939,1.40058,1.29425,1.18190,1.06499,0.94523,0.82417,0.70345,0.58495,0.47030,0.36124,0.25945,0.16626,0.08294,0.01090,-0.04882,-0.09530,-0.12793,-0.14654,-0.15070,-0.14014,-0.11538,-0.07686,-0.02500,0.03939,0.11496,0.20084,0.29584,0.39823,0.50647,0.61922,0.73463,0.85075
0,0,1,2,0.43551,0.44924,0.46028,0.46805,0.47214,0.47209,0.46754,0.45820,0.44402,0.42528,0.40225,0.37488,0.34388,0.30995,0.27345,0.23501,0.19546,0.15550,0.11576,0.07694,0.03960,0.00435,-0.02836,-0.05804,-0.08464,-0.10803,-0.12784,-0.14421,-0.15724,-0.16706,-0.17398,-0.17824,-0.18022,-0.18019,-0.17839,-0.17545,-0.17145,-0.16658,-0.16131,-0.15569,-0.14989,-0.14371,-0.13735,-0.13089,-0.12374,-0.11610,-0.10756,-0.09779,-0.08677,-0.07410,-0.05950,-0.04272,-0.02363,-0.00209,0.02204,0.04870,0.07770,0.10908,0.14257,0.17779,0.21435,0.25180,0.28951,0.32712,0.36411,0.39943,0.43289,0.46387,0.49153,0.51556,0.53577,0.55158,0.56265,0.56922,0.57095,0.56802,0.56080,0.54959,0.53487,0.51706,0.49685,0.47493,0.45208,0.42900,0.40661,0.38543,0.36591,0.34906,0.33551,0.32514,0.31836,0.31563,0.31657,0.32128,0.32953,0.34052,0.35411,0.36959,0.38611,0.40323,0.42000
0,0,1,3,0.50097,0.43189,0.36474,0.30061,0.24079,0.18601,0.13701,0.09519,0.06101,0.03490,0.01722,0.00836,0.00850,0.01705,0.03383,0.05843,0.09012,0.12804,0.17098,0.21793,0.26778,0.31915,0.37089,0.42168,0.47032,0.51592,0.55722,0.59350,0.62418,0.64850,0.66616,0.67719,0.68175,0.67978,0.67172,0.65832,0.64011,0.61802,0.59273,0.56516,0.53665,0.50787,0.47965,0.45306,0.42889,0.40795,0.39076,0.37777,0.36948,0.36633,0.36824,0.37526,0.38772,0.40510,0.42705,0.45370,0.48428,0.51838,0.55574,0.59568,0.63762,0.68110,0.72573,0.77079,0.81550,0.85979,0.90350,0.94578,0.98627,1.02498,1.06136,1.09546,1.12715,1.15604,1.18224,1.20563,1.22608,1.24350,1.25803,1.26940,1.27737,1.28217,1.28355,1.28113,1.27480,1.26443,1.24981,1.23063,1.20685,1.17825,1.14457,1.10605,1.06240,1.01379,0.96074,0.90344,0.84218,0.77750,0.71025,0.64114,0.57102
0,0,1,4,0.78012,0.83898,0.89439,0.94569,0.99198,1.03294,1.06793,1.09654,1.11871,1.13440,1.14361,1.14638,1.14318,1.13458,1.12126,1.10385,1.08307,1.06009,1.03597,1.01143,0.98753,0.96547,0.94598,0.93008,0.91831,0.91155,0.91025,0.91442,0.92469,0.94077,0.96259,0.98991,1.02185,1.05796,1.09758,1.13950,1.18277,1.22644,1.26930,1.31006,1.34767,1.38130,1.40949,1.43166,1.44707,1.45481,1.45492,1.44668,1.42994,1.40492,1.37173,1.33090,1.28268,1.22763,1.16682,1.10091,1.03047,0.95664,0.88022,0.80201,0.72312,0.64426,0.56620,0.48967,0.41528,0.34373,0.27548,0.21091,0.15059,0.09467,0.04355,-0.00245,-0.04341,-0.07920,-0.10976,-0.13489,-0.15438,-0.16864,-0.17763,-0.18130,-0.17976,-0.17282,-0.16094,-0.14409,-0.12235,-0.09580,-0.06441,-0.02851,0.01164,0.05604,0.10436,0.15645,0.21198,0.27026,0.33113,0.39421,0.45860,0.52396,0.58961,0.65449,0.71824
