MODEL,style,comfort,stability,cushion,durability
0,6,8,3,5,19
0,6,7,3,4,9
0,5,7,1,4,16
0,10,9,8,4,4
0,7,9,7,6,9
0,6,6,3,9,17
0,5,8,6,7,6
0,3,7,3,6,16
0,8,8,9,3,8
0,8,6,5,3,13
0,5,9,5,4,17
0,8,8,2,3,5
0,5,8,7,5,8
0,4,9,10,2,16
0,2,9,4,10,14
0,7,5,8,6,15
0,4,8,8,2,16
0,5,10,9,3,11
0,7,7,3,7,12
0,1,5,2,7,17
0,5,6,7,7,20
0,4,3,1,2,15
0,7,9,6,6,9
0,4,5,2,4,12
0,8,9,5,7,18
1,8,6,5,6,10
1,8,6,3,6,4
1,7,5,6,4,17
1,9,8,6,3,4
1,8,5,6,8,11
1,8,7,4,4,13
1,7,3,6,3,8
1,6,6,5,8,14
1,6,9,7,5,12
1,7,5,9,6,11
1,7,5,4,6,15
1,5,7,4,4,6
1,6,4,6,4,12
1,8,7,8,5,12
1,5,6,5,7,12
1,10,5,7,6,6
1,9,6,9,5,11
1,8,7,10,5,5
1,6,2,5,3,8
1,5,7,5,5,8
1,8,4,8,8,10
1,3,2,4,4,15
1,8,6,3,6,12
1,5,4,6,5,9
1,6,3,4,8,8
