code,parent_code,name,level
HARDCOAL,,Hard coal (if no detail),0
BROWN,,Brown coal (if no detail),0
ANTCOAL,,Anthracite,0
COKCOAL,,Coking coal,0
BITCOAL,,Other bituminous coal,0
SUBCOAL,,Sub-bituminous coal,0
LIGNITE,,Lignite,0
PATFUEL,,Patent fuel,0
OVENCOKE,,Coke oven coke,0
GASCOKE,,Gas coke,0
COALTAR,,Coal tar,0
BKB,,BKB,0
GASWKSGS,,Gas works gas,0
COKEOVGS,,Coke oven gas,0
BLFURGS,,Blast furnace gas,0
OGASES,,Other recovered gases,0
PEAT,,Peat,0
PEATPROD,,Peat products,0
OILSHALE,,Oil shale and oil sands,0
NATGAS,,Natural gas,0
CRNGFEED,,Crude/NGL/feedstocks (if no detail),0
CRUDEOIL,,Crude oil,0
NGL,,Natural gas liquids,0
REFFEEDS,,Refinery feedstocks,0
ADDITIVE,,Additives/blending components,0
NONCRUDE,,Other hydrocarbons,0
REFINGAS,,Refinery gas,0
ETHANE,,Ethane,0
LPG,,Liquefied petroleum gases (LPG),0
NONBIOGASO,,Motor gasoline excl. biofuels,0
AVGAS,,Aviation gasoline,0
JETGAS,,Gasoline type jet fuel,0
NONBIOJETK,,Kerosene type jet fuel excl. biofuels,0
OTHKERO,,Other kerosene,0
NONBIODIES,,Gas/diesel oil excl. biofuels,0
RESFUEL,,Fuel oil,0
NAPHTHA,,Naphtha,0
WHITESP,,White spirit & SBP,0
LUBRIC,,Lubricants,0
BITUMEN,,Bitumen,0
PARWAX,,Paraffin waxes,0
PETCOKE,,Petroleum coke,0
ONONSPEC,,Other oil products,0
INDWASTE,,Industrial waste,0
MUNWASTER,,Municipal waste (renewable),0
MUNWASTEN,,Municipal waste (non-renewable),0
PRIMSBIO,,Primary solid biofuels,0
BIOGASES,,Biogases,0
BIOGASOL,,Biogasoline,0
BIODIESEL,,Biodiesels,0
BIOJETKERO,,Bio jet kerosene,0
OBIOLIQ,,Other liquid biofuels,0
RENEWNS,,Non-specified primary biofuels and waste,0
CHARCOAL,,Charcoal,0
MANGAS,,Elec/heat output from non-specified manufactured gases,0
HEATNS,,Heat output from non-specified combustible fuels,0
NUCLEAR,,Nuclear,0
HYDRO,,Hydro,0
GEOTHERM,,Geothermal,0
SOLARPV,,Solar photovoltaics,0
SOLARTH,,Solar thermal,0
TIDE,,"Tide, wave and ocean",0
WIND,,Wind,0
OTHER,,Other sources,0
ELECTR,,Electricity,0
HEAT,,Heat,0
TOTAL,,Total,0
MRENEW,,Memo: Renewables,0
