code,parent_code,name,level,default_unit
fi,,"industry product, total",0,
C_ADDC,fi,Additives/Blending Components,1,tonnes
C_Agavs,C_AGRI,"Agave fibre, raw, decorticated and dried",2,tonnes
C_AGPR,fi,"Meat, fish, fruits, vegetables, oils and fats",1,tonnes
C_AGRI,fi,"Agricultural products, not processed",1,tonnes
C_AGSL,fi,Aviation gasoline,1,tonnes
C_AL_INCI,fi,Incineration with energy recovery of aluminium,1,tonnes
C_AL_LAND,fi,Landfill of aluminium,1,tonnes
C_Alc_food,fi,"Alcohol, non-food purpose",1,tonnes
C_Almod,C_AGPR,"Almond, shelled",2,tonnes
C_Almol,C_AGRI,"Almonds, in shell",2,tonnes
C_ALUM,fi,"Aluminium, unwrought, alumina, and semi-finished product of aluminium or aluminium alloy",1,tonnes
C_Alumash,fi,Aluminium from incineration bottom ash,1,tonnes
C_ALUO,fi,Aluminium ore and concentrate,1,tonnes
C_ALUW,fi,Recycling of aluminium,1,tonnes
C_Anisr,C_AGRI,"Anise, badian, coriander, cumin, caraway, fennel seed, and juniper berry, raw",2,tonnes
C_ANTH,C_COAL,Hard coal (anthracite),2,tonnes
C_Appls,C_AGRI,"Apple, fresh",2,tonnes
C_Apris,C_AGRI,"Apricot, fresh",2,tonnes
C_Apriy,C_AGPR,"Apricot, dried",2,tonnes
C_Arecs,C_AGRI,Areca nuts,2,tonnes
C_ART,fi,"Creative, arts, entertainment, library, archive, museum, other cultural services",1,Meuro
C_Artis,C_AGRI,"Artichoke, fresh",2,tonnes
C_AS_LAND,fi,Landfill of ashes,1,tonnes
C_ASHW,fi,"Treatment of ash, recycling for clinker substitute",1,tonnes
C_Aspas,C_AGRI,"Asparagus, fresh",2,tonnes
C_Asses,C_AGRI,"Donkey, live",2,tonnes
C_auto,fi,Car,1,items
C_AVERT,fi,Advertising services,1,Meuro
C_Avocs,C_AGRI,Avocado,2,tonnes
C_BA_INCI,fi,Energy recovery of batteries and accumulators waste,1,tonnes
