code,parent_code,level,name
[Oil palm fruit],,1,[Oil palm fruit]
Abaca manila hemp,,1,Abaca manila hemp
"Abaca, manila hemp, raw",,1,"Abaca, manila hemp, raw"
Agave fibres nes,,1,Agave fibres nes
"Agave fibres, raw, n.e.c.",,1,"Agave fibres, raw, n.e.c."
"Alcohol, Non-Food Purposes",,1,"Alcohol, Non-Food Purposes"
Alfalfa for forage,,1,Alfalfa for forage
Alfalfa Meal and Pellets,,1,Alfalfa Meal and Pellets
Almonds,,1,Almonds
"Almonds, in shell","Treenuts, Total",2,"Almonds, in shell"
"Almonds, shelled",,1,"Almonds, shelled"
Animal Oils and Fats,,1,Animal Oils and Fats
Animal oils and fats n.e.c.,,1,Animal oils and fats n.e.c.
Animal Oils and Fats nes,,1,Animal Oils and Fats nes
"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",,1,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils"
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,1,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
"Anise, badian, fennel",,1,"Anise, badian, fennel"
Apple juice,,1,Apple juice
"Apple juice, concentrated",,1,"Apple juice, concentrated"
Apples,Fruit Primary,2,Apples
Apricots,Fruit Primary,2,Apricots
"Apricots, dried",,1,"Apricots, dried"
Arabic gum,,1,Arabic gum
Areca nuts,"Treenuts, Total",2,Areca nuts
Artichokes,Vegetables Primary,2,Artichokes
Artificial Sweeteners,,1,Artificial Sweeteners
Asparagus,Vegetables Primary,2,Asparagus
Asses,,1,Asses
Avocados,Fruit Primary,2,Avocados
Bacon and Ham,,1,Bacon and Ham
Bagasse,,1,Bagasse
Bambara beans,,1,Bambara beans
"Bambara beans, dry","Pulses, Total",2,"Bambara beans, dry"
Bananas,Fruit Primary,2,Bananas
Barley,"Cereals, primary",2,Barley
Barley flour and grits,,1,Barley flour and grits
"Barley, pearled",,1,"Barley, pearled"
"Beans, dry","Pulses, Total",2,"Beans, dry"
"Beans, green",,1,"Beans, green"
"Beef and Buffalo Meat, primary",,1,"Beef and Buffalo Meat, primary"
beef and veal preparations nes,,1,beef and veal preparations nes
"Beef and Veal, Dried, Salted, Smoked",,1,"Beef and Veal, Dried, Salted, Smoked"
Beer of Barley,,1,Beer of Barley
"Beer of barley, malted",,1,"Beer of barley, malted"
Beer of Maize,,1,Beer of Maize
"Beer of maize, malted",,1,"Beer of maize, malted"
Beer of Millet,,1,Beer of Millet
"Beer of millet, malted",,1,"Beer of millet, malted"
Beer of Sorghum,,1,Beer of Sorghum
"Beer of sorghum, malted",,1,"Beer of sorghum, malted"
Bees,,1,Bees
Beeswax,,1,Beeswax
Beet Pulp,,1,Beet Pulp
Beet Sugar,,1,Beet Sugar
Beet Tops,,1,Beet Tops
Beets for fodder,,1,Beets for fodder
Berries nes,,1,Berries nes
"Beverages, Distilled Alcoholic",,1,"Beverages, Distilled Alcoholic"
Blood Meal,,1,Blood Meal
Blueberries,Fruit Primary,2,Blueberries
