flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
agforfi,fi_0,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
crop,fi_01,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
grain,fi_011,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
wheat,fi_0111,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
wheat_winter,fi_0111,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
wheat_spring,fi_0111,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
barley,fi_0115,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
oat,fi_0117,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
maize,fi_0112,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
rye,fi_0116,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
rice,fi_0113,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
millet,fi_0118,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
sorghum,fi_0114,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
vegetable,fi_012,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
bean,fi_01241,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
bean,fi_01241_01,ipcc,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
bean,fi_01241_90,ipcc,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
forage_crop,fi_0191,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
alfalfa,fi_01912,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
hay_non-legume,fi_01919,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
forage_n-fixing,fi_01919,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
forage_non-n-fixing,fi_01919,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
grass_perennial,fi_01919,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
grass-clover,fi_01919,ipcc,bonsai_v2_0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
nut,fi_0137,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
oilseed,fi_014,ipcc,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
