# all in CGS units
n , p , epsilon 
1.e-9,9.493355079931099e22,1.6588109116744015e6
1.059253725177289e-9,1.0115989051827252e23,1.7571025933571968e6
1.1220184543019634e-9,1.078418725408336e23,1.8612185989499362e6
1.1885022274370183e-9,1.1502573133352066e23,1.9715041005451765e6
1.258925411794167e-9,1.2275608382422295e23,2.0883247116489897e6
1.3335214321633241e-9,1.3106688408487446e23,2.2120676370723066e6
1.412537544622754e-9,1.4001627391904567e23,2.343143135840803e6
1.4962356560944331e-9,1.4964953837780343e23,2.4819856920809844e6
1.5848931924611132e-9,1.6002318957731127e23,2.6290555551994084e6
1.6788040181225601e-9,1.7120188171181044e23,2.7848403237932217e6
1.7782794100389224e-9,1.8324741437511414e23,2.949856370614947e6
1.8836490894898e-9,1.962349129940245e23,3.124650759020546e6
1.995262314968879e-9,2.102357912451607e23,3.3098029500651e6
2.1134890398366465e-9,2.25343742095851e23,3.5059267235805406e6
2.2387211385683386e-9,2.416392039349817e23,3.7136722674430264e6
2.3713737056616544e-9,2.5922425208074353e23,3.9337282711208006e6
2.5118864315095795e-9,2.7822381568271935e23,4.166824269684602e6
2.660725059798809e-9,2.9870782207343467e23,4.413732980846427e6
2.818382931264453e-9,3.208478360342943e23,4.675272983881414e6
2.9853826189179584e-9,3.447681412259205e23,4.952311334126119e6
3.162277660168378e-9,3.705833391100193e23,5.245766427372351e6
3.3496543915782753e-9,3.9851363639550506e23,5.556611218507095e6
3.5481338923357525e-9,4.286658078830727e23,5.885876148795017e6
3.75837404288444e-9,4.612558649141713e23,6.234652858100191e6
3.981071705534971e-9,4.965462054473153e23,6.6040977470382275e6
4.216965034285821e-9,5.3458714895946216e23,6.995435366031375e6
4.4668359215096285e-9,5.757845609385762e23,7.40996340801719e6
4.731512589614802e-9,6.203438196941397e23,7.849056104248071e6
5.01187233627272e-9,6.684477894302622e23,8.314169040194484e6
5.308844442309881e-9,7.20575514448464e23,8.806844577406393e6
5.623413251903486e-9,7.768565934050536e23,9.32871579069368e6
5.956621435290101e-9,8.377313199055335e23,9.881513073655816e6
6.309573444801929e-9,9.037305071261577e23,1.046706950777902e7
6.683439175686141e-9,9.748236947651868e23,1.108732564621258e7
7.0794578438413736e-9,1.05189487461758e24,1.1744338812499741e7
7.498942093324553e-9,1.1352831097435742e24,1.2440287095130082e7
7.943282347242809e-9,1.225281646059675e24,1.3177477492164385e7
8.413951416451945e-9,1.322879512306858e24,1.395835510024475e7
8.912509381337448e-9,1.4282129910861965e24,1.4785508048644818e7
9.440608762859224e-9,1.5421530377601254e24,1.5661679313286511e7
9.999999999999992e-9,1.665739778154143e24,1.6589774704077216e7
1.0592537251772881e-8,1.7987389397245243e24,1.757286936869855e7
1.1220184543019624e-8,1.9429659846771108e24,1.8614225084479637e7
1.1885022274370173e-8,2.0989819416602493e24,1.9717294029762387e7
1.258925411794166e-8,2.2672620614334203e24,2.0885732644707806e7
1.333521432163323e-8,2.4497606918180074e24,2.212341726927625e7
1.4125375446227528e-8,2.646583282706516e24,2.3434449596032362e7
1.4962356560944316e-8,2.85940316602498e24,2.4823177839112647e7
1.584893192461112e-8,3.0901967483921573e24,2.6294208426518723e7
1.6788040181225588e-8,3.338296529751459e24,2.7852414393170822e7
1.7782794100389212e-8,3.6072538829703845e24,2.9502967352910027e7
1.8836490894897986e-8,3.897994272469914e24,3.1251338896172244e7
1.9952623149688773e-8,4.211286823180194e24,3.310332426678993e7
2.1134890398366446e-8,4.5508287801801743e24,3.506506904222304e7
2.2387211385683365e-8,4.916593510333774e24,3.714307359800064e7
2.3713737056616525e-8,5.311652504277435e24,3.934423094549249e7
2.511886431509577e-8,5.739573211938465e24,4.167584357081859e7
2.6607250597988067e-8,6.198765559248721e24,4.414563342820092e7
2.8183829312644504e-8,6.695723686623193e24,4.676180053208665e7
2.9853826189179556e-8,7.231773743753862e24,4.953301727499146e7
3.162277660168375e-8,7.807972761862267e24,5.246846901871911e7
3.349654391578272e-8,8.430893370207225e24,5.557789975717875e7
3.548133892335749e-8,9.100531402212717e24,5.88716121912696e7
3.758374042884437e-8,9.82320202458045e24,6.23605349879605e7
3.981071705534967e-8,1.0606513386234103e25,6.605624620306084e7
4.216965034285817e-8,1.1448555482128801e25,6.997098259199546e7
4.466835921509625e-8,1.2362043131257143e25,7.411774722227061e7
4.731512589614798e-8,1.3350074796455345e25,7.851028601456457e7
5.011872336272716e-8,1.441514843745963e25,8.316315745189647e7
5.308844442309876e-8,1.5570096666447437e25,8.809181125648786e7
5.623413251903482e-8,1.6814579652269717e25,9.331257407553639e7
5.956621435290095e-8,1.815933628635682e25,9.884277085154101e7
6.309573444801923e-8,1.961687534874741e25,1.0470075682837644e8
6.683439175686137e-8,2.118161852887309e25,1.1090592175343029e8
7.079457843841369e-8,2.287671186196132e25,1.1747888673204902e8
7.498942093324546e-8,2.4707276425491525e25,1.2444144003851424e8
7.943282347242802e-8,2.6677772006048556e25,1.3181665741979097e8
8.413951416451939e-8,2.881199838488124e25,1.3962903742820495e8
8.912509381337439e-8,3.110908911979552e25,1.479044550111661e8
9.440608762859217e-8,3.3588779274991116e25,1.5667037836049688e8
9.999999999999984e-8,3.6273884314823478e25,1.6595591002990982e8
1.0592537251772871e-7,3.915396728590113e25,1.7579177453984076e8
1.1220184543019616e-7,4.2271365827420215e25,1.8621067588875553e8
1.1885022274370163e-7,4.563506367356575e25,1.9724715023185518e8
1.2589254117941648e-7,4.925261951410846e25,2.0893777361025766e8
1.3335214321633217e-7,5.316662244389991e25,2.2132139545032185e8
1.4125375446227515e-7,5.737485027483213e25,2.3443902322225705e8
1.4962356560944304e-7,6.191247186776053e25,2.4833420916759247e8
1.5848931924611106e-7,6.6820086832699065e25,2.6305309867061472e8
1.6788040181225572e-7,7.207913700894876e25,2.786443767046953e8
1.7782794100389192e-7,7.776590329402503e25,2.951599150991582e8
1.8836490894897968e-7,8.389767607302835e25,3.126544581157156e8
1.9952623149688755e-7,9.049017955979581e25,3.31185981610176e8
2.113489039836643e-7,9.762200715959474e25,3.508160971106791e8
2.2387211385683348e-7,1.0529281853284374e26,3.7160979398809737e8
2.3713737056616503e-7,1.1356885684871865e26,3.936361295708462e8
2.511886431509575e-7,1.2252609365056784e26,4.169682756590769e8
2.660725059798804e-7,1.3213370732378762e26,4.416833729907237e8
2.8183829312644475e-7,1.425306339066908e26,4.678637017440819e8
2.985382618917953e-7,1.5375148097837297e26,4.9559603828658986e8
3.1622776601683723e-7,1.6582678232492887e26,5.249722790435577e8
3.34965439157827e-7,1.789003252174961e26,5.560901407460462e8
3.548133892335747e-7,1.9297117355342847e26,5.890526202862691e8
3.758374042884433e-7,2.081595791547025e26,6.23969224034361e8
3.981071705534964e-7,2.246042565126122e26,6.609559880586405e8
4.2169650342858135e-7,2.4224824526911632e26,7.001351423792752e8
4.466835921509621e-7,2.6134622433399635e26,7.416372163072532e8
4.7315125896147936e-7,2.8195651930023185e26,7.855997683778758e8
5.011872336272711e-7,3.0412901855257006e26,8.321684684485924e8
5.308844442309871e-7,3.281216087685802e26,8.814983113994342e8
5.623413251903477e-7,3.539255814111133e26,9.337525312309601e8
5.95662143529009e-7,3.817535405144654e26,9.891047852286206e8
6.309573444801918e-7,4.1184895471303026e26,1.0477390932096475e9
6.683439175686131e-7,4.440971875838496e26,1.1098491188304863e9
7.079457843841363e-7,4.78945789488721e26,1.1756419478721266e9
7.49894209332454e-7,5.164811732451812e26,1.2453356314279363e9
7.943282347242795e-7,5.567717789100378e26,1.3191610653523645e9
8.413951416451931e-7,6.002539396124636e26,1.397364097354294e9
8.912509381337431e-7,6.468934935646585e26,1.4802034057117443e9
9.44060876285921e-7,6.970419651057173e26,1.5679543665321374e9
9.999999999999974e-7,7.510778222266597e26,1.6609087834272885e9
1.0592537251772862e-6,8.087256137068732e26,1.7593734390809684e9
1.1220184543019605e-6,8.706298954652264e26,1.8636768058678727e9
1.1885022274370155e-6,9.367047042594857e26,1.974164396609138e9
1.2589254117941638e-6,1.0066202707531061e27,2.091202002646376e9
1.3335214321633205e-6,1.0802330091933004e27,2.2151792916707335e9
1.4125375446227503e-6,1.1559511740484274e27,2.3465062382926216e9
1.4962356560944293e-6,1.2293638482621086e27,2.485620824170958e9
1.5848931924611092e-6,1.3159410277947642e27,2.6329887860974813e9
1.6788040181225556e-6,1.4155704135645702e27,2.7890927456349807e9
1.7782794100389178e-6,1.5247210266117959e27,2.9544543364687705e9
1.883649089489795e-6,1.6431010870016097e27,3.1296217371576e9
1.995262314968874e-6,1.7707943878545992e27,3.315175309376647e9
2.1134890398366406e-6,1.9091902993988215e27,3.5117339099192834e9
2.238721138568333e-6,2.0582594610135965e27,3.71994741903015e9
2.371373705661648e-6,2.2192177177277897e27,3.940508699772472e9
2.5118864315095725e-6,2.3934917838229438e27,4.1741520913634934e9
2.6607250597988018e-6,2.580478614350214e27,4.421647976878857e9
2.8183829312644454e-6,2.7828253272374813e27,4.683823948393493e9
2.9853826189179504e-6,3.001143111121485e27,4.961548903913672e9
3.162277660168369e-6,3.235962023865804e27,5.255742804001198e9
3.3496543915782666e-6,3.4899924499450825e27,5.567387672912149e9
3.548133892335743e-6,3.76317805827696e27,5.897513422435483e9
3.75837404288443e-6,4.057790505721191e27,6.247219180697904e9
3.981071705534961e-6,4.376450621875376e27,6.617669979968911e9
4.21696503428581e-6,4.718075835010204e27,7.01008623217603e9
4.466835921509618e-6,5.087502456521347e27,7.425781811204913e9
4.731512589614789e-6,5.485854094546377e27,7.86613430661548e9
5.011872336272706e-6,5.914118571778976e27,8.332602188850468e9
5.308844442309867e-6,6.377216587523912e27,8.826744124457788e9
5.6234132519034726e-6,6.875076092126273e27,9.350192377945267e9
5.956621435290085e-6,7.411813904189708e27,9.904690867489391e9
6.309573444801912e-6,7.992158829288363e27,1.0492088251592077e10
6.683439175686124e-6,8.61419500857409e27,1.111431790303063e10
7.079457843841355e-6,9.28674861792638e27,1.1773466125005901e10
7.4989420933245335e-6,1.0011953883695426e28,1.2471717169743534e10
7.943282347242788e-6,1.079165443445286e28,1.3211383399534271e10
8.413951416451923e-6,1.1634744047635563e28,1.3994939192702847e10
8.912509381337422e-6,1.2541053622786114e28,1.482497151540838e10
9.4406087628592e-6,1.3517914730623239e28,1.570424769917089e10
9.999999999999965e-6,1.4573682564329647e28,1.663570156066189e10
0.000010592537251772853,1.5704550653501691e28,1.7622395792751007e10
0.000011220184543019595,1.6925675029666443e28,1.8667644161197243e10
0.000011885022274370142,1.8239800714983514e28,1.9774910171166924e10
0.000012589254117941629,1.9648714295672548e28,2.094786003826625e10
0.000013335214321633193,2.1165555250459203e28,2.2190422295311375e10
0.00001412537544622749,2.278565378149355e28,2.3506696411234882e10
0.000014962356560944277,2.4513386648780507e28,2.4901073460166023e10
0.000015848931924611077,2.6344193443780657e28,2.6378208787763336e10
0.00001678804018122554,2.7786340645138e28,2.7943017770976505e10
0.00001778279410038916,2.9753314943798815e28,2.960068223474643e10
0.000018836490894897933,3.196451174112454e28,3.1356692535420193e10
0.000019952623149688722,3.4375391944600096e28,3.3216873984524284e10
0.000021134890398366394,3.6990298121688304e28,3.518746846763175e10
0.000022387211385683308,3.979719728542252e28,3.727497329161709e10
0.00002371373705661646,4.280152618851128e28,3.9486355236487686e10
0.000025118864315095703,4.598236107509858e28,4.182899222462683e10
0.000026607250597987997,4.78018810502222e28,4.431047184575437e10
0.000028183829312644434,5.147600290902386e28,4.6939388606501854e10
0.000029853826189179482,5.545081862586751e28,4.972433680292033e10
0.00003162277660168367,5.973345066430456e28,5.267453591820546e10
0.00003349654391578264,6.437196892375203e28,5.579989518755674e10
0.0000354813389233574,6.936526534074845e28,5.9110715458262566e10
0.000037583740428844264,7.4752898336802635e28,6.261806385815737e10
0.00003981071705534957,8.058076099733656e28,6.633367730627986e10
0.000042169650342858067,8.683019657382642e28,7.026973042207849e10
0.00004466835921509613,9.358553463327254e28,7.443951835911862e10
0.00004731512589614785,1.0086608475698694e29,7.885685681546455e10
0.00005011872336272702,1.0868766146506257e29,8.353636602291017e10
0.00005308844442309862,1.1713389923752959e29,8.849379103587302e10
0.00005623413251903466,1.2619924432806324e29,9.374545612170232e10
0.0000595662143529008,1.3594808457538442e29,9.930893237338214e10
0.00006309573444801906,1.464501668672199e29,1.0520285599592418e11
0.00006683439175686118,1.5764903523451266e29,1.1144649923857509e11
0.00007079457843841349,1.6964837762276285e29,1.180609897776039e11
0.00007498942093324526,1.823927312144068e29,1.2506821290351602e11
0.0000794328234724278,1.956902298468794e29,1.3249129335754875e11
0.00008413951416451915,2.0156418657640504e29,1.4035462335785733e11
0.00008912509381337417,2.1557270553419858e29,1.4868508539235117e11
0.00009440608762859193,2.3138733862283813e29,1.575101216416016e11
0.00009999999999999956,2.4860510214100017e29,1.6685935724825687e11
0.00010592537251772844,2.670283501493135e29,1.7676334817830206e11
0.00011220184543019587,2.867395543085932e29,1.8725568352689453e11
0.00011885022274370131,3.0776103914452222e29,1.983711089638839e11
0.00012589254117941615,3.301478065342577e29,2.101463784586437e11
0.00013335214321633185,3.5406385918920555e29,2.226212107233709e11
0.00014125375446227478,3.795995137035746e29,2.3583661972928827e11
0.00014962356560944265,4.070745670188676e29,2.4983690531629892e11
0.00015848931924611063,4.3676436404144956e29,2.646690591897425e11
0.0001678804018122553,4.685747291029201e29,2.8038145392200433e11
0.00017782794100389148,5.0289355486828546e29,2.970274772397952e11
0.00018836490894897918,5.398304282018411e29,3.146622414957285e11
0.00019952623149688704,5.793352738779705e29,3.333440445292445e11
0.00021134890398366373,6.214818488381611e29,3.5313599245537213e11
0.00022387211385683288,6.65616851293321e29,3.7410301206172314e11
0.0002371373705661644,7.103916815945308e29,3.963153017960658e11
0.00025118864315095687,7.431053996129526e29,4.198476659761859e11
0.0002660725059798797,7.795712718980273e29,4.447769039863265e11
0.000281838293126444,8.151099865386435e29,4.7118647042441986e11
0.00029853826189179454,8.438570363085482e29,4.9916271057117267e11
0.0003162277660168364,8.713478821797795e29,5.287975408545019e11
