A,B,S,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,0,-0.66902,-0.68230,-0.69974,-0.72033,-0.74317,-0.76696,-0.79077,-0.81321,-0.83312,-0.84930,-0.86039,-0.86581,-0.86424,-0.85525,-0.83838,-0.81311,-0.77949,-0.73761,-0.68778,-0.63025,-0.56579,-0.49514,-0.41900,-0.33839,-0.25422,-0.16712,-0.07828,0.01138,0.10106,0.18976,0.27673,0.36123,0.44243,0.51965,0.59245,0.65980,0.72155,0.77699,0.82544,0.86677,0.90057,0.92649,0.94409,0.95341,0.95431,0.94669,0.93088,0.90707,0.87533,0.83621,0.79021,0.73803,0.68034,0.61776,0.55111,0.48111,0.40852,0.33414,0.25865,0.18254,0.10654,0.03089,-0.04382,-0.11737,-0.18960,-0.25995,-0.32852,-0.39493,-0.45912,-0.52099,-0.58024,-0.63674,-0.69012,-0.74016,-0.78648,-0.82859,-0.86624,-0.89894,-0.92634,-0.94821,-0.96423,-0.97430,-0.97835,-0.97630,-0.96862,-0.95543,-0.93739,-0.91528,-0.88966,-0.86155,-0.83191,-0.80179,-0.77215,-0.74427,-0.71889,-0.69694,-0.67940,-0.66656,-0.65910,-0.65705,-0.66038
0,0,1,0.27833,0.32340,0.36444,0.40102,0.43352,0.46173,0.48579,0.50637,0.52338,0.53719,0.54848,0.55739,0.56433,0.56989,0.57419,0.57764,0.58052,0.58284,0.58532,0.58774,0.59047,0.59353,0.59683,0.60050,0.60463,0.60962,0.61516,0.62170,0.62897,0.63714,0.64619,0.65615,0.66687,0.67794,0.68931,0.70030,0.71087,0.72064,0.72896,0.73534,0.73908,0.73933,0.73572,0.72766,0.71441,0.69569,0.67096,0.63990,0.60260,0.55881,0.50861,0.45249,0.39049,0.32334,0.25175,0.17633,0.09809,0.01779,-0.06336,-0.14445,-0.22451,-0.30248,-0.37760,-0.44908,-0.51612,-0.57809,-0.63454,-0.68503,-0.72930,-0.76715,-0.79854,-0.82358,-0.84232,-0.85502,-0.86199,-0.86330,-0.85940,-0.85051,-0.83679,-0.81861,-0.79598,-0.76926,-0.73848,-0.70375,-0.66544,-0.62337,-0.57790,-0.52904,-0.47706,-0.42225,-0.36497,-0.30573,-0.24492,-0.18300,-0.12058,-0.05817,0.00344,0.06355,0.12169,0.17704,0.22947
0,0,2,-1.11433,-1.12888,-1.13403,-1.12993,-1.11704,-1.09605,-1.06765,-1.03247,-0.99145,-0.94517,-0.89434,-0.84015,-0.78297,-0.72372,-0.66293,-0.60123,-0.53915,-0.47716,-0.41582,-0.35546,-0.29637,-0.23894,-0.18357,-0.13039,-0.07984,-0.03216,0.01238,0.05370,0.09147,0.12564,0.15605,0.18256,0.20514,0.22373,0.23846,0.24953,0.25708,0.26126,0.26254,0.26076,0.25654,0.25024,0.24192,0.23233,0.22151,0.21000,0.19805,0.18599,0.17418,0.16264,0.15187,0.14190,0.13304,0.12554,0.11953,0.11535,0.11296,0.11271,0.11482,0.11928,0.12645,0.13621,0.14861,0.16356,0.18090,0.20038,0.22178,0.24445,0.26805,0.29187,0.31492,0.33662,0.35592,0.37187,0.38361,0.38994,0.39001,0.38308,0.36830,0.34527,0.31383,0.27358,0.22463,0.16743,0.10214,0.02970,-0.04916,-0.13322,-0.22120,-0.31185,-0.40356,-0.49495,-0.58468,-0.67117,-0.75311,-0.82925,-0.89836,-0.95977,-1.01252,-1.05603,-1.09004
0,0,3,0.27671,0.28070,0.27484,0.25950,0.23461,0.20083,0.15885,0.10917,0.05290,-0.00893,-0.07526,-0.14490,-0.21674,-0.28951,-0.36244,-0.43436,-0.50471,-0.57283,-0.63795,-0.69985,-0.75806,-0.81250,-0.86324,-0.91003,-0.95303,-0.99242,-1.02819,-1.06067,-1.08996,-1.11607,-1.13917,-1.15924,-1.17640,-1.19072,-1.20207,-1.21054,-1.21615,-1.21886,-1.21870,-1.21594,-1.21058,-1.20297,-1.19341,-1.18231,-1.17001,-1.15688,-1.14343,-1.12999,-1.11698,-1.10473,-1.09353,-1.08346,-1.07485,-1.06743,-1.06148,-1.05662,-1.05258,-1.04946,-1.04658,-1.04386,-1.04088,-1.03717,-1.03272,-1.02726,-1.02069,-1.01289,-1.00382,-0.99331,-0.98161,-0.96872,-0.95456,-0.93936,-0.92303,-0.90549,-0.88679,-0.86675,-0.84510,-0.82172,-0.79616,-0.76812,-0.73730,-0.70316,-0.66565,-0.62441,-0.57928,-0.53028,-0.47757,-0.42135,-0.36200,-0.30037,-0.23693,-0.17257,-0.10841,-0.04553,0.01501,0.07187,0.12392,0.17005,0.20916,0.24049,0.26309
0,0,4,-0.05224,-0.11153,-0.17284,-0.23564,-0.29957,-0.36410,-0.42864,-0.49292,-0.55634,-0.61856,-0.67927,-0.73816,-0.79488,-0.84922,-0.90119,-0.95040,-0.99670,-1.04022,-1.08055,-1.11763,-1.15148,-1.18165,-1.20799,-1.23040,-1.24835,-1.26179,-1.27038,-1.27380,-1.27171,-1.26385,-1.25005,-1.22965,-1.20282,-1.16907,-1.12812,-1.08025,-1.02507,-0.96287,-0.89375,-0.81785,-0.73554,-0.64717,-0.55333,-0.45423,-0.35068,-0.24317,-0.13256,-0.01967,0.09490,0.20988,0.32476,0.43833,0.54973,0.65805,0.76223,0.86147,0.95460,1.04089,1.11918,1.18895,1.24918,1.29930,1.33924,1.36840,1.38675,1.39433,1.39126,1.37808,1.35546,1.32421,1.28519,1.23944,1.18841,1.13316,1.07518,1.01574,0.95579,0.89677,0.83955,0.78497,0.73354,0.68585,0.64198,0.60201,0.56585,0.53300,0.50291,0.47499,0.44851,0.42263,0.39676,0.36986,0.34143,0.31074,0.27719,0.24042,0.20024,0.15649,0.10922,0.05855,0.00462
0,0,5,0.57171,0.56576,0.55749,0.54684,0.53350,0.51756,0.49891,0.47764,0.45356,0.42680,0.39732,0.36516,0.33042,0.29323,0.25390,0.21236,0.16911,0.12424,0.07815,0.03111,-0.01668,-0.06462,-0.11252,-0.16007,-0.20663,-0.25239,-0.29688,-0.33982,-0.38142,-0.42122,-0.45938,-0.49612,-0.53139,-0.56546,-0.59867,-0.63124,-0.66375,-0.69636,-0.72959,-0.76393,-0.79928,-0.83634,-0.87511,-0.91549,-0.95774,-1.00124,-1.04594,-1.09139,-1.13686,-1.18182,-1.22539,-1.26656,-1.30451,-1.33837,-1.36714,-1.38996,-1.40602,-1.41452,-1.41482,-1.40652,-1.38930,-1.36301,-1.32773,-1.28371,-1.23141,-1.17120,-1.10404,-1.03063,-0.95181,-0.86884,-0.78256,-0.69416,-0.60457,-0.51476,-0.42588,-0.33859,-0.25390,-0.17235,-0.09453,-0.02096,0.04809,0.11229,0.17162,0.22603,0.27582,0.32061,0.36088,0.39686,0.42861,0.45661,0.48121,0.50245,0.52060,0.53597,0.54864,0.55874,0.56650,0.57203,0.57533,0.57638,0.57516
0,0,6,-0.93670,-0.83348,-0.72590,-0.61532,-0.50317,-0.39083,-0.27983,-0.17165,-0.06785,0.03009,0.12086,0.20319,0.27581,0.33808,0.38924,0.42861,0.45614,0.47176,0.47568,0.46833,0.45048,0.42282,0.38636,0.34237,0.29179,0.23611,0.17640,0.11370,0.04935,-0.01583,-0.08082,-0.14490,-0.20760,-0.26855,-0.32766,-0.38463,-0.43971,-0.49299,-0.54452,-0.59488,-0.64395,-0.69222,-0.73988,-0.78689,-0.83357,-0.87960,-0.92503,-0.96969,-1.01305,-1.05505,-1.09496,-1.13246,-1.16742,-1.19921,-1.22792,-1.25308,-1.27471,-1.29279,-1.30730,-1.31868,-1.32716,-1.33325,-1.33742,-1.34005,-1.34196,-1.34340,-1.34491,-1.34721,-1.35041,-1.35506,-1.36127,-1.36936,-1.37936,-1.39129,-1.40528,-1.42105,-1.43829,-1.45684,-1.47631,-1.49631,-1.51639,-1.53608,-1.55473,-1.57174,-1.58648,-1.59840,-1.60678,-1.61084,-1.61018,-1.60382,-1.59113,-1.57171,-1.54478,-1.50982,-1.46682,-1.41534,-1.35532,-1.28709,-1.21050,-1.12622,-1.03472
0,0,7,-0.91359,-0.87075,-0.82379,-0.77377,-0.72197,-0.66967,-0.61779,-0.56791,-0.52108,-0.47835,-0.44087,-0.40923,-0.38404,-0.36588,-0.35516,-0.35207,-0.35668,-0.36884,-0.38811,-0.41412,-0.44630,-0.48395,-0.52645,-0.57289,-0.62247,-0.67425,-0.72698,-0.77978,-0.83141,-0.88056,-0.92662,-0.96804,-1.00398,-1.03332,-1.05467,-1.06734,-1.06997,-1.06199,-1.04268,-1.01123,-0.96739,-0.91080,-0.84154,-0.75983,-0.66606,-0.56097,-0.44542,-0.32076,-0.18842,-0.05017,0.09231,0.23709,0.38208,0.52541,0.66474,0.79819,0.92377,1.03958,1.14405,1.23565,1.31332,1.37595,1.42296,1.45390,1.46847,1.46685,1.44938,1.41660,1.36939,1.30852,1.23522,1.15055,1.05597,0.95276,0.84230,0.72620,0.60557,0.48211,0.35707,0.23163,0.10712,-0.01537,-0.13456,-0.24947,-0.35915,-0.46248,-0.55898,-0.64778,-0.72811,-0.79983,-0.86211,-0.91468,-0.95750,-0.98999,-1.01247,-1.02500,-1.02763,-1.02111,-1.00561,-0.98201,-0.95106
0,0,8,-0.94260,-0.82864,-0.71107,-0.59074,-0.46838,-0.34521,-0.22180,-0.09911,0.02179,0.14029,0.25542,0.36637,0.47251,0.57333,0.66820,0.75693,0.83919,0.91488,0.98438,1.04779,1.10556,1.15830,1.20662,1.25143,1.29344,1.33378,1.37332,1.41279,1.45302,1.49451,1.53755,1.58214,1.62833,1.67559,1.72317,1.77029,1.81564,1.85782,1.89556,1.92701,1.95060,1.96488,1.96806,1.95896,1.93652,1.89974,1.84821,1.78164,1.70000,1.60388,1.49395,1.37132,1.23744,1.09378,0.94204,0.78411,0.62204,0.45759,0.29276,0.12944,-0.03094,-0.18675,-0.33662,-0.47964,-0.61494,-0.74203,-0.86049,-0.97021,-1.07133,-1.16401,-1.24866,-1.32574,-1.39591,-1.45961,-1.51723,-1.56970,-1.61712,-1.65994,-1.69875,-1.73324,-1.76363,-1.78983,-1.81130,-1.82815,-1.83984,-1.84589,-1.84598,-1.83956,-1.82603,-1.80499,-1.77630,-1.73946,-1.69451,-1.64117,-1.57963,-1.50994,-1.43238,-1.34742,-1.25525,-1.15672,-1.05223
0,1,0,1.58341,1.55495,1.52609,1.49668,1.46663,1.43578,1.40387,1.37086,1.33646,1.30069,1.26356,1.22481,1.18468,1.14324,1.10063,1.05728,1.01357,0.97005,0.92727,0.88575,0.84654,0.80991,0.77684,0.74807,0.72385,0.70517,0.69213,0.68529,0.68470,0.69041,0.70239,0.72027,0.74381,0.77238,0.80546,0.84242,0.88222,0.92437,0.96783,1.01179,1.05596,1.09901,1.14081,1.18059,1.21785,1.25244,1.28417,1.31310,1.33921,1.36267,1.38361,1.40270,1.42015,1.43666,1.45279,1.46891,1.48553,1.50309,1.52216,1.54302,1.56573,1.59086,1.61814,1.64734,1.67868,1.71139,1.74528,1.77995,1.81462,1.84884,1.88194,1.91324,1.94225,1.96842,1.99128,2.01047,2.02579,2.03695,2.04403,2.04701,2.04588,2.04110,2.03283,2.02140,2.00728,1.99057,1.97159,1.95075,1.92836,1.90474,1.88020,1.85492,1.82893,1.80257,1.77581,1.74885,1.72171,1.69436,1.66693,1.63924,1.61142
