_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99
1.02771,1.03039,1.01578,0.98463,0.94033,0.88828,0.83479,0.78563,0.74434,0.71154,0.68482,0.65952,0.63023,0.59236,0.54367,0.48497,0.42035,0.35632,0.30039,0.25945,0.23798,0.23716,0.25471,0.28522,0.32127,0.35500,0.37937,0.38916,0.38215,0.35917,0.32397,0.28172,0.23779,0.19591,0.15743,0.12127,0.08495,0.04633,0.00469,-0.03879,-0.08129,-0.11967,-0.15160,-0.17595,-0.19305,-0.20374,-0.20891,-0.20875,-0.20305,-0.19158,-0.17449,-0.15321,-0.13037,-0.10968,-0.09532,-0.09099,-0.09908,-0.11981,-0.15097,-0.18812,-0.22523,-0.25580,-0.27380,-0.27509,-0.25780,-0.22305,-0.17463,-0.11862,-0.06234,-0.01315,0.02309,0.04316,0.04733,0.03928,0.02552,0.01387,0.01209,0.02614,0.05930,0.11144,0.17936,0.25724,0.33795,0.41449,0.48114,0.53468,0.57493,0.60420,0.62658,0.64683,0.66887,0.69541,0.72747,0.76489,0.80663,0.85112,0.89641,0.94008,0.97902,1.00952
0.66584,0.64495,0.62652,0.62026,0.63206,0.66294,0.70900,0.76259,0.81474,0.85691,0.88314,0.89056,0.87946,0.85256,0.81379,0.76724,0.71662,0.66502,0.61502,0.56892,0.52865,0.49577,0.47099,0.45371,0.44218,0.43331,0.42362,0.41010,0.39079,0.36543,0.33543,0.30309,0.27136,0.24283,0.21980,0.20421,0.19796,0.20287,0.22016,0.24970,0.28895,0.33298,0.37494,0.40731,0.42394,0.42135,0.39964,0.36196,0.31355,0.26002,0.20651,0.15702,0.11442,0.08089,0.05823,0.04784,0.05021,0.06460,0.08856,0.11805,0.14848,0.17564,0.19697,0.21216,0.22279,0.23129,0.23954,0.24760,0.25317,0.25227,0.24055,0.21443,0.17260,0.11599,0.04765,-0.02821,-0.10723,-0.18519,-0.25831,-0.32305,-0.37577,-0.41296,-0.43157,-0.42954,-0.40643,-0.36365,-0.30422,-0.23205,-0.15088,-0.06362,0.02820,0.12410,0.22345,0.32446,0.42332,0.51399,0.58952,0.64358,0.67283,0.67833
0.35462,0.33107,0.30686,0.28325,0.26231,0.24615,0.23646,0.23360,0.23668,0.24361,0.25199,0.25992,0.26615,0.27011,0.27141,0.26909,0.26160,0.24700,0.22394,0.19223,0.15315,0.10958,0.06481,0.02191,-0.01690,-0.05023,-0.07732,-0.09736,-0.10935,-0.11197,-0.10441,-0.08686,-0.06106,-0.03025,0.00119,0.02880,0.04891,0.05961,0.06080,0.05421,0.04279,0.02988,0.01853,0.01063,0.00708,0.00760,0.01117,0.01624,0.02118,0.02402,0.02263,0.01469,-0.00186,-0.02838,-0.06473,-0.10861,-0.15614,-0.20189,-0.24013,-0.26589,-0.27591,-0.26908,-0.24636,-0.21075,-0.16642,-0.11801,-0.06979,-0.02526,0.01352,0.04594,0.07272,0.09550,0.11648,0.13811,0.16281,0.19264,0.22874,0.27133,0.31935,0.37042,0.42147,0.46917,0.51077,0.54429,0.56896,0.58488,0.59270,0.59336,0.58784,0.57728,0.56255,0.54484,0.52509,0.50417,0.48278,0.46142,0.44031,0.41937,0.39845,0.37701
0.37677,0.33082,0.26971,0.20176,0.13536,0.07754,0.03258,0.00192,-0.01581,-0.02383,-0.02604,-0.02616,-0.02692,-0.02992,-0.03594,-0.04486,-0.05611,-0.06838,-0.07942,-0.08641,-0.08576,-0.07447,-0.05086,-0.01569,0.02721,0.07129,0.10836,0.13058,0.13238,0.11228,0.07373,0.02436,-0.02563,-0.06616,-0.08976,-0.09347,-0.07948,-0.05394,-0.02496,-0.00006,0.01596,0.02195,0.01993,0.01361,0.00657,0.00076,-0.00404,-0.01000,-0.01979,-0.03530,-0.05659,-0.08111,-0.10419,-0.11985,-0.12210,-0.10664,-0.07207,-0.02070,0.04171,0.10685,0.16545,0.20949,0.23371,0.23655,0.22053,0.19110,0.15558,0.12127,0.09383,0.07626,0.06827,0.06689,0.06675,0.06185,0.04672,0.01756,-0.02685,-0.08494,-0.15247,-0.22306,-0.28912,-0.34287,-0.37761,-0.38895,-0.37551,-0.33955,-0.28624,-0.22249,-0.15523,-0.08952,-0.02762,0.03132,0.08971,0.15001,0.21272,0.27526,0.33210,0.37612,0.40063,0.40108
0.02580,0.00262,-0.00429,0.00106,0.01427,0.03236,0.05450,0.08197,0.11769,0.16485,0.22537,0.29901,0.38233,0.46899,0.55040,0.61728,0.66104,0.67532,0.65713,0.60731,0.53033,0.43372,0.32671,0.21882,0.11892,0.03426,-0.02999,-0.07083,-0.08742,-0.08101,-0.05473,-0.01342,0.03689,0.08969,0.13876,0.17899,0.20713,0.22215,0.22511,0.21846,0.20541,0.18902,0.17176,0.15539,0.14138,0.13142,0.12727,0.13068,0.14253,0.16163,0.18462,0.20615,0.22012,0.22112,0.20639,0.17653,0.13538,0.08912,0.04410,0.00520,-0.02565,-0.04957,-0.07008,-0.09127,-0.11577,-0.14311,-0.16899,-0.18597,-0.18544,-0.15987,-0.10549,-0.02361,0.07920,0.19221,0.30293,0.39924,0.47167,0.51491,0.52799,0.51418,0.47994,0.43365,0.38436,0.34028,0.30813,0.29208,0.29369,0.31168,0.34244,0.37989,0.41638,0.44356,0.45371,0.44147,0.40523,0.34775,0.27581,0.19892,0.12681,0.06752
0.03363,0.01468,-0.01273,-0.04468,-0.07553,-0.09933,-0.11138,-0.10937,-0.09391,-0.06734,-0.03296,0.00613,0.04767,0.08953,0.12917,0.16288,0.18609,0.19456,0.18603,0.16134,0.12468,0.08263,0.04224,0.00919,-0.01359,-0.02605,-0.03039,-0.02992,-0.02766,-0.02584,-0.02565,-0.02715,-0.02982,-0.03245,-0.03358,-0.03168,-0.02554,-0.01456,0.00112,0.02020,0.04096,0.06120,0.07913,0.09372,0.10467,0.11264,0.11855,0.12289,0.12550,0.12504,0.11973,0.10794,0.08918,0.06466,0.03733,0.01131,-0.00930,-0.02147,-0.02384,-0.01673,-0.00170,0.01935,0.04465,0.07242,0.10107,0.12865,0.15264,0.17049,0.17981,0.17901,0.16753,0.14579,0.11493,0.07678,0.03358,-0.01225,-0.05785,-0.10029,-0.13696,-0.16583,-0.18602,-0.19787,-0.20285,-0.20305,-0.20050,-0.19654,-0.19149,-0.18460,-0.17449,-0.15995,-0.14048,-0.11655,-0.08947,-0.06114,-0.03340,-0.00792,0.01392,0.03071,0.04080,0.04225
-0.11002,-0.15129,-0.19566,-0.23896,-0.27644,-0.30294,-0.31407,-0.30638,-0.27801,-0.22930,-0.16298,-0.08442,-0.00083,0.07956,0.14889,0.20092,0.23209,0.24221,0.23429,0.21361,0.18696,0.16094,0.14097,0.13008,0.12889,0.13567,0.14709,0.15974,0.17110,0.18035,0.18867,0.19884,0.21423,0.23748,0.26947,0.30877,0.35136,0.39155,0.42302,0.44068,0.44179,0.42678,0.39894,0.36347,0.32583,0.29051,0.25995,0.23438,0.21234,0.19135,0.16869,0.14176,0.10876,0.06875,0.02221,-0.02881,-0.08065,-0.12866,-0.16816,-0.19583,-0.21047,-0.21379,-0.21013,-0.20528,-0.20500,-0.21340,-0.23163,-0.25723,-0.28418,-0.30394,-0.30773,-0.28794,-0.24049,-0.16610,-0.07022,0.03766,0.14590,0.24301,0.31960,0.37001,0.39312,0.39218,0.37367,0.34545,0.31498,0.28736,0.26458,0.24523,0.22619,0.20403,0.17666,0.14445,0.10978,0.07600,0.04592,0.02057,-0.00114,-0.02206,-0.04557,-0.07451
-0.10463,-0.00413,0.11178,0.23120,0.34103,0.42970,0.48934,0.51695,0.51461,0.48805,0.44501,0.39304,0.33832,0.28461,0.23345,0.18484,0.13787,0.09199,0.04725,0.00514,-0.03184,-0.06039,-0.07740,-0.08099,-0.07128,-0.05087,-0.02465,0.00141,0.02143,0.03091,0.02770,0.01188,-0.01426,-0.04706,-0.08216,-0.11476,-0.14022,-0.15455,-0.15500,-0.14064,-0.11275,-0.07457,-0.03069,0.01419,0.05641,0.09414,0.12762,0.15851,0.18879,0.21960,0.25028,0.27831,0.29971,0.31076,0.30895,0.29454,0.27057,0.24232,0.21583,0.19640,0.18706,0.18816,0.19740,0.21057,0.22262,0.22861,0.22440,0.20732,0.17653,0.13337,0.08126,0.02563,-0.02667,-0.06869,-0.09424,-0.09933,-0.08296,-0.04752,0.00155,0.05681,0.11008,0.15404,0.18329,0.19511,0.18944,0.16852,0.13604,0.09622,0.05292,0.00895,-0.03415,-0.07602,-0.11687,-0.15661,-0.19388,-0.22542,-0.24599,-0.24922,-0.22893,-0.18091
0.51634,0.51306,0.49358,0.46035,0.41800,0.37282,0.33170,0.30100,0.28528,0.28631,0.30261,0.32952,0.36018,0.38696,0.40327,0.40470,0.39024,0.36276,0.32814,0.29444,0.27019,0.26258,0.27572,0.30972,0.36036,0.41998,0.47913,0.52851,0.56117,0.57368,0.56653,0.54369,0.51145,0.47701,0.44730,0.42758,0.42087,0.42721,0.44366,0.46433,0.48123,0.48525,0.46789,0.42283,0.34735,0.24315,0.11644,-0.02304,-0.16349,-0.29264,-0.39961,-0.47621,-0.51748,-0.52210,-0.49218,-0.43281,-0.35150,-0.25732,-0.16010,-0.06895,0.00871,0.06839,0.10878,0.13162,0.14048,0.13978,0.13315,0.12275,0.10913,0.09157,0.06908,0.04134,0.00910,-0.02552,-0.05945,-0.08948,-0.11285,-0.12785,-0.13392,-0.13177,-0.12278,-0.10851,-0.09052,-0.06974,-0.04680,-0.02184,0.00517,0.03426,0.06543,0.09866,0.13390,0.17125,0.21102,0.25353,0.29873,0.34595,0.39334,0.43800,0.47602,0.50330
-0.04407,-0.02621,0.00387,0.03973,0.07424,0.10064,0.11407,0.11244,0.09677,0.07090,0.04089,0.01377,-0.00367,-0.00611,0.00957,0.04414,0.09616,0.16261,0.23940,0.32186,0.40512,0.48416,0.55425,0.61105,0.65106,0.67150,0.67076,0.64836,0.60546,0.54499,0.47223,0.39473,0.32161,0.26253,0.22619,0.21851,0.24152,0.29305,0.36683,0.45362,0.54269,0.62360,0.68748,0.72862,0.74511,0.73852,0.71357,0.67681,0.63540,0.59562,0.56201,0.53680,0.52001,0.50999,0.50432,0.50047,0.49685,0.49282,0.48887,0.48642,0.48725,0.49303,0.50503,0.52361,0.54822,0.57730,0.60846,0.63836,0.66329,0.67918,0.68231,0.66978,0.64002,0.59376,0.53409,0.46642,0.39765,0.33511,0.28489,0.25110,0.23522,0.23613,0.25080,0.27481,0.30325,0.33122,0.35428,0.36876,0.37225,0.36334,0.34200,0.30910,0.26626,0.21566,0.16009,0.10326,0.04947,0.00375,-0.02910,-0.04550
