fault_size,load,file_name,variable_name,axis,domain,sample_size,rotation_hz,label,sample_rate,component_location
0.0,0.0,97.mat,X097_DE_time,DE,time,243938,29.95,0,12000,
0.0,0.0,97.mat,X097_FE_time,FE,time,243938,29.95,0,12000,
0.0,1.0,98.mat,X098_DE_time,DE,time,483903,29.53333333333333,0,12000,
0.0,1.0,98.mat,X098_FE_time,FE,time,483903,29.53333333333333,0,12000,
0.0,2.0,99.mat,X099_DE_time,DE,time,485063,29.16666666666667,0,12000,
0.0,2.0,99.mat,X099_FE_time,FE,time,485063,29.16666666666667,0,12000,
0.0,3.0,100.mat,X100_DE_time,DE,time,485643,28.83333333333333,0,12000,
0.0,3.0,100.mat,X100_FE_time,FE,time,485643,28.83333333333333,0,12000,
0.007,0.0,105.mat,X105_DE_time,DE,time,121265,29.95,1,12000,DE
0.007,0.0,105.mat,X105_FE_time,FE,time,121265,29.95,1,12000,DE
0.007,0.0,105.mat,X105_BA_time,BA,time,121265,29.95,1,12000,DE
0.007,1.0,106.mat,X106_DE_time,DE,time,121991,29.53333333333333,1,12000,DE
0.007,1.0,106.mat,X106_FE_time,FE,time,121991,29.53333333333333,1,12000,DE
0.007,1.0,106.mat,X106_BA_time,BA,time,121991,29.53333333333333,1,12000,DE
0.007,2.0,107.mat,X107_DE_time,DE,time,122136,29.16666666666667,1,12000,DE
0.007,2.0,107.mat,X107_FE_time,FE,time,122136,29.16666666666667,1,12000,DE
0.007,2.0,107.mat,X107_BA_time,BA,time,122136,29.16666666666667,1,12000,DE
0.007,3.0,108.mat,X108_DE_time,DE,time,122917,28.83333333333333,1,12000,DE
0.007,3.0,108.mat,X108_FE_time,FE,time,122917,28.83333333333333,1,12000,DE
0.007,3.0,108.mat,X108_BA_time,BA,time,122917,28.83333333333333,1,12000,DE
0.007,0.0,118.mat,X118_DE_time,DE,time,122571,29.95,3,12000,DE
0.007,0.0,118.mat,X118_FE_time,FE,time,122571,29.95,3,12000,DE
0.007,0.0,118.mat,X118_BA_time,BA,time,122571,29.95,3,12000,DE
0.007,1.0,119.mat,X119_DE_time,DE,time,121410,29.53333333333333,3,12000,DE
0.007,1.0,119.mat,X119_FE_time,FE,time,121410,29.53333333333333,3,12000,DE
0.007,1.0,119.mat,X119_BA_time,BA,time,121410,29.53333333333333,3,12000,DE
0.007,2.0,120.mat,X120_DE_time,DE,time,121556,29.16666666666667,3,12000,DE
0.007,2.0,120.mat,X120_FE_time,FE,time,121556,29.16666666666667,3,12000,DE
0.007,2.0,120.mat,X120_BA_time,BA,time,121556,29.16666666666667,3,12000,DE
0.007,3.0,121.mat,X121_DE_time,DE,time,121556,28.83333333333333,3,12000,DE
0.007,3.0,121.mat,X121_FE_time,FE,time,121556,28.83333333333333,3,12000,DE
0.007,3.0,121.mat,X121_BA_time,BA,time,121556,28.83333333333333,3,12000,DE
0.007,0.0,130.mat,X130_DE_time,DE,time,121991,29.95,2,12000,DE
0.007,0.0,130.mat,X130_FE_time,FE,time,121991,29.95,2,12000,DE
0.007,0.0,130.mat,X130_BA_time,BA,time,121991,29.95,2,12000,DE
0.007,1.0,131.mat,X131_DE_time,DE,time,122426,29.53333333333333,2,12000,DE
0.007,1.0,131.mat,X131_FE_time,FE,time,122426,29.53333333333333,2,12000,DE
0.007,1.0,131.mat,X131_BA_time,BA,time,122426,29.53333333333333,2,12000,DE
0.007,2.0,132.mat,X132_DE_time,DE,time,121410,29.16666666666667,2,12000,DE
0.007,2.0,132.mat,X132_FE_time,FE,time,121410,29.16666666666667,2,12000,DE
0.007,2.0,132.mat,X132_BA_time,BA,time,121410,29.16666666666667,2,12000,DE
0.007,3.0,133.mat,X133_DE_time,DE,time,122571,28.83333333333333,2,12000,DE
0.007,3.0,133.mat,X133_FE_time,FE,time,122571,28.83333333333333,2,12000,DE
0.007,3.0,133.mat,X133_BA_time,BA,time,122571,28.83333333333333,2,12000,DE
0.014,0.0,169.mat,X169_DE_time,DE,time,121846,29.95,1,12000,DE
0.014,0.0,169.mat,X169_FE_time,FE,time,121846,29.95,1,12000,DE
0.014,0.0,169.mat,X169_BA_time,BA,time,121846,29.95,1,12000,DE
0.014,1.0,170.mat,X170_DE_time,DE,time,121846,29.53333333333333,1,12000,DE
0.014,1.0,170.mat,X170_FE_time,FE,time,121846,29.53333333333333,1,12000,DE
0.014,1.0,170.mat,X170_BA_time,BA,time,121846,29.53333333333333,1,12000,DE
0.014,2.0,171.mat,X171_DE_time,DE,time,121846,29.16666666666667,1,12000,DE
0.014,2.0,171.mat,X171_FE_time,FE,time,121846,29.16666666666667,1,12000,DE
0.014,2.0,171.mat,X171_BA_time,BA,time,121846,29.16666666666667,1,12000,DE
0.014,3.0,172.mat,X172_DE_time,DE,time,121701,28.83333333333333,1,12000,DE
0.014,3.0,172.mat,X172_FE_time,FE,time,121701,28.83333333333333,1,12000,DE
0.014,3.0,172.mat,X172_BA_time,BA,time,121701,28.83333333333333,1,12000,DE
0.014,0.0,185.mat,X185_DE_time,DE,time,121846,29.95,3,12000,DE
0.014,0.0,185.mat,X185_FE_time,FE,time,121846,29.95,3,12000,DE
0.014,0.0,185.mat,X185_BA_time,BA,time,121846,29.95,3,12000,DE
0.014,1.0,186.mat,X186_DE_time,DE,time,122136,29.53333333333333,3,12000,DE
0.014,1.0,186.mat,X186_FE_time,FE,time,122136,29.53333333333333,3,12000,DE
0.014,1.0,186.mat,X186_BA_time,BA,time,122136,29.53333333333333,3,12000,DE
0.014,2.0,187.mat,X187_DE_time,DE,time,121991,29.16666666666667,3,12000,DE
0.014,2.0,187.mat,X187_FE_time,FE,time,121991,29.16666666666667,3,12000,DE
0.014,2.0,187.mat,X187_BA_time,BA,time,121991,29.16666666666667,3,12000,DE
0.014,3.0,188.mat,X188_DE_time,DE,time,122136,28.83333333333333,3,12000,DE
0.014,3.0,188.mat,X188_FE_time,FE,time,122136,28.83333333333333,3,12000,DE
