file_name,label,load_W,shaft_frequency_hz,sample_rate,has_runup,bearing.id,bearing.inner_diameter_mm,bearing.outer_diameter_mm,bearing.ball_diameter_mm,bearing.ball_number
HUST bearing dataset/I404.mat,41,400,23.09,51200,True,6204,20,47,7.6,8
HUST bearing dataset/B504.mat,43,400,22.86,51200,True,6205,25,52,7.8,9
HUST bearing dataset/B704.mat,43,400,22.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/I804.mat,41,400,22.84,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IB602.mat,44,200,24.19,51200,True,6206,30,62,9.0,9
HUST bearing dataset/O404.mat,42,400,23.12,51200,True,6204,20,47,7.6,8
HUST bearing dataset/N802.mat,40,200,24.22,51200,True,6208,40,80,12.0,9
HUST bearing dataset/I702.mat,41,200,24.17,51200,True,6207,35,72,11.0,9
HUST bearing dataset/N600.mat,40,0,24.88,51200,True,6206,30,62,9.0,9
HUST bearing dataset/O700.mat,42,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/O800.mat,42,0,24.73,51200,True,6208,40,80,12.0,9
HUST bearing dataset/O600.mat,42,0,24.83,51200,True,6206,30,62,9.0,9
HUST bearing dataset/I802.mat,41,200,24.12,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IB802.mat,44,200,23.96,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IO500.mat,45,0,24.88,51200,True,6205,25,52,7.8,9
HUST bearing dataset/OB502.mat,46,200,24.22,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IO702.mat,45,200,24.01,51200,True,6207,35,72,11.0,9
HUST bearing dataset/B502.mat,43,200,24.16,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IB700.mat,44,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/N800.mat,40,0,24.93,51200,True,6208,40,80,12.0,9
HUST bearing dataset/I504.mat,41,400,22.73,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IB604.mat,44,400,22.89,51200,True,6206,30,62,9.0,9
HUST bearing dataset/IO600.mat,45,0,24.86,51200,True,6206,30,62,9.0,9
HUST bearing dataset/OB404.mat,46,400,23.1,51200,True,6204,20,47,7.6,8
HUST bearing dataset/IO402.mat,45,200,24.42,51200,True,6204,20,47,7.6,8
HUST bearing dataset/N602.mat,40,200,24.22,51200,True,6206,30,62,9.0,9
HUST bearing dataset/OB604.mat,46,400,22.99,51200,True,6206,30,62,9.0,9
HUST bearing dataset/O704.mat,42,400,22.63,51200,True,6207,35,72,11.0,9
HUST bearing dataset/B802.mat,43,200,24.06,51200,True,6208,40,80,12.0,9
HUST bearing dataset/I402.mat,41,200,24.27,51200,True,6204,20,47,7.6,8
HUST bearing dataset/O402.mat,42,200,24.22,51200,True,6204,20,47,7.6,8
HUST bearing dataset/B602.mat,43,200,24.07,51200,True,6206,30,62,9.0,9
HUST bearing dataset/O804.mat,42,400,22.86,51200,True,6208,40,80,12.0,9
HUST bearing dataset/I604.mat,41,400,22.84,51200,True,6206,30,62,9.0,9
HUST bearing dataset/IO802.mat,45,200,24.06,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IO504.mat,45,400,22.86,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IO604.mat,45,400,22.89,51200,True,6206,30,62,9.0,9
HUST bearing dataset/IB504.mat,44,400,22.99,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IB600.mat,44,0,24.83,51200,True,6206,30,62,9.0,9
HUST bearing dataset/B604.mat,43,400,22.7,51200,True,6206,30,62,9.0,9
HUST bearing dataset/IO704.mat,45,400,23.09,51200,True,6207,35,72,11.0,9
HUST bearing dataset/OB704.mat,46,400,22.63,51200,True,6207,35,72,11.0,9
HUST bearing dataset/O504.mat,42,400,22.88,51200,True,6205,25,52,7.8,9
HUST bearing dataset/I500.mat,41,0,24.88,51200,True,6205,25,52,7.8,9
HUST bearing dataset/OB504.mat,46,400,22.89,51200,True,6205,25,52,7.8,9
HUST bearing dataset/I704.mat,41,400,22.94,51200,True,6207,35,72,11.0,9
HUST bearing dataset/O502.mat,42,200,24.16,51200,True,6205,25,52,7.8,9
HUST bearing dataset/IO800.mat,45,0,24.73,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IO404.mat,45,400,23.24,51200,True,6204,20,47,7.6,8
HUST bearing dataset/N502.mat,40,200,24.22,51200,True,6205,25,52,7.8,9
HUST bearing dataset/OB600.mat,46,0,24.83,51200,True,6206,30,62,9.0,9
HUST bearing dataset/OB804.mat,46,400,22.53,51200,True,6208,40,80,12.0,9
HUST bearing dataset/O500.mat,42,0,24.88,51200,True,6205,25,52,7.8,9
HUST bearing dataset/N400.mat,40,0,24.93,51200,True,6204,20,47,7.6,8
