AGE,DAY,SUBJECT,minutes
0,1,0,250
0,2,0,278
0,3,0,442
0,4,0,368
0,5,0,456
0,1,1,65
0,2,1,207
0,3,1,341
0,4,1,382
0,5,1,298
0,1,2,251
0,2,2,261
0,3,2,384
0,4,2,421
0,5,2,342
0,1,3,241
0,2,3,314
0,3,3,423
0,4,3,415
0,5,3,468
0,1,4,154
0,2,4,167
0,3,4,257
0,4,4,275
0,5,4,332
0,1,5,103
0,2,5,286
0,3,5,401
0,4,5,291
0,5,5,367
0,1,6,230
0,2,6,306
0,3,6,432
0,4,6,386
0,5,6,423
1,1,10,54
1,2,10,172
1,3,10,307
1,4,10,261
1,5,10,360
1,1,11,20
1,2,11,116
1,3,11,425
1,4,11,398
1,5,11,268
1,1,12,41
1,2,12,168
1,3,12,378
1,4,12,317
1,5,12,470
1,1,13,200
1,2,13,157
1,3,13,283
1,4,13,259
1,5,13,273
1,1,14,34
1,2,14,86
1,3,14,351
1,4,14,280
1,5,14,320
1,1,15,29
1,2,15,81
1,3,15,193
1,4,15,240
1,5,15,233
1,1,16,3
1,2,16,54
1,3,16,285
1,4,16,216
1,5,16,245
2,1,20,118
2,2,20,124
2,3,20,365
2,4,20,311
2,5,20,331
2,1,21,83
2,2,21,266
2,3,21,382
2,4,21,369
2,5,21,295
2,1,22,38
2,2,22,207
2,3,22,289
2,4,22,385
2,5,22,373
2,1,23,71
2,2,23,211
2,3,23,356
2,4,23,380
2,5,23,305
2,1,24,123
2,2,24,331
2,3,24,407
2,4,24,461
2,5,24,445
2,1,25,71
2,2,25,285
2,3,25,471
2,4,25,407
2,5,25,433
2,1,26,108
2,2,26,247
2,3,26,317
2,4,26,307
2,5,26,324
