# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=CGS => separate p/e => code, pFactor=8.262445e-40, eFactor=7.425915e-19
# p (code_units),epsilon (code_units),n
7.843833e-17,1.231819e-12,1.e-9
8.358281e-17,1.304810e-12,1.059253725177289e-9
8.910376e-17,1.382125e-12,1.1220184543019634e-9
9.503938e-17,1.464022e-12,1.1885022274370183e-9
1.014265e-16,1.550772e-12,1.258925411794167e-9
1.082933e-16,1.642663e-12,1.3335214321633241e-9
1.156877e-16,1.739998e-12,1.412537544622754e-9
1.236471e-16,1.843102e-12,1.4962356560944331e-9
1.322183e-16,1.952314e-12,1.5848931924611132e-9
1.414546e-16,2.067999e-12,1.6788040181225601e-9
1.514072e-16,2.190538e-12,1.7782794100389224e-9
1.621380e-16,2.320339e-12,1.8836490894898e-9
1.737062e-16,2.457832e-12,1.995262314968879e-9
1.861890e-16,2.603472e-12,2.1134890398366465e-9
1.996531e-16,2.757742e-12,2.2387211385683386e-9
2.141826e-16,2.921153e-12,2.3713737056616544e-9
2.298809e-16,3.094248e-12,2.5118864315095795e-9
2.468057e-16,3.277601e-12,2.660725059798809e-9
2.650988e-16,3.471818e-12,2.818382931264453e-9
2.848628e-16,3.677545e-12,2.9853826189179584e-9
3.061925e-16,3.895462e-12,3.162277660168378e-9
3.292697e-16,4.126293e-12,3.3496543915782753e-9
3.541828e-16,4.370802e-12,3.5481338923357525e-9
3.811101e-16,4.629801e-12,3.75837404288444e-9
4.102686e-16,4.904147e-12,3.981071705534971e-9
4.416997e-16,5.194751e-12,4.216965034285821e-9
4.757388e-16,5.502576e-12,4.4668359215096285e-9
5.125557e-16,5.828643e-12,4.731512589614802e-9
5.523013e-16,6.174032e-12,5.01187233627272e-9
5.953716e-16,6.539888e-12,5.308844442309881e-9
6.418735e-16,6.927426e-12,5.623413251903486e-9
6.921709e-16,7.337928e-12,5.956621435290101e-9
7.467024e-16,7.772757e-12,6.309573444801929e-9
8.054427e-16,8.233354e-12,6.683439175686141e-9
8.691224e-16,8.721247e-12,7.0794578438413736e-9
9.380215e-16,9.238052e-12,7.498942093324553e-9
1.012382e-15,9.785483e-12,7.943282347242809e-9
1.093022e-15,1.036536e-11,8.413951416451945e-9
1.180053e-15,1.097959e-11,8.912509381337448e-9
1.274196e-15,1.163023e-11,9.440608762859224e-9
1.376308e-15,1.231943e-11,9.999999999999992e-9
1.486198e-15,1.304946e-11,1.0592537251772881e-8
1.605365e-15,1.382277e-11,1.1220184543019624e-8
1.734272e-15,1.464190e-11,1.1885022274370173e-8
1.873313e-15,1.550957e-11,1.258925411794166e-8
2.024101e-15,1.642866e-11,1.333521432163323e-8
2.186725e-15,1.740222e-11,1.4125375446227528e-8
2.362566e-15,1.843348e-11,1.4962356560944316e-8
2.553258e-15,1.952586e-11,1.584893192461112e-8
2.758249e-15,2.068297e-11,1.6788040181225588e-8
2.980474e-15,2.190865e-11,1.7782794100389212e-8
3.220696e-15,2.320698e-11,1.8836490894897986e-8
3.479553e-15,2.458225e-11,1.9952623149688773e-8
3.760097e-15,2.603902e-11,2.1134890398366446e-8
4.062308e-15,2.758213e-11,2.2387211385683365e-8
4.388724e-15,2.921669e-11,2.3713737056616525e-8
4.742291e-15,3.094813e-11,2.511886431509577e-8
5.121696e-15,3.278217e-11,2.6607250597988067e-8
5.532305e-15,3.472492e-11,2.8183829312644504e-8
5.975213e-15,3.678280e-11,2.9853826189179556e-8
6.451295e-15,3.896264e-11,3.162277660168375e-8
6.965980e-15,4.127168e-11,3.349654391578272e-8
7.519264e-15,4.371756e-11,3.548133892335749e-8
8.116367e-15,4.630841e-11,3.758374042884437e-8
8.763574e-15,4.905281e-11,3.981071705534967e-8
9.459306e-15,5.195986e-11,4.216965034285817e-8
1.021407e-14,5.503921e-11,4.466835921509625e-8
1.103043e-14,5.830107e-11,4.731512589614798e-8
1.191044e-14,6.175626e-11,5.011872336272716e-8
1.286471e-14,6.541623e-11,5.308844442309876e-8
1.389295e-14,6.929313e-11,5.623413251903482e-8
1.500405e-14,7.339981e-11,5.956621435290095e-8
1.620834e-14,7.774990e-11,6.309573444801923e-8
1.750120e-14,8.235780e-11,6.683439175686137e-8
1.890176e-14,8.723883e-11,7.079457843841369e-8
2.041425e-14,9.240916e-11,7.498942093324546e-8
2.204236e-14,9.788594e-11,7.943282347242802e-8
2.380576e-14,1.036873e-10,8.413951416451939e-8
2.570371e-14,1.098326e-10,8.912509381337439e-8
2.775255e-14,1.163421e-10,9.440608762859217e-8
2.997110e-14,1.232375e-10,9.999999999999984e-8
3.235075e-14,1.305415e-10,1.0592537251772871e-7
3.492648e-14,1.382785e-10,1.1220184543019616e-7
3.770572e-14,1.464741e-10,1.1885022274370163e-7
4.069471e-14,1.551554e-10,1.2589254117941648e-7
4.392863e-14,1.643514e-10,1.3335214321633217e-7
4.740566e-14,1.740924e-10,1.4125375446227515e-7
5.115484e-14,1.844109e-10,1.4962356560944304e-7
5.520973e-14,1.953410e-10,1.5848931924611106e-7
5.955499e-14,2.069190e-10,1.6788040181225572e-7
6.425365e-14,2.191833e-10,1.7782794100389192e-7
6.932000e-14,2.321746e-10,1.8836490894897968e-7
7.476702e-14,2.459359e-10,1.9952623149688755e-7
8.065965e-14,2.605131e-10,2.113489039836643e-7
8.699762e-14,2.759543e-10,2.2387211385683348e-7
9.383565e-14,2.923109e-10,2.3713737056616503e-7
1.012365e-13,3.096371e-10,2.511886431509575e-7
1.091748e-13,3.279903e-10,2.660725059798804e-7
1.177652e-13,3.474316e-10,2.8183829312644475e-7
1.270363e-13,3.680254e-10,2.985382618917953e-7
1.370135e-13,3.898400e-10,3.1622776601683723e-7
1.478154e-13,4.129478e-10,3.34965439157827e-7
1.594414e-13,4.374255e-10,3.548133892335747e-7
1.719907e-13,4.633543e-10,3.758374042884433e-7
1.855780e-13,4.908203e-10,3.981071705534964e-7
2.001563e-13,5.199144e-10,4.2169650342858135e-7
2.159359e-13,5.507335e-10,4.466835921509621e-7
