"","name","x.mni","y.mni","z.mni","lobe","hemi","index","network","name.full"
"1","31pd_L",-11.2,-52.4,36.5,"Parietal","L",1,"Default","Area_31pd_L"
"2","7AL_L",-18.8,-48.7,65,"Parietal","L",2,"SMhand","Lateral_Area_7A_L"
"3","4_L1",-51.8,-7.8,38.5,"Frontal","L",3,"SMmouth","Primary_Motor_Cortex_L"
"4","SFL_L1",-11.7,26.7,57,"Frontal","L",4,"Default","Superior_Frontal_Language_Area_L"
"5","V3A_L",-18.4,-85.5,21.6,"Occipital","L",5,"Visual","Area_V3A_L"
"6","PGi_L",-47.2,-58,30.8,"Parietal","L",6,"Default","Area_PGi_L"
"7","a9-46v_L",-38.1,48.8,10.5,"Frontal","L",7,"FrontoParietal","Area_anterior_9-46v_L"
"8","VMV1_L",-16.8,-60.1,-5.4,"Occipital","L",8,"Visual","VentroMedial_Visual_Area_1_L"
"9","TE1p_L1",-55.9,-47.7,-9.3,"Temporal","L",9,"FrontoParietal","Area_TE1_posterior_L"
"10","RI_L1",-32,-29.3,15.6,"Parietal","L",10,"Auditory","RetroInsular_Cortex_L"
"11","TGd_L1",-29.3,5.3,-27.4,"Temporal","L",11,"None","Area_TG_dorsal_L"
"12","RSC_L1",-6.1,-26,28.5,"Parietal","L",12,"CinguloParietal","RetroSplenial_Complex_L"
"13","POS1_L",-14.4,-57.8,18.4,"Parietal","L",13,"RetrosplenialTemporal","Parieto-Occipital_Sulcus_Area_1_L"
"14","RSC_L2",-8.8,-49.8,4.2,"Parietal","L",14,"RetrosplenialTemporal","RetroSplenial_Complex_L"
"15","V1_L1",-11.3,-83.2,3.9,"Occipital","L",15,"Visual","Primary_Visual_Cortex_L"
"16","V1_L2",-22,-58.1,1.5,"Occipital","L",16,"Visual","Primary_Visual_Cortex_L"
"17","V1_L3",-9.6,-58,3,"Occipital","L",17,"Visual","Primary_Visual_Cortex_L"
"18","H_L1",-29,-35.9,-8.3,"Temporal","L",18,"None","Hippocampus_L"
"19","H_L2",-18.5,-39.2,-1.1,"Temporal","L",19,"None","Hippocampus_L"
"20","ProS_L",-16.7,-46,-3.7,"Parietal","L",20,"Visual","ProStriate_Area_L"
"21","5mv_L1",-16.6,-36.1,42.7,"Parietal","L",21,"CinguloOperc","Area_5m_ventral_L"
"22","24dv_L",-9.4,-0.1,42.9,"Frontal","L",22,"CinguloOperc","Ventral_Area_24d_L"
"23","SFL_L2",-3.8,12.1,64.6,"Frontal","L",23,"VentralAttn","Superior_Frontal_Language_Area_L"
"24","8BM_L1",-5.5,29.3,44,"Frontal","L",24,"FrontoParietal","Area_8BM_L"
"25","8BM_L2",-5.6,42.2,35.1,"Frontal","L",25,"Default","Area_8BM_L"
"26","23d_L",-1.7,-17.7,39.1,"Parietal","L",26,"Default","Area_23d_L"
"27","a24pr_L1",-8.4,14.6,33.8,"Frontal","L",27,"CinguloOperc","Anterior_24_prime_L"
"28","a24pr_L2",-9,25.3,27.7,"Frontal","L",28,"CinguloOperc","Anterior_24_prime_L"
"29","a32pr_L",-10,33.9,21.5,"Frontal","L",29,"Salience","Area_anterior_32_prime_L"
