"","name","x.mni","y.mni","z.mni","lobe","hemi","index","network","Anatomy","Brodmann"
"1","Occipital_Inf.L2",-25,-98,-12,"Occipital","L",1,"Uncertain","Inferior Occipital Gyrus",18
"2","Occipital_Pole.R1",27,-97,-13,"Occipital","R",2,"Uncertain","Occipital Pole",18
"3","Frontal_Inf_Orb.R3",24,32,-18,"Frontal","R",3,"Uncertain","Medial Orbital Gyrus",11
"4","Temporal_Inf.L2",-56,-45,-24,"Temporal","L",4,"Uncertain","Inferior Temporal Gyrus",20
"5","Rectus.R2",8,41,-24,"Frontal","R",5,"Uncertain","Gyrus Rectus",11
"6","Hippocampus.L2",-21,-22,-20,"Limbic","L",6,"Uncertain","Cerebral White Matter",30
"7","ParaHippocampal.R2",17,-28,-17,"Limbic","R",7,"Uncertain",NA,0
"8","Fusiform.L3",-37,-29,-26,"Temporal","L",8,"Uncertain","Fusiform Gyrus",20
"9","Temporal_Inf.R2",65,-24,-19,"Temporal","R",9,"Uncertain","Middle Temporal Gyrus",20
"10","Temporal_Inf.R3",52,-34,-27,"Temporal","R",10,"Uncertain","Inferior Temporal Gyrus",20
"11","Temporal_Inf.R4",55,-31,-17,"Temporal","R",11,"Uncertain","Inferior Temporal Gyrus",20
"12","Frontal_Inf_Orb.R4",34,38,-12,"Frontal","R",12,"Uncertain","Anterior Orbital Gyrus",47
"13","Precuneus.L1",-7,-52,61,"Parietal","L",13,"Sensory/Somatomotor Hand","Cerebral White Matter",5
"14","Cingulum_Post.L1",-14,-18,40,"Limbic","L",14,"Sensory/Somatomotor Hand","Supplementary Motor Cortex",0
"15","Supp_Motor_Area.L1",0,-15,47,"Frontal","L",15,"Sensory/Somatomotor Hand",NA,23
"16","Supp_Motor_Area.R1",10,-2,45,"Frontal","R",16,"Sensory/Somatomotor Hand","Supplementary Motor Cortex",0
"17","Paracentral_Lobule.L1",-7,-21,65,"Frontal","L",17,"Sensory/Somatomotor Hand","Precentral Gyrus Medial Segment",4
"18","Paracentral_Lobule.L2",-7,-33,72,"Frontal","L",18,"Sensory/Somatomotor Hand","Precentral Gyrus",4
"19","Postcentral.R1",13,-33,75,"Parietal","R",19,"Sensory/Somatomotor Hand","Postcentral Gyrus",4
"20","Parietal_Inf.L1",-54,-23,43,"Parietal","L",20,"Sensory/Somatomotor Hand","Postcentral Gyrus",3
"21","Precentral.R1",29,-17,71,"Frontal","R",21,"Sensory/Somatomotor Hand","Precentral Gyrus",6
"22","Precuneus.R1",10,-46,73,"Parietal","R",22,"Sensory/Somatomotor Hand","Precuneus",5
"23","Postcentral.L1",-23,-30,72,"Parietal","L",23,"Sensory/Somatomotor Hand","Postcentral Gyrus",4
"24","Precentral.L1",-40,-19,54,"Frontal","L",24,"Sensory/Somatomotor Hand","Precentral Gyrus",4
