currency,location
AFN,AFG
ALL,ALB
DZD,DZA
USD,ASM
EUR,AND
AOA,AGO
XCD,AIA
XCD,ATG
ARS,ARG
AMD,ARM
AWG,ABW
AUD,AUS
EUR,AUT
AZN,AZE
BSD,BHS
BHD,BHR
BDT,BGD
BBD,BRB
BYR,BLR
BYN,BLR
EUR,BEL
BZD,BLZ
XOF,BEN
BMD,BMU
INR,BTN
BTN,BTN
BOB,BOL
BOV,BOL
USD,BES
BAM,BIH
BWP,BWA
NOK,BVT
BRL,BRA
USD,IOT
BND,BRN
BGN,BGR
XOF,BFA
BIF,BDI
CVE,CPV
KHR,KHM
XAF,CMR
CAD,CAN
KYD,CYM
XAF,CAF
XAF,TCD
CLP,CHL
CLF,CHL
CNY,CHN
AUD,CXR
AUD,CCK
COP,COL
COU,COL
KMF,COM
CDF,COD
XAF,COG
NZD,COK
CRC,CRI
HRK,HRV
EUR,HRV
CUC,CUB
CUP,CUB
ANG,CUW
XCG,CUW
EUR,CYP
CZK,CZE
XOF,CIV
DKK,DNK
DJF,DJI
XCD,DMA
DOP,DOM
USD,ECU
EGP,EGY
SVC,SLV
USD,SLV
XAF,GNQ
ERN,ERI
EUR,EST
SZL,SWZ
ETB,ETH
FKP,FLK
DKK,FRO
FJD,FJI
EUR,FIN
EUR,FRA
EUR,GUF
XPF,PYF
EUR,ATF
XAF,GAB
GMD,GMB
GEL,GEO
EUR,DEU
GHS,GHA
GIP,GIB
EUR,GRC
DKK,GRL
XCD,GRD
EUR,GLP
USD,GUM
GTQ,GTM
GBP,GGY
GNF,GIN
XOF,GNB
GYD,GUY
HTG,HTI
USD,HTI
AUD,HMD
EUR,VAT
HNL,HND
HKD,HKG
HUF,HUN
ISK,ISL
INR,IND
IDR,IDN
IRR,IRN
IQD,IRQ
EUR,IRL
GBP,IMN
ILS,ISR
EUR,ITA
JMD,JAM
JPY,JPN
GBP,JEY
JOD,JOR
KZT,KAZ
KES,KEN
AUD,KIR
KPW,PRK
KRW,KOR
KWD,KWT
KGS,KGZ
LAK,LAO
EUR,LVA
LBP,LBN
LSL,LSO
ZAR,LSO
LRD,LBR
LYD,LBY
CHF,LIE
EUR,LTU
EUR,LUX
MOP,MAC
MGA,MDG
MWK,MWI
MWK,MWI
MYR,MYS
MVR,MDV
XOF,MLI
EUR,MLT
USD,MHL
EUR,MTQ
MRO,MRT
MRU,MRT
MUR,MUS
EUR,MYT
MXN,MEX
MXV,MEX
USD,FSM
MDL,MDA
EUR,MCO
MNT,MNG
EUR,MNE
XCD,MSR
MAD,MAR
MZN,MOZ
MMK,MMR
NAD,NAM
ZAR,NAM
AUD,NRU
NPR,NPL
EUR,NLD
XPF,NCL
NZD,NZL
NIO,NIC
XOF,NER
NGN,NGA
NZD,NIU
AUD,NFK
MKD,MKD
USD,MNP
NOK,NOR
OMR,OMN
PKR,PAK
USD,PLW
PAB,PAN
USD,PAN
PGK,PNG
PYG,PRY
PEN,PER
PEN,PER
PHP,PHL
NZD,PCN
PLN,POL
EUR,PRT
USD,PRI
QAR,QAT
RON,ROU
RON,ROU
RUB,RUS
RWF,RWA
EUR,REU
EUR,BLM
SHP,SHN
XCD,KNA
XCD,LCA
EUR,MAF
EUR,SPM
XCD,VCT
WST,WSM
EUR,SMR
STD,STP
STN,STP
SAR,SAU
XOF,SEN
RSD,SRB
SCR,SYC
SLL,SLE
SLE,SLE
SGD,SGP
ANG,SXM
XCG,SXM
EUR,SVK
EUR,SVN
SBD,SLB
SOS,SOM
ZAR,ZAF
SSP,SSD
EUR,ESP
LKR,LKA
SDG,SDN
SRD,SUR
NOK,SJM
SZL,SWZ
SEK,SWE
CHF,CHE
CHE,CHE
CHW,CHE
SYP,SYR
TWD,TWN
TJS,TJK
TZS,TZA
THB,THA
IDR,TLS
USD,TLS
XOF,TGO
NZD,TKL
TOP,TON
TTD,TTO
TND,TUN
TMT,TKM
USD,TCA
AUD,TUV
TRY,TUR
UGX,UGA
UAH,UKR
AED,ARE
GBP,GBR
USD,UMI
USD,USA
UYU,URY
UYI,URY
UYW,URY
UZS,UZB
VUV,VUT
VEF,VEN
VEF,VEN
VES,VEN
VED,VEN
VND,VNM
USD,VGB
USD,VIR
XPF,WLF
MAD,ESH
YER,YEM
ZMW,ZMB
ZWL,ZWE
ZWG,ZWE
EUR,ALA
