code,name,description,comment,alias,start_date,end_date
AFN,Afghani,,,Afghani,2003-01-01,
ALL,Lek,,,Lek,1989-12-01,
DZD,Algerian Dinar,,,Algerian_Dinar,1970-01-01,
USD,US Dollar,,,US_Dollar,1970-01-01,
EUR,Euro,,,Euro,2003-07-01,
AOA,Kwanza,,,Kwanza,2000-02-01,
XCD,East Caribbean Dollar,,,East_Caribbean_Dollar,1970-01-01,
ARS,Argentine Peso,,,Argentine_Peso,1992-01-01,
AMD,Armenian Dram,,,Armenian_Dram,1994-08-01,
AWG,Aruban Florin,,,Aruban_Florin,1970-01-01,
AUD,Australian Dollar,,,Australian_Dollar,1970-01-01,
AZN,Azerbaijan Manat,,,Azerbaijan_Manat,2005-12-01,
BSD,Bahamian Dollar,,,Bahamian_Dollar,1970-01-01,
BHD,Bahraini Dinar,,,Bahraini_Dinar,1970-01-01,
BDT,Taka,,,Taka,1970-01-01,
BBD,Barbados Dollar,,,Barbados_Dollar,1970-01-01,
BYR,Belarusian Ruble (BYR),,,Belarusian_Ruble_BYR,2000-01-01,2016-06-30
BYN,Belarusian Ruble (BYN),,,Belarusian_Ruble_BYN,2017-01-01,
BZD,Belize Dollar,,,Belize_Dollar,1970-01-01,
XOF,CFA Franc BCEAO,,,CFA_Franc_BCEAO,1970-01-01,
BMD,Bermudian Dollar,,,Bermudian_Dollar,1970-01-01,
INR,Indian Rupee,,,Indian_Rupee,1970-01-01,
BTN,Ngultrum,,,Ngultrum,1970-01-01,
BOB,Boliviano,,,Boliviano,1987-02-01,
BOV,Mvdol,,,Mvdol,1987-02-01,
BAM,Convertible Mark,,,Convertible_Mark,1998-07-01,
BWP,Pula,,,Pula,1970-01-01,
NOK,Norwegian Krone,,,Norwegian_Krone,1970-01-01,
BRL,Brazilian Real,,,Brazilian_Real,1994-07-01,
BND,Brunei Dollar,,,Brunei_Dollar,1970-01-01,
BGN,Bulgarian Lev,,,Bulgarian_Lev,2003-11-01,
BIF,Burundi Franc,,,Burundi_Franc,1970-01-01,
CVE,Cabo Verde Escudo,,,Cabo_Verde_Escudo,1970-01-01,
KHR,Riel,,,Riel,1970-01-01,
XAF,CFA Franc BEAC,,,CFA_Franc_BEAC,1970-01-01,
CAD,Canadian Dollar,,,Canadian_Dollar,1970-01-01,
KYD,Cayman Islands Dollar,,,Cayman_Islands_Dollar,1970-01-01,
CLP,Chilean Peso,,,Chilean_Peso,1970-01-01,
CLF,Unidad de Fomento,,,Unidad_de_Fomento,1970-01-01,
CNY,Yuan Renminbi,,,Yuan_Renminbi,1970-01-01,
COP,Colombian Peso,,,Colombian_Peso,1970-01-01,
COU,Unidad de Valor Real,,,Unidad_de_Valor_Real,1970-01-01,
KMF,Comorian Franc,,,Comorian_Franc,1970-01-01,
CDF,Congolese Franc,,,Congolese_Franc,1999-06-01,
NZD,New Zealand Dollar,,,New_Zealand_Dollar,1970-01-01,
CRC,Costa Rican Colon,,,Costa_Rican_Colon,1970-01-01,
HRK,Croatian Kuna,,,Croatian_Kuna,1994-05-30,2023-01-01
CUC,Peso Convertible,,,Peso_Convertible,2009-03-01,2021-06-30
CUP,Cuban Peso,,,Cuban_Peso,2021-06-01,
ANG,Netherlands Antillean Guilder,,,Netherlands_Antillean_Guilder,1970-01-01,2025-03-31
XCG,Caribbean Guilder,,,Caribbean_Guilder,2025-03-01,
CZK,Czech Koruna,,,Czech_Koruna,1993-03-01,
DKK,Danish Krone,,,Danish_Krone,1970-01-01,
DJF,Djibouti Franc,,,Djibouti_Franc,1970-01-01,
DOP,Dominican Peso,,,Dominican_Peso,1970-01-01,
EGP,Egyptian Pound,,,Egyptian_Pound,1970-01-01,
SVC,El Salvador Colon,,,El_Salvador_Colon,1970-01-01,
ERN,Nakfa,,,Nakfa,1970-01-01,
SZL,Lilangeni,,,Lilangeni,2018-08-01,
ETB,Ethiopian Birr,,,Ethiopian_Birr,1970-01-01,
FKP,Falkland Islands Pound,,,Falkland_Islands_Pound,1970-01-01,
FJD,Fiji Dollar,,,Fiji_Dollar,1970-01-01,
XPF,CFP Franc,,,CFP_Franc,1970-01-01,
GMD,Dalasi,,,Dalasi,1970-01-01,
GEL,Lari,,,Lari,1995-10-01,
GHS,Ghana Cedi,,,Ghana_Cedi,2008-01-01,
GIP,Gibraltar Pound,,,Gibraltar_Pound,1970-01-01,
GTQ,Quetzal,,,Quetzal,1970-01-01,
GBP,Pound Sterling,,,Pound_Sterling,1970-01-01,
GNF,Guinean Franc,,,Guinean_Franc,1989-12-01,
GYD,Guyana Dollar,,,Guyana_Dollar,1970-01-01,
HTG,Gourde,,,Gourde,1970-01-01,
HNL,Lempira,,,Lempira,1970-01-01,
HKD,Hong Kong Dollar,,,Hong_Kong_Dollar,1970-01-01,
HUF,Forint,,,Forint,1970-01-01,
ISK,Iceland Krona,,,Iceland_Krona,1990-12-01,
IDR,Rupiah,,,Rupiah,1970-01-01,
IRR,Iranian Rial,,,Iranian_Rial,1970-01-01,
IQD,Iraqi Dinar,,,Iraqi_Dinar,1970-01-01,
ILS,New Israeli Sheqel,,,New_Israeli_Sheqel,1990-12-01,
JMD,Jamaican Dollar,,,Jamaican_Dollar,1970-01-01,
JPY,Yen,,,Yen,1970-01-01,
JOD,Jordanian Dinar,,,Jordanian_Dinar,1970-01-01,
KZT,Tenge,,,Tenge,1994-05-01,
KES,Kenyan Shilling,,,Kenyan_Shilling,1970-01-01,
KPW,North Korean Won,,,North_Korean_Won,1970-01-01,
KRW,Won,,,Won,1970-01-01,
KWD,Kuwaiti Dinar,,,Kuwaiti_Dinar,1970-01-01,
KGS,Som,,,Som,1993-01-01,
LAK,Lao Kip,,,Lao_Kip,1979-12-01,
LBP,Lebanese Pound,,,Lebanese_Pound,1970-01-01,
LSL,Loti,,,Loti,1995-03-01,
ZAR,Rand,,,Rand,1995-03-01,
LRD,Liberian Dollar,,,Liberian_Dollar,1970-01-01,
LYD,Libyan Dinar,,,Libyan_Dinar,1970-01-01,
CHF,Swiss Franc,,,Swiss_Franc,1970-01-01,
MOP,Pataca,,,Pataca,1970-01-01,
MGA,Malagasy Ariary,,,Malagasy_Ariary,2004-12-01,
MWK,Kwacha,,,Kwacha,1970-01-01,2016-02-01
MYR,Malaysian Ringgit,,,Malaysian_Ringgit,1970-01-01,
MVR,Rufiyaa,,,Rufiyaa,1989-12-01,
MRO,Ouguiya (MRO),,,Ouguiya_MRO,1973-06-29,2018-01-01
MRU,Ouguiya (MRU),,,Ouguiya_MRU,2017-12-01,
MUR,Mauritius Rupee,,,Mauritius_Rupee,1970-01-01,
MXN,Mexican Peso,,,Mexican_Peso,1993-01-01,
MXV,Mexican Unidad de Inversion,,,Mexican_Unidad_de_Inversion,1993-01-01,
MDL,Moldovan Leu,,,Moldovan_Leu,1993-12-01,
MNT,Tugrik,,,Tugrik,1970-01-01,
MAD,Moroccan Dirham,,,Moroccan_Dirham,1970-01-01,
MZN,Mozambique Metical,,,Mozambique_Metical,2006-06-01,
MMK,Kyat,,,Kyat,1990-02-01,
NAD,Namibia Dollar,,,Namibia_Dollar,1970-01-01,
NPR,Nepalese Rupee,,,Nepalese_Rupee,1970-01-01,
NIO,Cordoba Oro,,,Cordoba_Oro,1990-10-01,
NGN,Naira,,,Naira,1970-01-01,
MKD,Denar,,,Denar,1970-01-01,
OMR,Rial Omani,,,Rial_Omani,1970-01-01,
PKR,Pakistan Rupee,,,Pakistan_Rupee,1970-01-01,
PAB,Balboa,,,Balboa,1970-01-01,
PGK,Kina,,,Kina,1970-01-01,
PYG,Guarani,,,Guarani,1970-01-01,
PEN,Nuevo Sol,,,Nuevo_Sol,1991-07-01,2015-12-01
PHP,Philippine Peso,,,Philippine_Peso,1970-01-01,
PLN,Zloty,,,Zloty,1997-01-01,
QAR,Qatari Rial,,,Qatari_Rial,1970-01-01,
RON,New Romanian Leu,,,New_Romanian_Leu,2005-06-01,2015-06-01
RUB,Russian Ruble,,,Russian_Ruble,2004-01-01,
RWF,Rwanda Franc,,,Rwanda_Franc,1970-01-01,
SHP,Saint Helena Pound,,,Saint_Helena_Pound,1970-01-01,
WST,Tala,,,Tala,1970-01-01,
STD,Dobra 1970,,,Dobra_1970,1977-01-01,2018-04-01
STN,Dobra 2017,,,Dobra_2017,2017-12-01,
SAR,Saudi Riyal,,,Saudi_Riyal,1970-01-01,
RSD,Serbian Dinar,,,Serbian_Dinar,1970-01-01,
SCR,Seychelles Rupee,,,Seychelles_Rupee,1970-01-01,
SLL,Leone 1970,,,Leone_1970,1970-01-01,2023-12-01
SLE,Leone 2023,,,Leone_2023,2023-12-01,
SGD,Singapore Dollar,,,Singapore_Dollar,1970-01-01,
SBD,Solomon Islands Dollar,,,Solomon_Islands_Dollar,1970-01-01,
SOS,Somali Shilling,,,Somali_Shilling,1970-01-01,
SSP,South Sudanese Pound,,,South_Sudanese_Pound,2012-09-01,
LKR,Sri Lanka Rupee,,,Sri_Lanka_Rupee,1970-01-01,
SDG,Sudanese Pound,,,Sudanese_Pound,1970-01-01,2012-09-01
SRD,Surinam Dollar,,,Surinam_Dollar,2003-12-01,
SEK,Swedish Krona,,,Swedish_Krona,1970-01-01,
CHE,WIR Euro,,,WIR_Euro,2004-11-01,
CHW,WIR Franc,,,WIR_Franc,2004-11-01,
SYP,Syrian Pound,,,Syrian_Pound,1970-01-01,
TWD,New Taiwan Dollar,,,New_Taiwan_Dollar,1970-01-01,
TJS,Somoni,,,Somoni,2001-04-01,
TZS,Tanzanian Shilling,,,Tanzanian_Shilling,1970-01-01,
THB,Baht,,,Baht,1970-01-01,
TOP,Paanga,,,Paanga,1970-01-01,
TTD,Trinidad and Tobago Dollar,,,Trinidad_and_Tobago_Dollar,1970-01-01,
TND,Tunisian Dinar,,,Tunisian_Dinar,1970-01-01,
TMT,Turkmenistan New Manat,,,Turkmenistan_New_Manat,2009-01-01,
UGX,Uganda Shilling,,,Uganda_Shilling,1990-12-01,
UAH,Hryvnia,,,Hryvnia,1996-09-01,
AED,UAE Dirham,,,UAE_Dirham,1970-01-01,
UYU,Peso Uruguayo,,,Peso_Uruguayo,1993-03-01,
UYI,Uruguay Peso en Unidades Indexadas,,,Uruguay_Peso_en_Unidades_Indexadas,1993-03-01,
UYW,Unidad Previsional,,,Unidad_Previsional,1993-03-01,
UZS,Uzbekistan Sum,,,Uzbekistan_Sum,1994-07-01,
VUV,Vatu,,,Vatu,1970-01-01,
VEF,Bolivar Fuerte,,,Bolivar_Fuerte,2008-01-01,2018-08-20
VES,Bolivar Soberano (VES),,,Bolivar_Soberano_VES,2018-08-01,
VED,Bolivar Soberano (VED),,,Bolivar_Soberano_VED,2021-09-01,
VND,Dong,,,Dong,1990-12-01,
YER,Yemeni Rial,,,Yemeni_Rial,1991-09-01,
ZMW,Zambian Kwacha,,,Zambian_Kwacha,2012-12-01,
ZWL,Zimbabwe Dollar,,,Zimbabwe_Dollar,2009-02-02,2024-09-01
ZWG,Zimbabwe Gold,,,Zimbabwe_Gold,2024-09-01,
Meuro,Million Euro,,,Million_Euro,2003-07-01,
