code,parent_code,name,level
ai,,"industry activity, total",0
A_AGRI,ai,Crop and animal production and hunting,1
A_Bambs,A_AGRI,Growing of bambara bean,2
A_Barly,A_AGRI,Growing of barley,2
A_Beann,A_AGRI,"Growing of bean, green",2
A_Ceres,A_AGRI,"Growing of cereal, nes",2
A_Buckt,A_AGRI,Growing of buckwheat,2
A_Wheat,A_AGRI,Growing of wheat,2
A_Soybs,A_AGRI,Growing of soybean,2
A_Ryee,A_AGRI,Growing of rye,2
A_Saffd,A_AGRI,Growing of safflower seed,2
A_Sesad,A_AGRI,Growing of sesame seed,2
A_Sorgm,A_AGRI,Growing of sorghum,2
A_Germt,A_AGRI,Growing of germ of wheat,2
A_Peasy,A_AGRI,"production of pea, dry",2
A_Castd,A_AGRI,Growing of castor bean,2
A_Linsd,A_AGRI,Growing of linseed,2
A_Lupis,A_AGRI,Growing of lupin,2
A_Graid,A_AGRI,production of mixed grain,2
A_Chick,A_AGRI,"production of chick-peas, dry",2
A_Maize,A_AGRI,Growing of maize,2
A_Maizn,A_AGRI,Growing of green corn (maize),2
A_Oilss,A_AGRI,Growing of oilseed nes,2
A_Groul,A_AGRI,"Growing of groundnut, in shell",2
A_Raped,A_AGRI,Growing of rapeseed or colza seed,2
A_Mustd,A_AGRI,Growing of mustard seed,2
A_Vegleg_nes,A_AGRI,"Growing of broad bean, green",2
A_Millt,A_AGRI,Growing of millet,2
A_Fonio,A_AGRI,Growing of fonio,2
A_Oatss,A_AGRI,Growing of oat,2
A_Okraa,A_AGRI,Growing of okra,2
A_Peasn,A_AGRI,"Growing of pea, green",2
A_Vetcs,A_AGRI,Growing of vetch,2
A_Quina,A_AGRI,Growing of quinoa,2
A_Poppd,A_AGRI,Growing of poppy seed,2
A_Piges,A_AGRI,Growing of pigeon pea,2
A_Lents,A_AGRI,"production of lentil, dry",2
A_Pulss,A_AGRI,Growing of puls nes,2
A_Cowpea,A_AGRI,"production of cow pea, dry",2
A_Stris,A_AGRI,Growing of string bean,2
A_Trite,A_AGRI,Growing of triticale,2
A_Ricey,A_AGRI,Growing of rice,2
A_Artis,A_AGRI,Growing of artichoke,2
A_Aspas,A_AGRI,Growing of asparagus,2
A_Carrs,A_AGRI,Growing of carrot,2
A_Cassa,A_AGRI,Growing of cassava,2
A_Cucus,A_AGRI,Growing of cucumber and gherkin,2
A_Cabbs,A_AGRI,Growing of cabbage,2
A_Eggpl,A_AGRI,Growing of eggplant,2
A_Tomas,A_AGRI,"Growing of tomato, fresh",2
A_Cauli,A_AGRI,Growing of cauliflower and broccoli,2
A_Spinh,A_AGRI,Growing of spinach,2
A_Chics,A_AGRI,Growing of chicory root,2
A_Letty,A_AGRI,Growing of lettuce and chicory,2
A_Melon,A_AGRI,"Growing of melon, cantaloup",2
A_Melonse,A_AGRI,Growing of melonseed,2
A_Mushs,A_AGRI,Growing of mushroom,2
A_Onion,A_AGRI,"Growing of onion, shallots (green)",2
A_Garlc,A_AGRI,Growing of garlic,2
A_Leeks,A_AGRI,Growing of leek and other alliaceous vegetable,2
A_Sugat,A_AGRI,Growing of sugar beet,2
A_Potas,A_AGRI,Growing of potato,2
A_Sunfd,A_AGRI,Growing of sunflower seed,2
A_Swees,A_AGRI,Growing of sweet potato,2
A_Yams,A_AGRI,Growing of yam,2
