code,parent_code,level,name
total,,0,Total
A,total,1,"Agriculture, forestry and fishing"
B,total,1,Mining and quarrying
C,total,1,Manufacturing
C10t12,C,2,Manufacture of food products; Manufacture of beverages; Manufacture of tobacco products
10,C10t12,3,Manufacture of food products
11,C10t12,3,Manufacture of beverages
12,C10t12,3,Manufacture of tobacco products
C13t15,C,2,Manufacture of textiles; Manufacture of wearing apparel; Manufacture of leather and related products
13,C13t15,3,Manufacture of textiles
14,C13t15,3,Manufacture of wearing apparel
15,C13t15,3,Manufacture of leather and related products
C16t18,C,2,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials; Manufacture of paper and paper products; Printing and reproduction of recorded media"
16,C16t18,3,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
17,C16t18,3,Manufacture of paper and paper products
18,C16t18,3,Printing and reproduction of recorded media
C19t22,C,2,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products; Manufacture of basic pharmaceutical products and pharmaceutical preparations; Manufacture of rubber and plastics products
19,C,2,Manufacture of coke and refined petroleum products
20,C,2,Manufacture of chemicals and chemical products
21,C,2,Manufacture of basic pharmaceutical products and pharmaceutical preparations
22,C,2,Manufacture of rubber and plastics products
23,C,2,Manufacture of other non-metallic mineral products
C23t25,C,2,"Manufacture of other non-metallic mineral products; Manufacture of basic metals; Manufacture of fabricated metal products, except machinery and equipment"
24,C,2,Manufacture of basic metals
25,C,2,"Manufacture of fabricated metal products, except machinery and equipment"
C26t27,C,2,"Manufacture of computer, electronic and optical products; Manufacture of electrical equipment"
26,C,2,"Manufacture of computer, electronic and optical products"
27,C,2,Manufacture of electrical equipment
C28,C,2,Manufacture of machinery and equipment n.e.c.
C29t30,C,2,"Manufacture of motor vehicles, trailers and semi-trailers; Manufacture of other transport equipment"
29,C,2,"Manufacture of motor vehicles, trailers and semi-trailers"
30,C,2,Manufacture of other transport equipment
C31t33,C,2,Manufacture of furniture; Other manufacturing; Repair and installation of machinery and equipment
31,C,2,Manufacture of furniture
32,C,2,Other manufacturing
33,C,2,Repair and installation of machinery and equipment
DtE,total,1,"Electricity, gas, steam and air conditioning supply; Water supply; sewerage, waste management and remediation activities"
D,total,1,"Electricity, gas, steam and air conditioning supply"
E,total,1,"Water supply; sewerage, waste management and remediation activities"
GnI,total,1,Wholesale and retail trade; repair of motor vehicles and motorcycles; Accommodation and food service activities
F,total,1,Construction
G,total,1,Wholesale and retail trade; repair of motor vehicles and motorcycles
H,total,1,Transportation and storage
I,total,1,Accommodation and food service activities
JnMN,total,1,"Information and communication; Professional, scientific and technical activities; Administrative and support service activities"
J,JnMN,2,Information and communication
K,total,1,Financial and insurance activities
L,total,1,Real estate activities
M,JnMN,2,"Professional, scientific and technical activities"
N,JnMN,2,Administrative and support service activities
OtQ,total,1,Public administration and defence; compulsory social security; Education; Human health and social work activities
O,total,1,Public administration and defence; compulsory social security
P,total,1,Education
Q,total,1,Human health and social work activities
RtU,total,1,"Arts, entertainment and recreation; Other service activities; Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use; Activities of extraterritorial organizations and bodies"
R,total,1,"Arts, entertainment and recreation"
S,total,1,Other service activities
T,total,1,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
U,total,1,Activities of extraterritorial organizations and bodies
xM,,0,Imports
xSUP_bas,,0,Total Supply at Basic Prices
xCONS_h,,0,Household consumption
xCONS_g,,0,Government consumption
xGFCF,,0,Gross fixed capital formation
xINV,,0,Changes in inventories
