A,B,S,y
0,0,0,2
0,1,0,6
0,2,0,5
0,3,0,0
0,4,0,5
0,0,1,1
0,1,1,1
0,2,1,5
0,3,1,4
0,4,1,0
0,0,2,8
0,1,2,8
0,2,2,4
0,3,2,7
0,4,2,3
0,0,3,0
0,1,3,4
0,2,3,7
0,3,3,5
0,4,3,7
0,0,4,1
0,1,4,3
0,2,4,2
0,3,4,3
0,4,4,7
0,0,5,3
0,1,5,3
0,2,5,0
0,3,5,8
0,4,5,6
0,0,6,9
0,1,6,3
0,2,6,0
0,3,6,7
0,4,6,6
1,0,10,5
1,1,10,8
1,2,10,8
1,3,10,3
1,4,10,5
1,0,11,2
1,1,11,2
1,2,11,2
1,3,11,6
1,4,11,8
1,0,12,7
1,1,12,9
1,2,12,8
1,3,12,4
1,4,12,8
1,0,13,2
1,1,13,4
1,2,13,3
1,3,13,8
1,4,13,7
1,0,14,2
1,1,14,0
1,2,14,8
1,3,14,9
1,4,14,5
1,0,15,9
1,1,15,4
1,2,15,8
1,3,15,0
1,4,15,0
1,0,16,6
1,1,16,6
1,2,16,8
1,3,16,6
1,4,16,7
2,0,20,1
2,1,20,8
2,2,20,4
2,3,20,4
2,4,20,7
2,0,21,7
2,1,21,2
2,2,21,6
2,3,21,9
2,4,21,6
2,0,22,1
2,1,22,8
2,2,22,2
2,3,22,5
2,4,22,0
2,0,23,9
2,1,23,8
2,2,23,7
2,3,23,9
2,4,23,4
2,0,24,7
2,1,24,9
2,2,24,6
2,3,24,9
2,4,24,4
2,0,25,6
2,1,25,4
2,2,25,2
2,3,25,1
2,4,25,4
2,0,26,0
2,1,26,8
2,2,26,1
2,3,26,8
2,4,26,8
