A,B,S,y
0,0,0,7
0,1,0,4
0,2,0,8
0,3,0,2
0,0,1,8
0,1,1,7
0,2,1,9
0,3,1,2
0,0,2,2
0,1,2,0
0,2,2,1
0,3,2,7
0,0,3,7
0,1,3,1
0,2,3,7
0,3,3,4
0,0,4,3
0,1,4,4
0,2,4,2
0,3,4,0
1,0,10,3
1,1,10,5
1,2,10,9
1,3,10,0
1,0,11,8
1,1,11,3
1,2,11,2
1,3,11,5
1,0,12,8
1,1,12,9
1,2,12,3
1,3,12,1
1,0,13,7
1,1,13,6
1,2,13,7
1,3,13,2
1,0,14,3
1,1,14,6
1,2,14,5
1,3,14,7
2,0,20,1
2,1,20,5
2,2,20,8
2,3,20,4
2,0,21,9
2,1,21,4
2,2,21,9
2,3,21,6
2,0,22,8
2,1,22,3
2,2,22,9
2,3,22,0
2,0,23,2
2,1,23,7
2,2,23,5
2,3,23,1
2,0,24,8
2,1,24,4
2,2,24,2
2,3,24,5
