A,B,S,y
0,0,0,5
0,1,0,1
0,2,0,9
0,3,0,1
0,0,1,9
0,1,1,5
0,2,1,2
0,3,1,0
0,0,2,8
0,1,2,9
0,2,2,2
0,3,2,8
0,0,3,0
0,1,3,9
0,2,3,5
0,3,3,7
0,0,4,4
0,1,4,2
0,2,4,1
0,3,4,8
0,0,5,5
0,1,5,4
0,2,5,3
0,3,5,3
0,0,6,3
0,1,6,4
0,2,6,3
0,3,6,3
0,0,7,6
0,1,7,5
0,2,7,5
0,3,7,2
0,0,8,7
0,1,8,3
0,2,8,2
0,3,8,8
0,0,9,2
0,1,9,6
0,2,9,3
0,3,9,9
0,0,10,4
0,1,10,0
0,2,10,5
0,3,10,0
0,0,11,1
0,1,11,4
0,2,11,5
0,3,11,1
0,0,12,4
0,1,12,1
0,2,12,8
0,3,12,3
0,0,13,6
0,1,13,2
0,2,13,0
0,3,13,1
0,0,14,2
0,1,14,6
0,2,14,4
0,3,14,9
0,0,15,0
0,1,15,2
0,2,15,0
0,3,15,3
0,0,16,8
0,1,16,2
0,2,16,2
0,3,16,1
0,0,17,3
0,1,17,7
0,2,17,0
0,3,17,6
0,0,18,4
0,1,18,8
0,2,18,4
0,3,18,2
0,0,19,0
0,1,19,3
0,2,19,5
0,3,19,3
1,0,20,0
1,1,20,4
1,2,20,4
1,3,20,9
1,0,21,0
1,1,21,0
1,2,21,5
1,3,21,6
1,0,22,7
1,1,22,0
1,2,22,9
1,3,22,6
1,0,23,9
1,1,23,1
1,2,23,7
1,3,23,8
1,0,24,5
1,1,24,6
1,2,24,9
1,3,24,9
1,0,25,4
1,1,25,6
1,2,25,6
1,3,25,9
1,0,26,4
1,1,26,3
1,2,26,0
1,3,26,0
1,0,27,1
1,1,27,4
1,2,27,0
1,3,27,5
1,0,28,2
1,1,28,7
1,2,28,0
1,3,28,9
1,0,29,6
1,1,29,2
1,2,29,2
1,3,29,4
1,0,30,0
1,1,30,9
1,2,30,5
1,3,30,5
1,0,31,5
1,1,31,5
1,2,31,6
1,3,31,8
1,0,32,3
1,1,32,5
1,2,32,1
1,3,32,8
1,0,33,7
1,1,33,1
1,2,33,8
1,3,33,5
1,0,34,1
1,1,34,9
1,2,34,8
1,3,34,4
1,0,35,9
1,1,35,2
1,2,35,6
1,3,35,7
1,0,36,4
1,1,36,8
1,2,36,9
1,3,36,1
1,0,37,6
1,1,37,7
1,2,37,6
1,3,37,5
1,0,38,7
1,1,38,2
1,2,38,4
1,3,38,1
1,0,39,1
1,1,39,1
1,2,39,4
1,3,39,4
2,0,40,2
2,1,40,8
2,2,40,2
2,3,40,6
2,0,41,2
2,1,41,9
2,2,41,1
2,3,41,3
2,0,42,5
2,1,42,1
2,2,42,2
2,3,42,4
2,0,43,4
2,1,43,5
2,2,43,4
2,3,43,0
2,0,44,0
2,1,44,2
2,2,44,7
2,3,44,6
2,0,45,8
2,1,45,1
2,2,45,6
2,3,45,6
2,0,46,0
2,1,46,4
2,2,46,4
2,3,46,5
2,0,47,1
2,1,47,6
2,2,47,1
2,3,47,0
2,0,48,9
2,1,48,5
2,2,48,1
2,3,48,5
2,0,49,5
2,1,49,6
2,2,49,5
2,3,49,6
2,0,50,9
2,1,50,1
2,2,50,7
2,3,50,5
2,0,51,9
2,1,51,4
2,2,51,6
2,3,51,8
2,0,52,2
2,1,52,0
2,2,52,1
2,3,52,3
2,0,53,6
2,1,53,9
2,2,53,4
2,3,53,7
2,0,54,4
2,1,54,1
2,2,54,8
2,3,54,1
2,0,55,6
2,1,55,6
2,2,55,6
2,3,55,2
2,0,56,3
2,1,56,9
2,2,56,1
2,3,56,5
2,0,57,2
2,1,57,8
2,2,57,2
2,3,57,8
2,0,58,5
2,1,58,4
2,2,58,3
2,3,58,0
2,0,59,2
2,1,59,1
2,2,59,9
2,3,59,8
3,0,60,6
3,1,60,7
3,2,60,2
3,3,60,4
3,0,61,5
3,1,61,5
3,2,61,2
3,3,61,1
3,0,62,3
3,1,62,3
3,2,62,2
3,3,62,1
3,0,63,6
3,1,63,2
3,2,63,0
3,3,63,9
3,0,64,6
3,1,64,0
3,2,64,0
3,3,64,4
3,0,65,4
3,1,65,5
3,2,65,4
3,3,65,7
3,0,66,7
3,1,66,5
3,2,66,2
3,3,66,1
3,0,67,3
3,1,67,3
3,2,67,7
3,3,67,3
3,0,68,0
3,1,68,6
3,2,68,9
3,3,68,7
3,0,69,4
3,1,69,9
3,2,69,4
3,3,69,4
3,0,70,3
3,1,70,2
3,2,70,9
3,3,70,4
3,0,71,5
3,1,71,1
3,2,71,4
3,3,71,0
3,0,72,5
3,1,72,7
3,2,72,1
3,3,72,1
3,0,73,7
3,1,73,7
3,2,73,7
3,3,73,7
3,0,74,7
3,1,74,0
3,2,74,7
3,3,74,6
3,0,75,2
3,1,75,3
3,2,75,9
3,3,75,6
3,0,76,7
3,1,76,3
3,2,76,4
3,3,76,6
3,0,77,2
3,1,77,0
3,2,77,2
3,3,77,0
3,0,78,5
3,1,78,1
3,2,78,7
3,3,78,1
3,0,79,9
3,1,79,6
3,2,79,5
3,3,79,4
