A,B,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,1.05553,0.98139,0.87681,0.74458,0.58981,0.41920,0.24125,0.06503,-0.09971,-0.24441,-0.36030,-0.44150,-0.48460,-0.48821,-0.45379,-0.38535,-0.28818,-0.16868,-0.03408,0.10872,0.25376,0.39613,0.53205,0.65864,0.77492,0.87998,0.97442,1.05915,1.13562,1.20496,1.26814,1.32672,1.38164,1.43431,1.48525,1.53592,1.58705,1.63986,1.69518,1.75367,1.81519,1.87925,1.94437,2.00750,2.06479,2.11141,2.14148,2.14948,2.13026,2.08003,1.99690,1.88197,1.73860,1.57340,1.39545,1.21533,1.04377,0.89100,0.76510,0.67165,0.61246,0.58475,0.58439,0.60318,0.63237,0.66283,0.68666,0.69696,0.68972,0.66377,0.61925,0.55824,0.48400,0.39988,0.30950,0.21580,0.12169,0.02937,-0.05934,-0.14193,-0.21552,-0.27669,-0.32249,-0.34894,-0.35328,-0.33246,-0.28551,-0.21253,-0.11496,0.00329,0.13812,0.28366,0.43323,0.58052,0.71914,0.84341,0.94800,1.02890,1.08234,1.10559,1.09692
0,0,1.59870,1.68215,1.73098,1.74240,1.71712,1.65816,1.57174,1.46637,1.35274,1.24171,1.14463,1.07098,1.02816,1.02005,1.04681,1.10391,1.18403,1.27725,1.37217,1.45754,1.52383,1.56361,1.57384,1.55456,1.50929,1.44510,1.36982,1.29297,1.22338,1.16838,1.13386,1.12216,1.13351,1.16588,1.21448,1.27446,1.34012,1.40589,1.46746,1.52242,1.56937,1.60904,1.64266,1.67246,1.70067,1.72764,1.75333,1.77557,1.79121,1.79543,1.78317,1.74899,1.68885,1.60058,1.48386,1.34155,1.17825,1.00163,0.81922,0.64039,0.47345,0.32534,0.20144,0.10393,0.03295,-0.01335,-0.03810,-0.04568,-0.03996,-0.02472,-0.00258,0.02457,0.05557,0.08938,0.12552,0.16283,0.19987,0.23546,0.26703,0.29341,0.31275,0.32414,0.32783,0.32438,0.31532,0.30301,0.29007,0.27994,0.27685,0.28481,0.30783,0.34973,0.41314,0.49969,0.60887,0.73822,0.88406,1.03964,1.19765,1.34896,1.48540
0,0,-0.52633,-0.50168,-0.45781,-0.39584,-0.31745,-0.22572,-0.12490,-0.01938,0.08660,0.18851,0.28295,0.36698,0.43950,0.49914,0.54580,0.58058,0.60480,0.62124,0.63332,0.64451,0.65944,0.68197,0.71603,0.76391,0.82646,0.90209,0.98745,1.07777,1.16654,1.24731,1.31382,1.36150,1.38794,1.39267,1.37755,1.34658,1.30423,1.25557,1.20573,1.15841,1.11626,1.08015,1.05047,1.02651,1.00678,0.99029,0.97634,0.96433,0.95476,0.94842,0.94601,0.94809,0.95443,0.96453,0.97660,0.98827,0.99650,0.99902,0.99296,0.97701,0.95121,0.91686,0.87660,0.83418,0.79503,0.76398,0.74667,0.74713,0.76890,0.81401,0.88303,0.97471,1.08600,1.21260,1.34837,1.48653,1.61967,1.73929,1.83747,1.90694,1.94153,1.93691,1.89036,1.80231,1.67513,1.51414,1.32613,1.11983,0.90450,0.68870,0.48088,0.28742,0.11324,-0.03984,-0.17038,-0.27924,-0.36736,-0.43610,-0.48609,-0.51797,-0.53151
0,0,1.83953,1.84697,1.82980,1.78874,1.72436,1.63753,1.52956,1.40176,1.25707,1.09882,0.93169,0.76108,0.59358,0.43535,0.29266,0.17125,0.07497,0.00620,-0.03453,-0.04795,-0.03751,-0.00727,0.03715,0.09000,0.14464,0.19471,0.23457,0.25913,0.26511,0.25017,0.21399,0.15763,0.08479,-0.00018,-0.09133,-0.18183,-0.26457,-0.33272,-0.38013,-0.40232,-0.39638,-0.36080,-0.29684,-0.20773,-0.09885,0.02211,0.14666,0.26549,0.36946,0.45075,0.50324,0.52344,0.51118,0.46910,0.40248,0.31855,0.22528,0.13077,0.04235,-0.03452,-0.09567,-0.13904,-0.16359,-0.16963,-0.15745,-0.12809,-0.08232,-0.02141,0.05328,0.13844,0.23023,0.32312,0.41051,0.48488,0.53911,0.56714,0.56541,0.53228,0.47030,0.38472,0.28377,0.17844,0.07957,-0.00196,-0.05596,-0.07566,-0.05646,0.00226,0.09849,0.22756,0.38301,0.55702,0.74084,0.92678,1.10696,1.27549,1.42728,1.55836,1.66622,1.74946,1.80709
0,0,0.83076,0.75249,0.69144,0.64421,0.60596,0.57159,0.53638,0.49583,0.44823,0.39228,0.32953,0.26224,0.19407,0.12919,0.07157,0.02474,-0.00929,-0.02941,-0.03695,-0.03456,-0.02586,-0.01576,-0.00951,-0.01203,-0.02645,-0.05384,-0.09441,-0.14524,-0.20269,-0.26057,-0.31369,-0.35590,-0.38283,-0.39092,-0.37828,-0.34495,-0.29186,-0.22155,-0.13655,-0.03965,0.06564,0.17676,0.29111,0.40648,0.52144,0.63423,0.74360,0.84902,0.95024,1.04811,1.14364,1.23865,1.33540,1.43600,1.54264,1.65606,1.77630,1.90208,2.03075,2.15888,2.28200,2.39539,2.49495,2.57631,2.63644,2.67246,2.68223,2.66402,2.61616,2.53828,2.42937,2.29048,2.12338,1.93328,1.72621,1.51058,1.29693,1.09687,0.92215,0.78307,0.68776,0.64173,0.64611,0.69873,0.79299,0.91994,1.06720,1.22236,1.37183,1.50285,1.60485,1.67055,1.69515,1.67836,1.62285,1.53467,1.42240,1.29618,1.16590,1.04052,0.92740
0,0,1.40183,1.41158,1.41873,1.42281,1.42364,1.42010,1.41184,1.39786,1.37789,1.35200,1.32054,1.28522,1.24755,1.20895,1.17148,1.13622,1.10296,1.07169,1.04042,1.00715,0.96913,0.92413,0.87061,0.80745,0.73514,0.65615,0.57383,0.49202,0.41576,0.34949,0.29705,0.26165,0.24497,0.24716,0.26649,0.30068,0.34563,0.39697,0.44939,0.49833,0.53894,0.56707,0.57989,0.57474,0.55073,0.50741,0.44546,0.36672,0.27310,0.16755,0.05327,-0.06714,-0.18937,-0.31034,-0.42626,-0.53360,-0.62865,-0.70778,-0.76690,-0.80285,-0.81264,-0.79386,-0.74609,-0.66884,-0.56427,-0.43562,-0.28763,-0.12627,0.04185,0.21009,0.37215,0.52321,0.65884,0.77749,0.87880,0.96390,1.03435,1.09312,1.14278,1.18540,1.22253,1.25500,1.28244,1.30465,1.32094,1.33126,1.33523,1.33407,1.32876,1.32154,1.31383,1.30808,1.30521,1.30648,1.31190,1.32107,1.33328,1.34743,1.36220,1.37680,1.39009
0,0,-0.32738,-0.15008,0.04770,0.25732,0.47027,0.67892,0.87701,1.06055,1.22735,1.37720,1.51116,1.63122,1.73921,1.83498,1.91819,1.98633,2.03535,2.06098,2.05813,2.02264,1.95275,1.84791,1.71054,1.54527,1.35886,1.16049,0.95914,0.76492,0.58744,0.43481,0.31386,0.22886,0.18273,0.17488,0.20260,0.26051,0.34161,0.43677,0.53589,0.62890,0.70611,0.75824,0.77928,0.76477,0.71312,0.62563,0.50688,0.36362,0.20449,0.03955,-0.12073,-0.26601,-0.38767,-0.47849,-0.53416,-0.55324,-0.53720,-0.49016,-0.41848,-0.32966,-0.23206,-0.13347,-0.04191,0.03744,0.10060,0.14490,0.17025,0.17744,0.16873,0.14709,0.11571,0.07742,0.03518,-0.00833,-0.05126,-0.09226,-0.13031,-0.16480,-0.19527,-0.22162,-0.24366,-0.26103,-0.27456,-0.28500,-0.29393,-0.30320,-0.31554,-0.33371,-0.36003,-0.39588,-0.44231,-0.49698,-0.55707,-0.61736,-0.67119,-0.71067,-0.72833,-0.71777,-0.67365,-0.59336,-0.47706
0,0,-0.18756,-0.05378,0.09219,0.24324,0.39260,0.53476,0.66610,0.78340,0.88582,0.97262,1.04488,1.10236,1.14527,1.17291,1.18394,1.17704,1.15068,1.10360,1.03634,0.94975,0.84767,0.73491,0.61783,0.50354,0.39864,0.30913,0.23874,0.18882,0.15736,0.14002,0.12987,0.11844,0.09760,0.05991,0.00139,-0.07919,-0.17913,-0.29190,-0.40837,-0.51741,-0.60732,-0.66693,-0.68683,-0.66030,-0.58393,-0.45759,-0.28431,-0.06932,0.17941,0.45339,0.74247,1.03729,1.32862,1.60745,1.86697,2.10143,2.30628,2.47977,2.62072,2.73047,2.80998,2.86112,2.88642,2.88721,2.86513,2.82124,2.75563,2.66931,2.56292,2.43785,2.29651,2.14147,1.97633,1.80527,1.63242,1.46219,1.29816,1.14334,0.99989,0.86934,0.75141,0.64631,0.55238,0.46789,0.39019,0.31620,0.24303,0.16807,0.08934,0.00610,-0.08119,-0.17026,-0.25786,-0.33900,-0.40808,-0.45910,-0.48637,-0.48586,-0.45485,-0.39321,-0.30276
0,0,0.09063,0.22584,0.35521,0.47603,0.58688,0.68706,0.77832,0.86367,0.94667,1.03269,1.12670,1.23306,1.35471,1.49248,1.64416,1.80526,1.96818,2.12305,2.25911,2.36458,2.43002,2.44781,2.41426,2.32988,2.19990,2.03443,1.84734,1.65512,1.47560,1.32642,1.22303,1.17703,1.19661,1.28407,1.43598,1.64415,1.89628,2.17647,2.46727,2.75081,3.01016,3.23117,3.40248,3.51729,3.57239,3.56795,3.50761,3.39752,3.24504,3.05753,2.84241,2.60719,2.35663,2.09558,1.82779,1.55701,1.28697,1.02143,0.76501,0.52298,0.30000,0.10128,-0.06912,-0.20771,-0.31283,-0.38437,-0.42376,-0.43403,-0.41943,-0.38503,-0.33655,-0.28085,-0.22413,-0.17292,-0.13287,-0.10867,-0.10440,-0.12179,-0.16112,-0.22076,-0.29749,-0.38629,-0.48132,-0.57753,-0.66865,-0.74984,-0.81751,-0.86905,-0.90294,-0.91873,-0.91642,-0.89638,-0.85919,-0.80541,-0.73577,-0.65083,-0.55126,-0.43874,-0.31554,-0.18396,-0.04721
0,0,1.98257,1.91064,1.85058,1.80701,1.78334,1.78121,1.80067,1.83888,1.89106,1.95094,2.01054,2.06175,2.09648,2.10735,2.08957,2.04034,1.95994,1.85192,1.72160,1.57729,1.42778,1.28247,1.14986,1.03749,0.95004,0.89028,0.85794,0.85145,0.86842,0.90478,0.95678,1.02113,1.09587,1.17944,1.27048,1.36838,1.47183,1.57825,1.68540,1.78889,1.88436,1.96800,2.03603,2.08621,2.11771,2.13161,2.13101,2.11885,2.09979,2.07759,2.05548,2.03523,2.01671,1.99927,1.98038,1.95816,1.93014,1.89562,1.85560,1.81284,1.77159,1.73788,1.71783,1.71848,1.74454,1.79980,1.88457,1.99626,2.13003,2.27757,2.42966,2.57556,2.70540,2.80954,2.88100,2.91551,2.91226,2.87366,2.80427,2.71160,2.60498,2.49434,2.38897,2.29709,2.22521,2.17736,2.15432,2.15516,2.17553,2.20988,2.25188,2.29414,2.33011,2.35413,2.36206,2.35162,2.32204,2.27436,2.21226,2.13922,2.06080
