ticker,volume,open,close,high,low,window_start,transactions
BCC,248274,61.68,61.99,62.565,61.41,1680033600000000000,4073
CLDX,882958,35.03,34.78,35.81,34.39,1680033600000000000,9971
TRND,2084,26.73,26.7662,26.7662,26.7201,1680033600000000000,11
BFS,47818,37.15,37.25,37.68,36.885,1680033600000000000,962
NHTC,8284,4.9,4.85,4.92,4.85,1680033600000000000,107
HIMS,1830853,9.59,9.91,10.11,9.557,1680033600000000000,13748
ETHO,981,49.9,50.0959,50.0959,49.86,1680033600000000000,40
FSBC,37318,21.15,21.3,21.35,21,1680033600000000000,916
IPAY,19344,40.26,40.06,40.3,39.94,1680033600000000000,249
STLD,1168999,110.58,109.23,111.6801,108.91,1680033600000000000,20760
CEPU,295494,5.67,5.7,5.8,5.58,1680033600000000000,1575
BKSY,376877,1.41,1.37,1.41,1.36,1680033600000000000,1728
CAC,48232,37.54,37.75,37.915,37.17,1680033600000000000,1173
BACK,401789,0.16,0.151,0.16,0.15,1680033600000000000,817
THCH,132609,3.52,3.45,3.5711,3.43,1680033600000000000,1199
SPCE,6937554,4.04,3.9,4.09,3.815,1680033600000000000,31599
DM,1666843,2.07,2.09,2.15,2.05,1680033600000000000,6616
IIGV,265,23.06,23.08,23.08,23.06,1680033600000000000,2
IAI,63648,89.29,89.29,89.41,88.63,1680033600000000000,1339
AOSL,193321,25.64,25.62,25.72,25,1680033600000000000,4010
IMNN,6173,1.38,1.33,1.38,1.32,1680033600000000000,93
ADMP,743019,0.1199,0.115,0.1242,0.1118,1680033600000000000,1112
BBAX,163318,48.12,48.23,48.3082,48.04,1680033600000000000,1352
BCAN,16771,2.22,2.24,2.28,2.22,1680033600000000000,198
GWRE,380125,76.3,76.44,76.735,75.81,1680033600000000000,8013
FLTB,8763,48.67,48.4,48.67,48.35,1680033600000000000,59
CFGpE,77463,20.28,20.06,20.47,19.99,1680033600000000000,594
ATAI,1791732,1.4,1.33,1.41,1.3,1680033600000000000,3097
RNRpF,4221,21.88,21.85,21.99,21.82,1680033600000000000,86
BSJN,217663,23.44,23.435,23.46,23.423,1680033600000000000,707
KPLTW,7458,0.0918,0.069601,0.0918,0.062999,1680033600000000000,49
SPNTpB,31714,22,21.6,22,21.6,1680033600000000000,284
SMMV,43048,33.96,34.14,34.1983,33.93,1680033600000000000,403
CDAK,12021331,0.1952,0.19,0.21,0.165,1680033600000000000,17635
TRUP,1212683,38.4,37.64,40.07,37.55,1680033600000000000,18278
CHSCO,17496,25.69,26,26.04,25.69,1680033600000000000,176
AMTB,69688,22.26,22.25,22.4,21.99,1680033600000000000,2154
CAT,1801975,218.15,220.16,220.56,217.71,1680033600000000000,34557
OCCI,13904,9.12,9.12,9.14,9.06,1680033600000000000,161
PRO,89772,25.48,25.8,25.93,25.44,1680033600000000000,2000
TIGO,88117,18.24,18.09,18.33,18.03,1680033600000000000,1418
IYR,5155837,80.01,80.32,80.76,79.75,1680033600000000000,49139
TNPpD,7628,24.64,24.69,24.755,24.55,1680033600000000000,36
IMRX,50073,10.33,9.38,10.69,9.3,1680033600000000000,848
EELV,261806,23.17,23.21,23.24,23.17,1680033600000000000,895
MNKD,1549361,4.03,4.01,4.08,3.975,1680033600000000000,8866
WOOF,4466267,7.95,8.47,8.475,7.945,1680033600000000000,33657
HTFC,3500,23.95,24.2,24.2,22.85,1680033600000000000,24
IZM,86175,3.46,3.27,3.46,2.96,1680033600000000000,476
FEZ,835367,43.12,43.21,43.3099,43.05,1680033600000000000,4987
ZEUS,87565,51.36,50.63,52.24,50.51,1680033600000000000,2518
ERF,1187123,14.23,14.36,14.62,14.19,1680033600000000000,9875
APCA.WS,1245,0.11,0.1109,0.1109,0.11,1680033600000000000,5
RGR,60472,55.27,55.69,55.75,55.2,1680033600000000000,2267
SDOW,7030935,28.46,28.5,28.7692,28.09,1680033600000000000,32255
SIX,941918,24.39,24.36,24.87,24.265,1680033600000000000,12230
OLPX,1766005,3.97,4.01,4.08,3.95,1680033600000000000,13334
MOAT,447473,70.8,70.82,70.99,70.4,1680033600000000000,3510
ZNTL,383253,17.51,16.92,17.92,16.88,1680033600000000000,6367
ACA,243860,60.52,61.37,61.58,60.52,1680033600000000000,4233
FSM,4508565,3.59,3.74,3.75,3.54,1680033600000000000,7707
EM,84234,1.12,1.0284,1.13,1,1680033600000000000,318
DAVA,128479,65.24,63.84,65.815,63.76,1680033600000000000,2880
