code,name
(?i)\b(Afghanistan)\b,Afghanistan
(?i)\b(Åland\ Islands)\b,Åland Islands
(?i)\b(Albania)\b,Albania
(?i)\b(Algeria)\b,Algeria
(?i)\b(American\ Samoa)\b,American Samoa
(?i)\b(Andorra)\b,Andorra
(?i)\b(Angola)\b,Angola
(?i)\b(Anguilla)\b,Anguilla
(?i)\b(Antarctica)\b,Antarctica
(?i)\b(Antigua\ and\ Barbuda)\b,Antigua and Barbuda
(?i)\b(Argentina)\b,Argentina
(?i)\b(Armenia)\b,Armenia
(?i)\b(Aruba)\b,Aruba
(?i)\b(Australia)\b,Australia
(?i)\b(Austria)\b,Austria
(?i)\b(Azerbaijan)\b,Azerbaijan
(?i)\b(Bahamas)\b,Bahamas
(?i)\b(Bahrain)\b,Bahrain
(?i)\b(Bangladesh)\b,Bangladesh
(?i)\b(Barbados)\b,Barbados
(?i)\b(Belarus)\b,Belarus
(?i)\b(Belgium)\b,Belgium
(?i)\b(Belize)\b,Belize
(?i)\b(Benin)\b,Benin
(?i)\b(Bermuda)\b,Bermuda
(?i)\b(Bhutan)\b,Bhutan
(?i)\b(Bolivia|bolivia)\b,Bolivia
"(?i)\b(Bonaire,\ Sint\ Eustatius\ and\ Saba)\b","Bonaire, Sint Eustatius and Saba"
(?i)\b(Bosnia\ and\ Herzegovina)\b,Bosnia and Herzegovina
(?i)\b(Botswana)\b,Botswana
(?i)\b(Brazil)\b,Brazil
(?i)\b(British\ Indian\ Ocean\ Territory)\b,British Indian Ocean Territory
(?i)\b(Brunei\ Darussalam|brunei)\b,Brunei Darussalam
(?i)\b(Bulgaria)\b,Bulgaria
(?i)\b(Burkina\ Faso)\b,Burkina Faso
(?i)\b(Burundi)\b,Burundi
(?i)\b(Cambodia)\b,Cambodia
(?i)\b(Cameroon)\b,Cameroon
(?i)\b(Canada)\b,Canada
(?i)\b(Cape\ Verde)\b,Cape Verde
(?i)\b(Cayman\ Islands)\b,Cayman Islands
(?i)\b(Central\ African\ Republic)\b,Central African Republic
(?i)\b(Chad)\b,Chad
