code,name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma,Burma
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Congo (Brazzaville),Congo (Brazzaville)
Congo (Kinshasa),Congo (Kinshasa)
"Congo, Brazzaville","Congo, Brazzaville"
"Congo, Kinshasa","Congo, Kinshasa"
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Czechia,Czechia
Côte d'Ivoire,Côte d'Ivoire
Côte dʼIvoire,Côte dʼIvoire
Côte d’Ivoire,Côte d’Ivoire
Denmark,Denmark
Djibouti,Djibouti
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
Gabon,Gabon
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guadaloupe,Guadaloupe
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guinea,Guinea
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
"Korea, North","Korea, North"
"Korea, Republic of","Korea, Republic of"
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
Macau,Macau
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Mali,Mali
Martinique,Martinique
Mauritania,Mauritania
Mexico,Mexico
Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Macedonia,North Macedonia
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Reunion,Reunion
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Réunion,Réunion
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Serbia and Montenegro,Serbia and Montenegro
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
"Spain, including Canary Islands","Spain, including Canary Islands"
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Total,Total
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
"United States, including Puerto Rico","United States, including Puerto Rico"
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
