code,name
004,Afghanistan
008,Albania
012,Algeria
016,American Samoa
020,Andorra
024,Angola
028,Antigua and Barbuda
031,Azerbaijan
032,Argentina
036,Australia
040,Austria
044,Bahamas
048,Bahrain
050,Bangladesh
051,Armenia
052,Barbados
056,Belgium
060,Bermuda
064,Bhutan
068,Bolivia
070,Bosnia and Herzegovina
072,Botswana
076,Brazil
081,Antarctic Fisheries
084,Belize
090,Solomon Islands
092,British Virgin Islands
096,Brunei Darussalam
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
136,Cayman Islands
140,Central African Republic
144,Sri Lanka
148,Chad
152,Chile
156,China
158,Other Asia
170,Colombia
172,Commonwealth of Independent States (CIS)
174,Comoros
175,Mayotte
176,Mayotte (up to 2010)
178,Congo
180,Democratic Republic of the Congo
184,Cook Islands
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
200,Czechoslovakia [former]
203,Czech Republic
204,Benin
208,Denmark
212,Dominica
214,Dominican Republic
218,Ecuador
222,El Salvador
226,Equatorial Guinea
230,Ethiopia [up to 1993]
231,Ethiopia [from 1993]
232,Eritrea
233,Estonia
234,Faeroe Islands
238,Falkland Islands (Malvinas)
242,Fiji
246,Finland
251,France incl. Monaco
254,French Guiana
255,French Guiana (up to 2010)
258,French Polynesia
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
278,German Democratic Republic [former]
280,"Germany, Federal Republic of"
288,Ghana
292,Gibraltar
296,Kiribati
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
313,Guadeloupe (up to 2010)
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
344,"China, Hong Kong Special Administrative Region"
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran (Islamic Republic of)
368,Iraq
372,Ireland
376,Israel
382,Italy and San Marino
384,Cote d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,Democratic People's Republic of Korea
410,Republic of Korea
412,Kosovo
414,Kuwait
417,Kyrgyzstan
418,Lao People's Democratic Republic
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
438,Liechtenstein
440,Lithuania
442,Luxembourg
446,"China, Macao Special Administrative Region"
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
474,Martinique
475,Martinique (up to 2010)
478,Mauritania
480,Mauritius
484,Mexico
496,Mongolia
498,Republic of Moldova
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,Nauru
524,Nepal
528,Netherlands
530,Netherlands Antilles
531,Curaçao
533,Aruba
534,Sint Maarten (Dutch part)
535,"Bonaire, Sint Eustatius and Saba"
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
579,Norway including Svalbard and Jan Mayen Islands
580,Northern Mariana Islands
582,Pacific Islands (Trust Territory)
583,"Micronesia, Federated States of"
584,Marshall Islands
585,Palau
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
630,Puerto Rico
634,Qatar
638,Reunion
639,Reunion (up to 2010)
642,Romania
643,Russian Federation
646,Rwanda
654,Saint Helena
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
666,Saint Pierre and Miquelon
670,Saint Vincent and the Grenadines
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
702,Singapore
703,Slovakia
704,Viet Nam
705,Slovenia
706,Somalia
710,South Africa
716,Zimbabwe
720,Democratic Yemen [former]
724,Spain
728,South Sudan
729,Sudan
736,Sudan [up to 2011]
740,Suriname
748,Eswatini
752,Sweden
757,Switzerland-Liechtenstein
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
768,Togo
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Islands
798,Tuvalu
800,Uganda
804,Ukraine
807,North Macedonia
810,Union of Soviet Socialist Republics [former]
818,Egypt
826,United Kingdom
831,Guernsey
832,Jersey
833,Isle of Man
834,United Republic of Tanzania
840,United States
850,United States Virgin Islands
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela
876,Wallis and Futuna Islands
882,Samoa
886,Yemen Arab Republic [former]
887,Yemen
890,Yugoslavia [former Socialist Federal Republic]
891,Serbia and Montenegro
894,Zambia
