code,name,comment,parent_code,level,alias_code
world,World,total,,0,
AU,Australia,country,world,1,
AT,Austria,country,world,1,
BE,Belgium,country,world,1,
BR,Brazil,country,world,1,
BG,Bulgaria,country,world,1,
CA,Canada,country,world,1,
CN,China,country,world,1,
CY,Cyprus,country,world,1,
CZ,Czech Republic,country,world,1,
DK,Denmark,country,world,1,
EE,Estonia,country,world,1,
FI,Finland,country,world,1,
FR,France,country,world,1,
DE,Germany,country,world,1,
GR,Greece,country,world,1,
HU,Hungary,country,world,1,
HR,Croatia,country,world,1,
IN,India,country,world,1,
ID,Indonesia,country,world,1,
IE,Ireland,country,world,1,
IT,Italy,country,world,1,
JP,Japan,country,world,1,
LV,Latvia,country,world,1,
LT,Lithuania,country,world,1,
LU,Luxembourg,country,world,1,
MT,Malta,country,world,1,
MX,Mexico,country,world,1,
NL,Netherlands,country,world,1,
NO,Norway,country,world,1,
PL,Poland,country,world,1,
PT,Portugal,country,world,1,
RO,Romania,country,world,1,
RU,Russia,country,world,1,
SK,Slovakia,country,world,1,
SI,Slovenia,country,world,1,
ZA,South Africa,country,world,1,
KR,South Korea,country,world,1,
ES,Spain,country,world,1,
SE,Sweden,country,world,1,
CH,Switzerland,country,world,1,
TR,Turkey,country,world,1,
GB,United Kingdom,country,world,1,
US,United States,country,world,1,
TW,Taiwan,country,world,1,
WA,RoW Asia and Pacific,rest-of-world region,world,1,
WL,RoW America,rest-of-world region,world,1,
WE,RoW Europe,rest-of-world region,world,1,
WF,RoW Africa,rest-of-world region,world,1,
WM,RoW Middle East,rest-of-world region,world,1,
