code,name
Bangladesh,Bangladesh
Bhutan,Bhutan
Brunei Darussalam,Brunei Darussalam
Cambodia,Cambodia
Fiji,Fiji
"Hong Kong, China","Hong Kong, China"
India,India
Indonesia,Indonesia
Japan,Japan
Kazakhstan,Kazakhstan
Kyrgyz Republic,Kyrgyz Republic
Lao PDR,Lao PDR
Malaysia,Malaysia
Maldives,Maldives
Mongolia,Mongolia
Nepal,Nepal
Pakistan,Pakistan
Philippines,Philippines
People's Republic of China,People's Republic of China
Republic of Korea,Republic of Korea
Singapore,Singapore
Sri Lanka,Sri Lanka
"Taipei,China","Taipei,China"
Thailand,Thailand
Viet Nam,Viet Nam
