"","name","x.mni","y.mni","z.mni","lobe","hemi","index","name.full"
"1","lBSTS",-56,-44,5,"Temporal","L",1,"L bank of the superior temporal sulcus"
"2","lcACC",-2,21,27,"Cingulate","L",2,"L caudal anterior cingulate"
"3","lcMFG",-45,18,46,"Frontal","L",3,"L caudal middle frontal gyrus"
"4","lCUN",-1,-82,20,"Occipital","L",4,"L cuneus"
"5","lENT",-16,-10,-29,"Temporal","L",5,"L entorhinal"
"6","lFUS",-24,-54,-16,"Temporal","L",6,"L fusiform"
"7","lIPL",-47,-70,31,"Parietal","L",7,"L inferior parietal lobule"
"8","lITG",-56,-32,-24,"Temporal","L",8,"L inferior temporal gyrus"
"9","liCC",-1,-48,25,"Cingulate","L",9,"L isthmus cingulate cortex"
"10","lLOG",-43,-87,1,"Occipital","L",10,"L lateral occipital gyrus"
"11","lLOF",-35.98,30.71,-12.11,"Frontal","L",11,"L lateral orbitofrontal"
"12","lLING",-3,-73,-1,"Occipital","L",12,"L lingual"
"13","lMOF",-4,44,-14,"Frontal","L",13,"L medial orbitofrontal"
"14","lMTG",-68,-29,-13,"Temporal","L",14,"L middle temporal gyrus"
"15","lPARH",-18,-30,-18,"Temporal","L",15,"L parahippocampal"
"16","lparaC",-3,-28,62,"Frontal","L",16,"L paracentral"
"17","lpOPER",-57,22,18,"Frontal","L",17,"L pars opercularis"
"18","lpORB",-44,48,-13,"Frontal","L",18,"L pars orbitalis"
"19","lpTRI",-50,35,3,"Frontal","L",19,"L pars triangularis"
"20","lperiCAL",-12,-89,3,"Occipital","L",20,"L pericalcarine"
"21","lpostC",-50,-26,58,"Parietal","L",21,"L postcentral"
"22","lPCC",-1,-18,38,"Cingulate","L",22,"L posterior cingulate cortex"
"23","lpreC",-44,-12,59,"Frontal","L",23,"L precentral"
"24","lPCUN",-9,-59,46,"Parietal","L",24,"L precuneus"
"25","lrACC",-2,39,6,"Cingulate","L",25,"L rostral anterior cingulate cortex"
"26","lrMFG",-34,53,17,"Frontal","L",26,"L rostral middle frontal gyrus"
"27","lSFG",-21,38,50,"Frontal","L",27,"L superior frontal gyrus"
"28","lSPL",-25,-62,63,"Parietal","L",28,"L superior parietal lobule"
"29","lSTG",-63,-7,-1,"Temporal","L",29,"L superior temporal gyrus"
"30","lSMAR",-60,-41,39,"Parietal","L",30,"L supramarginal gyrus"
"31","lFP",-9,65,-12,"Frontal","L",31,"L frontal pole"
"32","lTP",-26,15,-35,"Temporal","L",32,"L temporal pole"
"33","lTT",-49,-23,9,"Temporal","L",33,"L transverse temporal"
"34","lINS",-41,13,-6,"Insula","L",34,"L insula"
"35","lTHAL",-11,-17,6,"SCGM","L",35,"L thalamus"
"36","lPUT",-30,-3,1,"SCGM","L",36,"L putamen"
"37","lPALL",-22,-4,-1,"SCGM","L",37,"L pallidum"
"38","lCAUD",-15,10,9,"SCGM","L",38,"L caudate"
"39","lHIPP",-30,-21,-13,"SCGM","L",39,"L hippocampus"
"40","lAMYG",-23,-8,-15,"SCGM","L",40,"L amygdala"
"41","lACCU",-9,10,-8,"SCGM","L",41,"L nucleus accumbens"
"42","rBSTS",50,-42,6,"Temporal","R",42,"R bank of the superior temporal sulcus"
"43","rcACC",3,21,27,"Cingulate","R",43,"R caudal anterior cingulate"
"44","rcMFG",43,14,43,"Frontal","R",44,"R caudal middle frontal gyrus"
"45","rCUN",3,-81,19,"Occipital","R",45,"R cuneus"
"46","rENT",21,-4,-32,"Temporal","R",46,"R entorhinal"
