"","name","x.mni","y.mni","z.mni","lobe","hemi","index","network"
"1","vmPFC.R1",6,64,3,"Frontal","R",1,"default"
"2","aPFC.R1",29,57,18,"Frontal","R",2,"fronto-parietal"
"3","aPFC.L1",-29,57,10,"Frontal","L",3,"fronto-parietal"
"4","mPFC",0,51,32,"Frontal","B",4,"default"
"5","aPFC.L2",-25,51,27,"Frontal","L",5,"default"
"6","vmPFC.R2",9,51,16,"Cingulate","R",6,"default"
"7","vmPFC.L1",-6,50,-1,"Cingulate","L",7,"default"
"8","aPFC.R2",27,49,26,"Frontal","R",8,"cingulo-opercular"
"9","vent.aPFC.R",42,48,-3,"Frontal","R",9,"fronto-parietal"
"10","vent.aPFC.L",-43,47,2,"Frontal","L",10,"fronto-parietal"
"11","vmPFC.L2",-11,45,17,"Frontal","L",11,"default"
"12","vlPFC.R1",39,42,16,"Frontal","R",12,"fronto-parietal"
"13","vmPFC.R3",8,42,-5,"Frontal","R",13,"default"
"14","ACC.R1",9,39,20,"Cingulate","R",14,"default"
"15","vlPFC.R2",46,39,-15,"Frontal","R",15,"default"
"16","dlPFC.R1",40,36,29,"Frontal","R",16,"fronto-parietal"
"17","sup.frontal.R",23,33,47,"Frontal","R",17,"default"
"18","vPFC.R",34,32,7,"Frontal","R",18,"cingulo-opercular"
"19","ACC.L1",-2,30,27,"Cingulate","L",19,"cingulo-opercular"
"20","sup.frontal.L",-16,29,54,"Frontal","L",20,"default"
"21","ACC.L2",-1,28,40,"Cingulate","L",21,"fronto-parietal"
"22","dlPFC.R2",46,28,31,"Frontal","R",22,"fronto-parietal"
"23","vPFC.L",-52,28,17,"Frontal","L",23,"fronto-parietal"
"24","dlPFC.L",-44,27,33,"Frontal","L",24,"fronto-parietal"
"25","vFC.R1",51,23,8,"Frontal","R",25,"cingulo-opercular"
"26","ant.insula.R",38,21,-1,"Insula","R",26,"cingulo-opercular"
"27","dACC",9,20,34,"Cingulate","R",27,"cingulo-opercular"
"28","ant.insula.L",-36,18,2,"Insula","L",28,"cingulo-opercular"
"29","dFC.R1",40,17,40,"Frontal","R",29,"fronto-parietal"
"30","basal.ganglia.L1",-6,17,34,"Cingulate","L",30,"cingulo-opercular"
"31","mFC",0,15,45,"Frontal","B",31,"cingulo-opercular"
"32","frontal.R1",58,11,14,"Frontal","R",32,"sensorimotor"
"33","vFC.L1",-46,10,14,"Frontal","L",33,"cingulo-opercular"
"34","dFC.R2",44,8,34,"Frontal","R",34,"fronto-parietal"
"35","dFC.R3",60,8,34,"Frontal","R",35,"sensorimotor"
"36","dFC.L",-42,7,36,"Frontal","L",36,"fronto-parietal"
"37","vFC.L2",-55,7,23,"Frontal","L",37,"sensorimotor"
"38","basal.ganglia.L2",-20,6,7,"SCGM","L",38,"cingulo-opercular"
"39","basal.ganglia.R1",14,6,7,"SCGM","R",39,"cingulo-opercular"
"40","vFC.L3",-48,6,1,"Frontal","L",40,"cingulo-opercular"
"41","pre-SMA",10,5,51,"Frontal","R",41,"sensorimotor"
"42","vFC.R2",43,1,12,"Frontal","R",42,"sensorimotor"
"43","SMA",0,-1,52,"Frontal","B",43,"sensorimotor"
"44","mid.insula.R1",37,-2,-3,"Insula","R",44,"cingulo-opercular"
"45","frontal.R2",53,-3,32,"Frontal","R",45,"sensorimotor"
"46","precentral.gyrus.R1",58,-3,17,"Frontal","R",46,"sensorimotor"
"47","thalamus.L1",-12,-3,13,"SCGM","L",47,"cingulo-opercular"
"48","mid.insula.L1",-42,-3,11,"Insula","L",48,"sensorimotor"
"49","precentral.gyrus.L1",-44,-6,49,"Frontal","L",49,"sensorimotor"
"50","parietal.L1",-26,-8,54,"Frontal","L",50,"sensorimotor"
"51","precentral.gyrus.R2",46,-8,24,"Frontal","R",51,"sensorimotor"
"52","precentral.gyrus.L2",-54,-9,23,"Frontal","L",52,"sensorimotor"
"53","precentral.gyrus.R3",44,-11,38,"Frontal","R",53,"sensorimotor"
"54","parietal.L2",-47,-12,36,"Parietal","L",54,"sensorimotor"
"55","mid.insula.R2",33,-12,16,"Insula","R",55,"sensorimotor"
"56","mid.insula.L2",-36,-12,15,"Insula","L",56,"sensorimotor"
"57","thalamus.L2",-12,-12,6,"SCGM","L",57,"cingulo-opercular"
"58","thalamus.R1",11,-12,6,"SCGM","R",58,"cingulo-opercular"
"59","mid.insula.R3",32,-12,2,"SCGM","R",59,"cingulo-opercular"
"60","temporal.R1",59,-13,8,"Temporal","R",60,"sensorimotor"
"61","mid.insula.L3",-30,-14,1,"SCGM","L",61,"cingulo-opercular"
"62","parietal.L3",-38,-15,59,"Frontal","L",62,"sensorimotor"
"63","inf.temporal.R",52,-15,-13,"Temporal","R",63,"default"
"64","parietal.L4",-47,-18,50,"Parietal","L",64,"sensorimotor"
"65","parietal.R1",46,-20,45,"Parietal","R",65,"sensorimotor"
"66","parietal.L5",-55,-22,38,"Parietal","L",66,"sensorimotor"
"67","precentral.gyrus.L3",-54,-22,22,"Parietal","L",67,"sensorimotor"
"68","temporal.L1",-54,-22,9,"Temporal","L",68,"sensorimotor"
"69","parietal.R2",41,-23,55,"Parietal","R",69,"sensorimotor"
"70","post.insula.R",42,-24,17,"Insula","R",70,"sensorimotor"
"71","basal.ganglia.R2",11,-24,2,"SCGM","R",71,"cingulo-opercular"
"72","inf.temporal.L1",-59,-25,-15,"Temporal","L",72,"default"
"73","post.cingulate.R1",1,-26,31,"Cingulate","R",73,"default"
"74","parietal.R3",18,-27,62,"Parietal","R",74,"sensorimotor"
"75","parietal.L6",-38,-27,60,"Parietal","L",75,"sensorimotor"
"76","post.insula.L",-30,-28,9,"Temporal","L",76,"cingulo-opercular"
"77","parietal.L7",-24,-30,64,"Parietal","L",77,"sensorimotor"
"78","temporal.R2",51,-30,5,"Temporal","R",78,"cingulo-opercular"
"79","post.parietal.L1",-41,-31,48,"Parietal","L",79,"sensorimotor"
"80","post.cingulate.L1",-4,-31,-4,"Cingulate","L",80,"cingulo-opercular"
"81","fusiform.R1",54,-31,-18,"Temporal","R",81,"cingulo-opercular"
"82","temporal.L2",-41,-37,16,"Temporal","L",82,"sensorimotor"
"83","temporal.L3",-53,-37,13,"Temporal","L",83,"sensorimotor"
"84","fusiform.R2",28,-37,-15,"Temporal","R",84,"default"
"85","precuneus.L1",-3,-38,45,"Cingulate","L",85,"default"
"86","sup.parietal",34,-39,65,"Parietal","R",86,"sensorimotor"
"87","precuneus.R1",8,-40,50,"Parietal","R",87,"cingulo-opercular"
"88","IPL.L1",-41,-40,42,"Parietal","L",88,"fronto-parietal"
"89","parietal.R4",58,-41,20,"Temporal","R",89,"cingulo-opercular"
"90","post.cingulate.L2",-8,-41,3,"Cingulate","L",90,"default"
"91","inf.temporal.L2",-61,-41,-2,"Temporal","L",91,"default"
"92","occipital.L1",-28,-42,-11,"Temporal","L",92,"default"
"93","post.cingulate.L3",-5,-43,25,"Cingulate","L",93,"default"
"94","precuneus.R2",9,-43,25,"Cingulate","R",94,"default"
"95","temporal.R3",43,-43,8,"Temporal","R",95,"cingulo-opercular"
"96","IPL.R1",54,-44,43,"Parietal","R",96,"fronto-parietal"
"97","parietal.L8",-55,-44,30,"Parietal","L",97,"cingulo-opercular"
"98","lat.cerebellum.L1",-28,-44,-25,"Cerebellum","L",98,"cerebellum"
"99","post.parietal.L2",-35,-46,48,"Parietal","L",99,"fronto-parietal"
"100","sup.temporal",42,-46,21,"Temporal","R",100,"cingulo-opercular"
"101","IPL.L2",-48,-47,49,"Parietal","L",101,"fronto-parietal"
"102","angular.gyrus.L1",-41,-47,29,"Parietal","L",102,"cingulo-opercular"
"103","temporal.L4",-59,-47,11,"Temporal","L",103,"cingulo-opercular"
"104","IPL.L3",-53,-50,39,"Parietal","L",104,"fronto-parietal"
"105","precuneus.R3",5,-50,33,"Cingulate","R",105,"default"
"106","occipital.L2",-18,-50,1,"Occipital","L",106,"occipital"
"107","IPL.R2",44,-52,47,"Parietal","R",107,"fronto-parietal"
"108","post.cingulate.L4",-5,-52,17,"Parietal","L",108,"default"
"109","lat.cerebellum.L2",-24,-54,-21,"Cerebellum","L",109,"cerebellum"
"110","inf.cerebellum.L1",-37,-54,-37,"Cerebellum","L",110,"cerebellum"
"111","post.cingulate.R2",10,-55,17,"Parietal","R",111,"default"
"112","precuneus.L2",-6,-56,29,"Parietal","L",112,"default"
"113","lat.cerebellum.L3",-34,-57,-24,"Cerebellum","L",113,"cerebellum"
"114","IPS.L1",-32,-58,46,"Parietal","L",114,"fronto-parietal"
"115","post.cingulate.L5",-11,-58,17,"Parietal","L",115,"default"
"116","IPS.R",32,-59,41,"Parietal","R",116,"fronto-parietal"
"117","angular.gyrus.R",51,-59,34,"Parietal","R",117,"default"
"118","occipital.L3",-34,-60,-5,"Temporal","L",118,"occipital"
"119","occipital.R1",36,-60,-8,"Temporal","R",119,"occipital"
"120","med.cerebellum.L1",-6,-60,-15,"Cerebellum","L",120,"cerebellum"
"121","inf.cerebellum.L2",-25,-60,-34,"Cerebellum","L",121,"cerebellum"
"122","inf.cerebellum.R1",32,-61,-31,"Cerebellum","R",122,"cerebellum"
"123","temporal.R4",46,-62,5,"Temporal","R",123,"occipital"
"124","angular.gyrus.L2",-48,-63,35,"Parietal","L",124,"default"
"125","TPJ",-52,-63,15,"Temporal","L",125,"cingulo-opercular"
"126","occipital.L4",-44,-63,-7,"Occipital","L",126,"occipital"
"127","med.cerebellum.L2",-16,-64,-21,"Cerebellum","L",127,"cerebellum"
"128","lat.cerebellum.R",21,-64,-22,"Cerebellum","R",128,"cerebellum"
"129","occipital.R2",19,-66,-1,"Occipital","R",129,"occipital"
"130","med.cerebellum.R1",1,-66,-24,"Cerebellum","R",130,"cerebellum"
"131","inf.cerebellum.L3",-34,-67,-29,"Cerebellum","L",131,"cerebellum"
"132","precuneus.R4",11,-68,42,"Parietal","R",132,"default"
"133","occipital.R3",17,-68,20,"Occipital","R",133,"occipital"
"134","IPS.L2",-36,-69,40,"Parietal","L",134,"default"
"135","occipital.R4",39,-71,13,"Occipital","R",135,"occipital"
"136","occipital.L5",-9,-72,41,"Parietal","L",136,"default"
"137","occipital.R5",45,-72,29,"Occipital","R",137,"default"
"138","med.cerebellum.L3",-11,-72,-14,"Cerebellum","L",138,"cerebellum"
"139","occipital.R6",29,-73,29,"Occipital","R",139,"occipital"
"140","inf.cerebellum.R2",33,-73,-30,"Cerebellum","R",140,"cerebellum"
"141","occipital.L6",-2,-75,32,"Occipital","L",141,"default"
"142","occipital.L7",-29,-75,28,"Occipital","L",142,"occipital"
"143","med.cerebellum.R2",5,-75,-11,"Cerebellum","R",143,"cerebellum"
"144","med.cerebellum.R3",14,-75,-21,"Cerebellum","R",144,"cerebellum"
"145","occipital.L8",-16,-76,33,"Occipital","L",145,"occipital"
"146","occipital.L9",-42,-76,26,"Occipital","L",146,"default"
"147","occipital.R7",9,-76,14,"Occipital","R",147,"occipital"
"148","occipital.R8",15,-77,32,"Occipital","R",148,"occipital"
"149","occipital.R9",20,-78,-2,"Occipital","R",149,"occipital"
"150","inf.cerebellum.L4",-21,-79,-33,"Cerebellum","L",150,"cerebellum"
"151","inf.cerebellum.L5",-6,-79,-33,"Cerebellum","L",151,"cerebellum"
"152","post.occipital.L1",-5,-80,9,"Occipital","L",152,"occipital"
"153","post.occipital.R1",29,-81,14,"Occipital","R",153,"occipital"
"154","post.occipital.R2",33,-81,-2,"Occipital","R",154,"occipital"
"155","inf.cerebellum.R3",18,-81,-33,"Cerebellum","R",155,"cerebellum"
"156","post.occipital.L2",-37,-83,-2,"Occipital","L",156,"occipital"
"157","post.occipital.L3",-29,-88,8,"Occipital","L",157,"occipital"
"158","post.occipital.R3",13,-91,2,"Occipital","R",158,"occipital"
"159","post.occipital.R4",27,-91,2,"Occipital","R",159,"occipital"
"160","post.occipital.L4",-4,-94,12,"Occipital","L",160,"occipital"
