A,B,S,y
0,0,0,2
0,1,0,2
0,2,0,5
0,3,0,5
0,0,1,4
0,1,1,8
0,2,1,6
0,3,1,5
0,0,2,5
0,1,2,5
0,2,2,0
0,3,2,0
0,0,3,6
0,1,3,1
0,2,3,0
0,3,3,3
0,0,4,6
0,1,4,5
0,2,4,7
0,3,4,9
0,0,5,4
0,1,5,6
0,2,5,7
0,3,5,5
0,0,6,1
0,1,6,7
0,2,6,4
0,3,6,3
0,0,7,4
0,1,7,8
0,2,7,6
0,3,7,7
0,0,8,8
0,1,8,2
0,2,8,0
0,3,8,2
0,0,9,9
0,1,9,5
0,2,9,1
0,3,9,3
1,0,10,9
1,1,10,2
1,2,10,7
1,3,10,8
1,0,11,9
1,1,11,7
1,2,11,4
1,3,11,2
1,0,12,3
1,1,12,0
1,2,12,1
1,3,12,5
1,0,13,0
1,1,13,0
1,2,13,6
1,3,13,3
1,0,14,7
1,1,14,5
1,2,14,3
1,3,14,0
1,0,15,8
1,1,15,3
1,2,15,4
1,3,15,6
1,0,16,9
1,1,16,6
1,2,16,0
1,3,16,5
1,0,17,9
1,1,17,8
1,2,17,5
1,3,17,1
1,0,18,7
1,1,18,2
1,2,18,4
1,3,18,7
1,0,19,0
1,1,19,7
1,2,19,5
1,3,19,1
2,0,20,1
2,1,20,1
2,2,20,0
2,3,20,4
2,0,21,3
2,1,21,7
2,2,21,4
2,3,21,6
2,0,22,7
2,1,22,5
2,2,22,9
2,3,22,2
2,0,23,0
2,1,23,2
2,2,23,3
2,3,23,9
2,0,24,1
2,1,24,4
2,2,24,6
2,3,24,5
2,0,25,8
2,1,25,7
2,2,25,4
2,3,25,1
2,0,26,3
2,1,26,1
2,2,26,7
2,3,26,0
2,0,27,0
2,1,27,7
2,2,27,0
2,3,27,6
2,0,28,2
2,1,28,4
2,2,28,0
2,3,28,0
2,0,29,6
2,1,29,1
2,2,29,3
2,3,29,5
