Gene;Aliases;Location;Status;Expressed Allele
Zdbf2;4930431J08Rik, 9330107J05Rik, RP23-434D24.2;1;Imprinted;Paternal
Gpr1;;1 AS;Imprinted;Paternal
Mir296;Mirn296, mmu-mir-296;2 AS;Imprinted;Paternal
Mcts2;PSIMCT-1, RP23-35I8.12, 2400002F11Rik;2;Imprinted;Paternal
Mir298;Mirn298, mmu-mir-298;2 AS;Imprinted;Paternal
Sfmbt2;D2Wsu23e, D330030P06Rik;2 6.0 cM;Imprinted;Paternal
Gatm;AT, AI314789, 1810003P21Rik;2 69.0 cM AS;Imprinted;Maternal
H13;Spp, H-13, Hm13, PSL3, AV020344, 1200006O09Rik, 4930443L17Rik, 5031424B04Rik;2 86.0 cM;Imprinted;Maternal
Blcap;Bc10, AI462828, MGC102074;2 88.0 cM AS;Imprinted;Isoform Dependent
Nnat;Peg5, AW107673, 5730414I02Rik;2 88.0 cM;Imprinted;Paternal
Zfp64;Gm38422;2 88.99 cM AS;Imprinted;Paternal
Nespas;Gnas-as;2 104.0 cM AS;Imprinted;Paternal
Gnas;P1, P2, P3, GSP, Gsa, POH, GPSA, Nesp, Gnas1, Nespl, PHP1A, PHP1B, Gnasxl, Nesp55, Oedsml, Oed-Sml, Gs-alpha, XLalphas, MGC118029, 5530400H20Rik, A930027G11Rik, C130027O20Rik;2 104.0 cM;Imprinted;Isoform Dependent
Jade1;Phf1, Phf17, AU041499, mKIAA1807, D530048A03Rik;3;Imprinted;Paternal
Lin28a;Lin28, Tex17, Lin-28, Gm10299, lin-28A, AL024421, ENSMUSG00000070700;4 AS;Imprinted;
Magi2;AIP-1, Acvri1, Magi-2, S-SCAM, Acvrip1, Acvrinp1, mKIAA0705;5;Imprinted;Paternal
Il6;Il-6;5 17.0 cM;Imprinted;
Fkbp6;36kDa, FKBP-6, FKBP-36, AU017274, D5Ertd724, D5Ertd724e, 1700008G22Rik;5 75.11 cM AS;Imprinted;Paternal
Mkrn1-ps1;makorin, ring finger protein 1,  pseudogene 1;5 E1 AS;Imprinted;Paternal
Mir335;Mirn335, mir-335, mmu-mir-335;6;Imprinted;
Ppp1r9a;BB181831, mKIAA1222, 5330407E15, neurabin-I, 2810430P21Rik, 4930518N04Rik, A230094E16Rik;6 0.5 cM;Imprinted;Maternal
Peg10;Edr, HB-1, Mar2, MEF3L, Mart2, MyEF-3, AA407948;6 0.5 cM;Imprinted;Paternal
Tfpi2;AV000670, PP5/TFPI-2;6 1.0 cM AS;Imprinted;Maternal
Sgce;e-SG;6 1.0 cM AS;Imprinted;Paternal
Asb4;AV117194, AW060255, 8430401O13Rik;6 1.99 cM;Imprinted;Maternal
Calcr;Clr;6 3.8 cM AS;Imprinted;Maternal
Mest;Peg1, AA408879, AI256745;6 7.5 cM;Imprinted;Paternal
Aqp1;CHIP, CHIP28;6 27.38 cM;Imprinted;Maternal
Copg2;AW227625;6 A3.3 AS;Imprinted;Maternal
Klf14;BTEB5, AL022736, 5330411L03Rik;6 A3.3 AS;Imprinted;Maternal
Nap1l5;1110020M21Rik;6 C1 AS;Imprinted;Paternal
Nlrp2;N, P, Nb, PYP, NBS1, PAN1, Nalp2, PYPAF2, E330007A02Rik;7 AS;Imprinted;Maternal
Peg3os;Apeg3, Peg3as;7;Imprinted;Maternal
Ano1;Tmem16a;7 AS;Imprinted;Maternal
Dhcr7;AA409147;7;Imprinted;Maternal
LOC101055709;;7;Imprinted;
Zim1;;7 6.5 cM AS;Imprinted;Maternal
Usp29;Ocat;7 6.5 cM;Imprinted;Paternal
Peg3;Pw1, End4, Gcap4, Zfp102, AL022617, mKIAA0287;7 6.5 cM AS;Imprinted;Paternal
Zim3;1700128I23Rik;7 7.0 cM;Imprinted;Maternal
Zfp264;;7 7.0 cM;Imprinted;Paternal
Magel2;ns7, nM15, NDNL1, Mage-l2;7 28.0 cM;Imprinted;Paternal
Peg12;Frat3;7 28.0 cM AS;Imprinted;Paternal
Ndn;Peg6, AI528698;7 28.0 cM;Imprinted;Paternal
Ube3a;Hpve6a, KIAA4216, mKIAA4216, 4732496B02, 5830462N02Rik, A130086L21Rik;7 28.65 cM;Imprinted;Maternal
Snrpn;SMN, Peg4, HCERN3, MGC18604, MGC30325, 2410045I01Rik;7 29.0 cM AS;Imprinted;Paternal
Zfp127as;ZNF127AS;7 29.0 cM;Imprinted;Maternal
Pwcr1;snoRNA MBII-85;7 29.0 cM AS;Imprinted;Paternal
Mkrn3;Zfp127, D7H15S9-1;7 29.0 cM AS;Imprinted;Paternal
Ampd3;;7 52.0 cM;Imprinted;Maternal
H19;AI747191;7 69.03 cM AS;Imprinted;Maternal
Igf2as;;7 69.09 cM;Imprinted;Paternal
Ins2;Mody, Ins-2, Mody4, AA986540, proinsulin, INS;7 69.1 cM AS;Imprinted;Paternal
Th;;7 69.2 cM AS;Imprinted;Maternal
Tssc4;AA241958, ESTM671070;7 69.3 cM;Imprinted;Maternal
Cd81;Tapa1, Tapa-1, Tspan28;7 69.3 cM;Imprinted;Maternal
Kcnq1;Kcna9, KVLQT1, AW559127;7 69.3 cM;Imprinted;Maternal
Kcnq1ot1;Lit1, Kvlqt1-as, antisense transcript of Kvlqt1;7 69.3 cM;Imprinted;Paternal
Ascl2;Mash2, 2410083I15Rik;7 69.3 cM AS;Imprinted;Maternal
AF313042;Msuit1;7 69.5 cM;Imprinted;Maternal
Phlda2;Ipl, Tssc3;7 69.5 cM AS;Imprinted;Maternal
Slc22a18;HET, ITM, BWR1A, Impt1, TSSC5, Orctl2, BWSCR1A, AW260131, Slc22a1l, p45-BWR1A;7 69.5 cM;Imprinted;Maternal
Cdkn1c;CDKI, Kip2, p57Kip2, AL024410, p57(kip2);7 69.49 cM AS;Imprinted;Maternal
Nap1l4;Nap2, AI316776, D7Wsu30e, 2810410H14Rik;7 69.55 cM AS;Imprinted;Maternal
Tnfrsf23;mSOB, Tnfrh1, Dctrailr1, MGC123882, MGC123883, Tnfrsf1al1, mDcTrailr1;7 69.56 cM AS;Imprinted;Maternal
Tnfrsf22;SOBa, Tnfrh2, Tnfrsf1al2, mDcTrailr2, 2810028K06Rik, C130035G06Rik;7 69.57 cM AS;Imprinted;Maternal
AK155734;;7 69.57 cM;Imprinted;Maternal
Tnfrsf26;Tnfrh3, Tnfrsf24;7 69.58 cM AS;Imprinted;Maternal
Nctc1;Rhit1, 9530074L01;7 87.96 cM AS;Imprinted;Paternal
Igf2;M, M6, Igf, Mpr, Peg, Igf-, M6pr, Peg2, Igf-2, Igf-II, AL033362;7 87.99 cM AS;Imprinted;Paternal
Zim2;1700116N21Rik;7 A1 AS;Imprinted;Maternal
Snurf;Snrpn, MGC18604, MGC30325, 2410045I01Rik;7 B5 AS;Imprinted;Paternal
Inpp5f V2;SAC2, cI-27, AI115354, AW561896, mKIAA0966, 5830435P03Rik;7 F3;Imprinted;Paternal
Gab1;AA408973, AW107238;8 AS;Imprinted;Paternal
Cdh15;Mca, Mcad, Cdh14, AI323380;8 71.99 cM;Imprinted;Paternal
Musd2;pro;9;Imprinted;
Snx14;YR-14, B830022K16, C330035N22Rik;9 AS;Imprinted;Paternal
Ntm;Hnt, Igdcc2, R75390, 6230410L23Rik, B230210G24Rik;9 AS;Imprinted;
Mir184;Mirn184, mmu-mir-184;9 AS;Imprinted;Paternal
Rasgrf1;Grf, Gnrp, Grf1, p190, CDC25, Grfbe, P190-A, CDC25Mm, Grfbeta, AI844718, Ras-GRF1, p190RhoGEF;9 47.31 cM;Imprinted;Paternal
Hymai;;10;Imprinted;Paternal
Plagl1;Lot1, Zac1;10 15.0 cM;Imprinted;Paternal
Dcn;DC, SL, PG40, PGII, PGS2, DSPG2, SLRR1B;10 50.27 cM;Imprinted;Maternal
Ccdc40;RP23-13O17.4, B930008I02Rik;11;Imprinted;
Platr20;5133400J02Rik;11 AS;Imprinted;Paternal
Ddc;Aadc;11 7.0 cM AS;Imprinted;Paternal
Grb10;Meg1, AI325020, mKIAA0207, 5730571D09Rik;11 8.0 cM AS;Imprinted;Isoform Dependent
Zrsr1;SP2, Irlgs2, D11Ncvs75, U2af1-rs1, U2afbp-rs;11 12.0 cM;Imprinted;Paternal
U2af1-rs1;SP2, 35kDa, Irlgs2, D11Ncvs75, U2afbp-rs;11 12.0 cM;Imprinted;Paternal
Commd1;Murr1, U2/Mu, AI256843;11 12.0 cM AS;Imprinted;Maternal
Mir154;Mirn154, mmu-mir-154;12;Imprinted;Maternal
Mir376b;Mirn376b;12;Imprinted;Maternal
Mir136;Mirn136, mmu-mir-136;12;Imprinted;Maternal
Dio3os;Di, Dio3as, AW556460;12 AS;Imprinted;Maternal
Mir410;Mirn410, mmu-mir-410;12;Imprinted;Maternal
AF357355;MBII-343;12;Imprinted;Maternal
Mir431;Mirn431, mmu-mir-431;12;Imprinted;Maternal
B830012L14Rik;;12;Imprinted;Maternal
Mir380;Mirn380, mmu-mir-380;12;Imprinted;Maternal
Mir127;Mirn127, mmu-mir-127;12;Imprinted;Maternal
Mir134;Mirn134, mmu-mir-134;12;Imprinted;Maternal
Mir337;Mirn337, mmu-mir-337;12;Imprinted;Maternal
Mir370;Mirn370, mmu-mir-370;12;Imprinted;Maternal
Smoc1;S, SRG, AI848508, 2600002F22Rik;12;Imprinted;Paternal
Mir411;Mirn411, mmu-mir-411;12;Imprinted;Maternal
AF357359;MBII-426;12;Imprinted;Maternal
Gtl2;Meg3, R74756, R75394, AI425946, AW108224, D12Bwg1266e, 2900016C05Rik, 3110050O07Rik, 6330408G06Rik;12 54.0 cM;Imprinted;Maternal
Dlk1;FA1, ZOG, pG2, Peg9, SCP1, Ly107, pref-1, AW742678;12 54.0 cM;Imprinted;Paternal
AF357426;MBII-49;12 54.5 cM;Imprinted;Maternal
AF357425;MBII-48;12 54.5 cM;Imprinted;Maternal
AF357428;MBII-78;12 54.5 cM;Imprinted;Maternal
AF357341;MBII-19;12 54.5 cM;Imprinted;Maternal
Rian;Meg8, 5530401N18Rik, C130089L09Rik;12 60.41 cM;Imprinted;Maternal
Mirg;Meg9, AI852992, 2810474H01Rik;12 F1;Imprinted;Maternal
Rtl1;Mar, Mor1, Mart1, 6430411K18Rik;12 F1 AS;Imprinted;Paternal
Dio3;MGC124117, MGC124118;12 F1;Imprinted;Paternal
Begain;Gm897, BM948371;12 F1 AS;Imprinted;Isoform Dependent
Htr2a;Htr2, Htr-2, MGC124301, MGC124302, E030013E04;14 41.5 cM;Imprinted;Maternal
Chrac1;YCL, YCL1, 2410152E03Rik, 2810406L04Rik;15;Imprinted;Maternal
Trappc9;N, Ibp, Nibp, TRS1, TRS130, mKIAA1882, 1810044A24Rik, 2900005P22Rik, 4632408O18Rik;15 AS;Imprinted;Maternal
Peg13;;15 AS;Imprinted;Paternal
Galnt6;GalNA, AW047994, GalNAc-T6, 4632410F13;15 AS;Imprinted;Paternal
Slc38a4;At, SN, Ata3, SNAT4, mATA3, mNAT3, 1110012E16Rik, 1700012A18Rik;15 AS;Imprinted;Paternal
Kcnk9;Task3;15 D3 AS;Imprinted;Maternal
Pde10a;;17;Imprinted;Maternal
Dact2;Dp, Frd, dap, Dpr2, Frd2, dapper2, A630024E20, 2900084M21Rik;17 AS;Imprinted;Maternal
Qpct;5730422A13Rik;17;Imprinted;Maternal
Prkn;P, Pa, Park2;17 7.8 cM;Imprinted;Maternal
Slc22a3;EMT, Oct3, Orct3, Slca22a3;17 7.31 cM AS;Imprinted;Maternal
Slc22a2;Oct2, Orct2, MGC18339;17 7.32 cM;Imprinted;Maternal
Igf2r;CD222, CI-MPR, Mpr300, AI661837, M6P/IGF2R;17 7.35 cM AS;Imprinted;Maternal
Air;B930018I07Rik;17 7.36 cM;Imprinted;Paternal
Smoc2;Smo, Smoc2l, 1700056C05Rik, 5430426J21Rik;17 8.95 cM;Imprinted;Maternal
Thbs2;TS, TSP2, Thbs-, Thbs-2;17 8.95 cM AS;Imprinted;Maternal
Impact;E430016J11Rik;18 A2-B2;Imprinted;Paternal
Xlr3b;Xlr, Xlr3, EG574437;X;Imprinted;Maternal
Fthl17f;Gm5635, EG434729, Fthl17L5;X;Imprinted;Paternal
Fthl17d;Gm14458, Fthl17L3;X AS;Imprinted;Paternal
Fthl17e;Fthl1, Fthl17;X;Imprinted;Paternal
Gm35612;;X;Imprinted;Maternal
Fthl17b;Gm5634, EG434726, Fthl17L1;X AS;Imprinted;Paternal
Fthl17c;Gm14511, EG434727, Fthl17L2;X AS;Imprinted;Paternal
Fthl17a;AI324104, 1600014K23Rik;X;Imprinted;Paternal
Rhox5;Pem, AA409564;X 12.7 cM;Imprinted;Isoform Dependent
Tsix;antisense of Xist;X 42.0 cM;Imprinted;Maternal
Jpx;Enox, 2010000I03Rik, 2510040I06Rik;X 46.17 cM;Imprinted;Paternal
Ftx;Thcytx, BB219131, NCRNA00182, B230206F22Rik;X 46.21 cM AS;Imprinted;Paternal
Zcchc13;Cnbp2, 4930513O09Rik;X 46.26 cM;Imprinted;Maternal
Xist;A430022B11;X D AS;Imprinted;Paternal
