"","name","x.mni","y.mni","z.mni","lobe","hemi","index","name.full"
"1","lIOG.1",-39.7283,-85.3526,0.26012,"Occipital","L",1,"Inferior Occipital G"
"2","lANG.1",-49.7727,-60.6136,22.2159,"Parietal","L",2,"Angular G"
"3","rPRECU.1",13.148,-64.722,23.5776,"Parietal","R",3,"Precuneus"
"4","lINS.1",-36.9079,-13.4079,-3.5395,"Insula","L",4,"Insula"
"5","lACC.1",-6.8959,45.6516,6.5837,"Cingulate","L",5,"Anterior cingulate"
"6","rPRECU.2",9.0112,-36.0781,46.5502,"Parietal","R",6,"Precuneus"
"7","rANG.1",55.6107,-47.2992,39.8484,"Parietal","R",7,"Angular G"
"8","lpostC.1",-40.8289,-21.1184,52.9079,"Parietal","L",8,"Postcentral G"
"9","lCEREB.1",-19.3224,-62.0939,-27.3551,"Cerebellum","L",9,"Cerebellum"
"10","rCEREB.1",43.0633,-55.3165,-33.4557,"Cerebellum","R",10,"Cerebellum"
"11","lMTG.1",-58.5281,-30.2584,-3.7528,"Temporal","L",11,"Middle temporal G"
"12","rFP.1",27.5455,58.5734,-2.6224,"Frontal","R",12,"Frontal pole"
"13","rMEDFG.1",2.9492,12.4322,48.6483,"Frontal","R",13,"Medial Frontal G"
"14","rANG.2",53.7553,-55.3298,22.5638,"Parietal","R",14,"Angular G"
"15","rPUT.1",13.3443,12.4262,-7.377,"SCGM","R",15,"Putamen"
"16","lIOG.2",-48.9844,-65.5781,-6.0586,"Occipital","L",16,"Inferior Occipital G"
"17","rpreC.1",46.2108,8.8386,30.7399,"Frontal","R",17,"Precentral"
"18","rTHAL.1",11.9077,-20.5231,8.1692,"SCGM","R",18,"Thalamus"
"19","lPRECU.1",-9.8253,-67.2268,21.4796,"Parietal","L",19,"Precuneus"
"20","lINS.2",-32.7044,19.5074,1.3892,"Insula","L",20,"Insula"
"21","lpostC.2",-9.3255,-37.9104,68.0236,"Parietal","L",21,"Postcentral G"
"22","rACC.1",6.52,42.2133,4.5867,"Cingulate","R",22,"Anterior cingulate"
"23","lMFG.1",-41.8358,41.7313,12.7612,"Frontal","L",23,"Middle frontal G"
"24","lSTG.1",-58.4579,-27.3785,14.4813,"Temporal","L",24,"Superior temporal G"
"25","rMFG.1",44.5189,40.8113,13.8821,"Frontal","R",25,"Middle frontal G"
"26","rIOG.1",43.417,-73.7617,-11.7064,"Occipital","R",26,"Inferior Occipital G"
"27","lPARAH.1",-30.3273,-5.1818,-33.2727,"Temporal","L",27,"Parahippocampal G"
"28","rpostC.1",29.424,-33.42,62.448,"Parietal","R",28,"Postcentral G"
"29","rCING",1.625,-15.9167,33.375,"Cingulate","R",29,"CINGULATE G"
"30","rBSTEM.1",2.8586,-27.8325,-36.6126,"Brainstem","Brainstem",30,"Brainstem"
"31","rSPL.1",30.1714,-54.5429,58.6143,"Parietal","R",31,"Superior Parietal Lobule"
"32","rTP.1",43.5608,9.5676,-38.1081,"Temporal","R",32,"Temporal pole"
"33","lSUPRAM",-56.8608,-43.3763,25.3763,"Parietal","L",33,"Supramarginal G"
"34","lpreC.1",-45.6,7.8769,30.9077,"Frontal","L",34,"Precentral"
"35","rINS.1",40.8534,-5.2618,9.6754,"Insula","R",35,"Insula"
"36","lCEREB.2",-40.2834,-52.4599,-34.7487,"Cerebellum","L",36,"Cerebellum"
"37","lTHAL.1",-13.3562,-31.9589,0.15068,"SCGM","L",37,"Thalamus"
"38","rMFG.2",42.5455,24.2851,36.6074,"Frontal","R",38,"Middle frontal G"
"39","rMTG.1",62.656,-42.8394,-8.9587,"Temporal","R",39,"Middle temporal G"
"40","rACC.2",1.7338,33.3799,23.6006,"Cingulate","R",40,"Anterior cingulate"
"41","rCEREB.2",30.4972,-39.4309,-32.3867,"Cerebellum","R",41,"Cerebellum"
"42","lFP.1",-27.8333,48.9444,-14.1111,"Frontal","L",42,"Frontal pole"
"43","lTP.1",-39,6.0745,-40.0435,"Temporal","L",43,"Temporal pole"
"44","rOP.1",13.583,-94.4043,1.4809,"Occipital","R",44,"Occipital pole"
"45","lTHAL.2",-8.1989,-17.9148,9,"SCGM","L",45,"Thalamus"
"46","rPCC",1.894,-38.1843,31.4101,"Cingulate","R",46,"Posterior Cingulate"
"47","lCAUD.1",-13.795,12.8159,-3.8787,"SCGM","L",47,"Caudate"
"48","rPARAH.1",19.0837,-34.6388,-2.8943,"Temporal","R",48,"Parahippocampal G"
"49","rMTG.2",61.8086,-20.799,-16.8086,"Temporal","R",49,"Middle temporal G"
"50","lSFG.1",-27.9802,-6.5792,56.9554,"Frontal","L",50,"Superior frontal G"
"51","lACC.2",-0.34404,38.8486,-13.7339,"Cingulate","L",51,"Anterior cingulate"
"52","lBSTEM.1",-6.5068,-45.9932,-40.1554,"Brainstem","Brainstem",52,"Brainstem"
"53","rFOG.1",44.507,29.5211,-10.9155,"Frontal","R",53,"Frontal Orbital G"
"54","lCUN",-5.3447,-87.3072,24.5631,"Occipital","L",54,"Cuneus"
"55","rACC.3",0.5,16.369,31.1548,"Cingulate","R",55,"Anterior cingulate"
