location_from,location_to,classification_from,classification_to,comment,skos_uri
AF,AF,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AX,AX,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AL,AL,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
DZ,DZ,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AS,AS,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AD,AD,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AO,AO,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AI,AI,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AQ,AQ,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AG,AG,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AR,AR,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AM,AM,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AW,AW,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AU,AU,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,AZ,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BS,BS,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BH,BH,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BD,BD,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BB,BB,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BY,BY,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BE,BE,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,BZ,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
BJ,BJ,bonsai_v2_0,iso_3166_1_alpha2,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
