A,B,C,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,0,0.15553,0.08139,-0.02319,-0.15542,-0.31019,-0.48080,-0.65875,-0.83497,-0.99971,-1.14441,-1.26030,-1.34150,-1.38460,-1.38821,-1.35379,-1.28535,-1.18818,-1.06868,-0.93408,-0.79128,-0.64624,-0.50387,-0.36795,-0.24136,-0.12508,-0.02002,0.07442,0.15915,0.23562,0.30496,0.36814,0.42672,0.48164,0.53431,0.58525,0.63592,0.68705,0.73986,0.79518,0.85367,0.91519,0.97925,1.04437,1.10750,1.16479,1.21141,1.24148,1.24948,1.23026,1.18003,1.09690,0.98197,0.83860,0.67340,0.49545,0.31533,0.14377,-0.00900,-0.13490,-0.22835,-0.28754,-0.31525,-0.31561,-0.29682,-0.26763,-0.23717,-0.21334,-0.20304,-0.21028,-0.23623,-0.28075,-0.34176,-0.41600,-0.50012,-0.59050,-0.68420,-0.77831,-0.87063,-0.95934,-1.04193,-1.11552,-1.17669,-1.22249,-1.24894,-1.25328,-1.23246,-1.18551,-1.11253,-1.01496,-0.89671,-0.76188,-0.61634,-0.46677,-0.31948,-0.18086,-0.05659,0.04800,0.12890,0.18234,0.20559,0.19692
0,0,0,0.69870,0.78215,0.83098,0.84240,0.81712,0.75816,0.67174,0.56637,0.45274,0.34171,0.24463,0.17098,0.12816,0.12005,0.14681,0.20391,0.28403,0.37725,0.47217,0.55754,0.62383,0.66361,0.67384,0.65456,0.60929,0.54510,0.46982,0.39297,0.32338,0.26838,0.23386,0.22216,0.23351,0.26588,0.31448,0.37446,0.44012,0.50589,0.56746,0.62242,0.66937,0.70904,0.74266,0.77246,0.80067,0.82764,0.85333,0.87557,0.89121,0.89543,0.88317,0.84899,0.78885,0.70058,0.58386,0.44155,0.27825,0.10163,-0.08078,-0.25961,-0.42655,-0.57466,-0.69856,-0.79607,-0.86705,-0.91335,-0.93810,-0.94568,-0.93996,-0.92472,-0.90258,-0.87543,-0.84443,-0.81062,-0.77448,-0.73717,-0.70013,-0.66454,-0.63297,-0.60659,-0.58725,-0.57586,-0.57217,-0.57562,-0.58468,-0.59699,-0.60993,-0.62006,-0.62315,-0.61519,-0.59217,-0.55027,-0.48686,-0.40031,-0.29113,-0.16178,-0.01594,0.13964,0.29765,0.44896,0.58540
0,0,0,-1.42633,-1.40168,-1.35781,-1.29584,-1.21745,-1.12572,-1.02490,-0.91938,-0.81340,-0.71149,-0.61705,-0.53302,-0.46050,-0.40086,-0.35420,-0.31942,-0.29520,-0.27876,-0.26668,-0.25549,-0.24056,-0.21803,-0.18397,-0.13609,-0.07354,0.00209,0.08745,0.17777,0.26654,0.34731,0.41382,0.46150,0.48794,0.49267,0.47755,0.44658,0.40423,0.35557,0.30573,0.25841,0.21626,0.18015,0.15047,0.12651,0.10678,0.09029,0.07634,0.06433,0.05476,0.04842,0.04601,0.04809,0.05443,0.06453,0.07660,0.08827,0.09650,0.09902,0.09296,0.07701,0.05121,0.01686,-0.02340,-0.06582,-0.10497,-0.13602,-0.15333,-0.15287,-0.13110,-0.08599,-0.01697,0.07471,0.18600,0.31260,0.44837,0.58653,0.71967,0.83929,0.93747,1.00694,1.04153,1.03691,0.99036,0.90231,0.77513,0.61414,0.42613,0.21983,0.00450,-0.21130,-0.41912,-0.61258,-0.78676,-0.93984,-1.07038,-1.17924,-1.26736,-1.33610,-1.38609,-1.41797,-1.43151
0,0,0,0.93953,0.94697,0.92980,0.88874,0.82436,0.73753,0.62956,0.50176,0.35707,0.19882,0.03169,-0.13892,-0.30642,-0.46465,-0.60734,-0.72875,-0.82503,-0.89380,-0.93453,-0.94795,-0.93751,-0.90727,-0.86285,-0.81000,-0.75536,-0.70529,-0.66543,-0.64087,-0.63489,-0.64983,-0.68601,-0.74237,-0.81521,-0.90018,-0.99133,-1.08183,-1.16457,-1.23272,-1.28013,-1.30232,-1.29638,-1.26080,-1.19684,-1.10773,-0.99885,-0.87789,-0.75334,-0.63451,-0.53054,-0.44925,-0.39676,-0.37656,-0.38882,-0.43090,-0.49752,-0.58145,-0.67472,-0.76923,-0.85765,-0.93452,-0.99567,-1.03904,-1.06359,-1.06963,-1.05745,-1.02809,-0.98232,-0.92141,-0.84672,-0.76156,-0.66977,-0.57688,-0.48949,-0.41512,-0.36089,-0.33286,-0.33459,-0.36772,-0.42970,-0.51528,-0.61623,-0.72156,-0.82043,-0.90196,-0.95596,-0.97566,-0.95646,-0.89774,-0.80151,-0.67244,-0.51699,-0.34298,-0.15916,0.02678,0.20696,0.37549,0.52728,0.65836,0.76622,0.84946,0.90709
0,0,0,-0.06924,-0.14751,-0.20856,-0.25579,-0.29404,-0.32841,-0.36362,-0.40417,-0.45177,-0.50772,-0.57047,-0.63776,-0.70593,-0.77081,-0.82843,-0.87526,-0.90929,-0.92941,-0.93695,-0.93456,-0.92586,-0.91576,-0.90951,-0.91203,-0.92645,-0.95384,-0.99441,-1.04524,-1.10269,-1.16057,-1.21369,-1.25590,-1.28283,-1.29092,-1.27828,-1.24495,-1.19186,-1.12155,-1.03655,-0.93965,-0.83436,-0.72324,-0.60889,-0.49352,-0.37856,-0.26577,-0.15640,-0.05098,0.05024,0.14811,0.24364,0.33865,0.43540,0.53600,0.64264,0.75606,0.87630,1.00208,1.13075,1.25888,1.38200,1.49539,1.59495,1.67631,1.73644,1.77246,1.78223,1.76402,1.71616,1.63828,1.52937,1.39048,1.22338,1.03328,0.82621,0.61058,0.39693,0.19687,0.02215,-0.11693,-0.21224,-0.25827,-0.25389,-0.20127,-0.10701,0.01994,0.16720,0.32236,0.47183,0.60285,0.70485,0.77055,0.79515,0.77836,0.72285,0.63467,0.52240,0.39618,0.26590,0.14052,0.02740
0,0,0,0.50183,0.51158,0.51873,0.52281,0.52364,0.52010,0.51184,0.49786,0.47789,0.45200,0.42054,0.38522,0.34755,0.30895,0.27148,0.23622,0.20296,0.17169,0.14042,0.10715,0.06913,0.02413,-0.02939,-0.09255,-0.16486,-0.24385,-0.32617,-0.40798,-0.48424,-0.55051,-0.60295,-0.63835,-0.65503,-0.65284,-0.63351,-0.59932,-0.55437,-0.50303,-0.45061,-0.40167,-0.36106,-0.33293,-0.32011,-0.32526,-0.34927,-0.39259,-0.45454,-0.53328,-0.62690,-0.73245,-0.84673,-0.96714,-1.08937,-1.21034,-1.32626,-1.43360,-1.52865,-1.60778,-1.66690,-1.70285,-1.71264,-1.69386,-1.64609,-1.56884,-1.46427,-1.33562,-1.18763,-1.02627,-0.85815,-0.68991,-0.52785,-0.37679,-0.24116,-0.12251,-0.02120,0.06390,0.13435,0.19312,0.24278,0.28540,0.32253,0.35500,0.38244,0.40465,0.42094,0.43126,0.43523,0.43407,0.42876,0.42154,0.41383,0.40808,0.40521,0.40648,0.41190,0.42107,0.43328,0.44743,0.46220,0.47680,0.49009
0,0,0,-1.22738,-1.05008,-0.85230,-0.64268,-0.42973,-0.22108,-0.02299,0.16055,0.32735,0.47720,0.61116,0.73122,0.83921,0.93498,1.01819,1.08633,1.13535,1.16098,1.15813,1.12264,1.05275,0.94791,0.81054,0.64527,0.45886,0.26049,0.05914,-0.13508,-0.31256,-0.46519,-0.58614,-0.67114,-0.71727,-0.72512,-0.69740,-0.63949,-0.55839,-0.46323,-0.36411,-0.27110,-0.19389,-0.14176,-0.12072,-0.13523,-0.18688,-0.27437,-0.39312,-0.53638,-0.69551,-0.86045,-1.02073,-1.16601,-1.28767,-1.37849,-1.43416,-1.45324,-1.43720,-1.39016,-1.31848,-1.22966,-1.13206,-1.03347,-0.94191,-0.86256,-0.79940,-0.75510,-0.72975,-0.72256,-0.73127,-0.75291,-0.78429,-0.82258,-0.86482,-0.90833,-0.95126,-0.99226,-1.03031,-1.06480,-1.09527,-1.12162,-1.14366,-1.16103,-1.17456,-1.18500,-1.19393,-1.20320,-1.21554,-1.23371,-1.26003,-1.29588,-1.34231,-1.39698,-1.45707,-1.51736,-1.57119,-1.61067,-1.62833,-1.61777,-1.57365,-1.49336,-1.37706
0,0,0,-1.08756,-0.95378,-0.80781,-0.65676,-0.50740,-0.36524,-0.23390,-0.11660,-0.01418,0.07262,0.14488,0.20236,0.24527,0.27291,0.28394,0.27704,0.25068,0.20360,0.13634,0.04975,-0.05233,-0.16509,-0.28217,-0.39646,-0.50136,-0.59087,-0.66126,-0.71118,-0.74264,-0.75998,-0.77013,-0.78156,-0.80240,-0.84009,-0.89861,-0.97919,-1.07913,-1.19190,-1.30837,-1.41741,-1.50732,-1.56693,-1.58683,-1.56030,-1.48393,-1.35759,-1.18431,-0.96932,-0.72059,-0.44661,-0.15753,0.13729,0.42862,0.70745,0.96697,1.20143,1.40628,1.57977,1.72072,1.83047,1.90998,1.96112,1.98642,1.98721,1.96513,1.92124,1.85563,1.76931,1.66292,1.53785,1.39651,1.24147,1.07633,0.90527,0.73242,0.56219,0.39816,0.24334,0.09989,-0.03066,-0.14859,-0.25369,-0.34762,-0.43211,-0.50981,-0.58380,-0.65697,-0.73193,-0.81066,-0.89390,-0.98119,-1.07026,-1.15786,-1.23900,-1.30808,-1.35910,-1.38637,-1.38586,-1.35485,-1.29321,-1.20276
0,0,0,-0.80937,-0.67416,-0.54479,-0.42397,-0.31312,-0.21294,-0.12168,-0.03633,0.04667,0.13269,0.22670,0.33306,0.45471,0.59248,0.74416,0.90526,1.06818,1.22305,1.35911,1.46458,1.53002,1.54781,1.51426,1.42988,1.29990,1.13443,0.94734,0.75512,0.57560,0.42642,0.32303,0.27703,0.29661,0.38407,0.53598,0.74415,0.99628,1.27647,1.56727,1.85081,2.11016,2.33117,2.50248,2.61729,2.67239,2.66795,2.60761,2.49752,2.34504,2.15753,1.94241,1.70719,1.45663,1.19558,0.92779,0.65701,0.38697,0.12143,-0.13499,-0.37702,-0.60000,-0.79872,-0.96912,-1.10771,-1.21283,-1.28437,-1.32376,-1.33403,-1.31943,-1.28503,-1.23655,-1.18085,-1.12413,-1.07292,-1.03287,-1.00867,-1.00440,-1.02179,-1.06112,-1.12076,-1.19749,-1.28629,-1.38132,-1.47753,-1.56865,-1.64984,-1.71751,-1.76905,-1.80294,-1.81873,-1.81642,-1.79638,-1.75919,-1.70541,-1.63577,-1.55083,-1.45126,-1.33874,-1.21554,-1.08396,-0.94721
0,0,0,1.08257,1.01064,0.95058,0.90701,0.88334,0.88121,0.90067,0.93888,0.99106,1.05094,1.11054,1.16175,1.19648,1.20735,1.18957,1.14034,1.05994,0.95192,0.82160,0.67729,0.52778,0.38247,0.24986,0.13749,0.05004,-0.00972,-0.04206,-0.04855,-0.03158,0.00478,0.05678,0.12113,0.19587,0.27944,0.37048,0.46838,0.57183,0.67825,0.78540,0.88889,0.98436,1.06800,1.13603,1.18621,1.21771,1.23161,1.23101,1.21885,1.19979,1.17759,1.15548,1.13523,1.11671,1.09927,1.08038,1.05816,1.03014,0.99562,0.95560,0.91284,0.87159,0.83788,0.81783,0.81848,0.84454,0.89980,0.98457,1.09626,1.23003,1.37757,1.52966,1.67556,1.80540,1.90954,1.98100,2.01551,2.01226,1.97366,1.90427,1.81160,1.70498,1.59434,1.48897,1.39709,1.32521,1.27736,1.25432,1.25516,1.27553,1.30988,1.35188,1.39414,1.43011,1.45413,1.46206,1.45162,1.42204,1.37436,1.31226,1.23922,1.16080
