A,B,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99,_q100
0,0,0.06240,0.09091,0.11258,0.12698,0.13393,0.13321,0.12507,0.10988,0.08819,0.06050,0.02723,-0.01104,-0.05346,-0.10021,-0.15036,-0.20420,-0.26103,-0.32107,-0.38388,-0.44956,-0.51813,-0.58956,-0.66361,-0.74015,-0.81876,-0.89889,-0.97986,-1.06075,-1.14071,-1.21825,-1.29217,-1.36105,-1.42343,-1.47759,-1.52195,-1.55517,-1.57586,-1.58261,-1.57493,-1.55169,-1.51278,-1.45845,-1.38855,-1.30388,-1.20538,-1.09437,-0.97233,-0.84087,-0.70166,-0.55657,-0.40741,-0.25593,-0.10391,0.04712,0.19552,0.33994,0.47922,0.61261,0.73872,0.85676,0.96578,1.06475,1.15308,1.23004,1.29469,1.34629,1.38426,1.40803,1.41687,1.41031,1.38859,1.35160,1.29970,1.23335,1.15364,1.06222,0.96036,0.85040,0.73433,0.61452,0.49378,0.37471,0.25999,0.15207,0.05305,-0.03472,-0.10979,-0.17118,-0.21801,-0.25001,-0.26751,-0.27139,-0.26291,-0.24360,-0.21533,-0.17998,-0.13979,-0.09679,-0.05312,-0.01114,0.02804
0,0,0.43262,0.46584,0.49401,0.51711,0.53521,0.54824,0.55687,0.56112,0.56128,0.55780,0.55102,0.54138,0.52947,0.51547,0.49999,0.48341,0.46639,0.44901,0.43183,0.41520,0.39950,0.38536,0.37273,0.36186,0.35315,0.34651,0.34207,0.33994,0.33989,0.34208,0.34654,0.35310,0.36154,0.37166,0.38342,0.39666,0.41111,0.42632,0.44211,0.45810,0.47392,0.48894,0.50295,0.51560,0.52642,0.53506,0.54107,0.54437,0.54458,0.54166,0.53535,0.52571,0.51264,0.49641,0.47692,0.45414,0.42845,0.39986,0.36866,0.33494,0.29915,0.26125,0.22180,0.18070,0.13839,0.09515,0.05123,0.00701,-0.03716,-0.08090,-0.12375,-0.16524,-0.20516,-0.24292,-0.27784,-0.30948,-0.33760,-0.36124,-0.38031,-0.39417,-0.40235,-0.40454,-0.40035,-0.38968,-0.37240,-0.34856,-0.31826,-0.28204,-0.24022,-0.19325,-0.14222,-0.08794,-0.03111,0.02690,0.08547,0.14345,0.19983,0.25371,0.30457,0.35165,0.39446
0,0,1.24973,1.32420,1.40075,1.47743,1.55237,1.62379,1.69082,1.75152,1.80581,1.85333,1.89371,1.92778,1.95584,1.97919,1.99927,2.01715,2.03429,2.05265,2.07314,2.09756,2.12690,2.16239,2.20434,2.25371,2.31013,2.37350,2.44375,2.51950,2.59996,2.68349,2.76866,2.85393,2.93730,3.01674,3.09073,3.15742,3.21521,3.26292,3.29925,3.32350,3.33561,3.33519,3.32223,3.29749,3.26189,3.21667,3.16319,3.10272,3.03714,2.96787,2.89655,2.82453,2.75313,2.68350,2.61648,2.55283,2.49256,2.43598,2.38323,2.33407,2.28831,2.24556,2.20545,2.16760,2.13135,2.09679,2.06322,2.03080,1.99894,1.96721,1.93578,1.90382,1.87132,1.83794,1.80300,1.76606,1.72697,1.68513,1.64032,1.59217,1.54102,1.48654,1.42933,1.36981,1.30924,1.24852,1.18884,1.13198,1.07917,1.03217,0.99260,0.96192,0.94141,0.93175,0.93365,0.94764,0.97329,1.01037,1.05810,1.11474,1.17924
0,0,0.18357,0.17593,0.15781,0.13118,0.09755,0.05850,0.01611,-0.02819,-0.07241,-0.11542,-0.15572,-0.19267,-0.22504,-0.25272,-0.27528,-0.29301,-0.30608,-0.31512,-0.32082,-0.32404,-0.32578,-0.32664,-0.32796,-0.33006,-0.33405,-0.34029,-0.34938,-0.36119,-0.37623,-0.39405,-0.41450,-0.43690,-0.46098,-0.48615,-0.51158,-0.53642,-0.55962,-0.58072,-0.59862,-0.61297,-0.62294,-0.62784,-0.62696,-0.62035,-0.60731,-0.58777,-0.56190,-0.52991,-0.49168,-0.44799,-0.39915,-0.34612,-0.28997,-0.23203,-0.17362,-0.11596,-0.06100,-0.01005,0.03469,0.07214,0.10006,0.11751,0.12327,0.11642,0.09642,0.06321,0.01657,-0.04261,-0.11320,-0.19363,-0.28198,-0.37599,-0.47310,-0.57083,-0.66579,-0.75548,-0.83699,-0.90796,-0.96606,-1.00927,-1.03655,-1.04673,-1.03960,-1.01516,-0.97423,-0.91782,-0.84805,-0.76689,-0.67699,-0.58066,-0.48102,-0.38103,-0.28308,-0.18996,-0.10380,-0.02686,0.03957,0.09377,0.13545,0.16420,0.18017
0,0,1.39819,1.40362,1.40295,1.39607,1.38277,1.36344,1.33861,1.30851,1.27395,1.23597,1.19541,1.15358,1.11176,1.07134,1.03393,1.00111,0.97387,0.95348,0.94101,0.93718,0.94292,0.95828,0.98324,1.01764,1.06045,1.11104,1.16839,1.23077,1.29676,1.36477,1.43255,1.49853,1.56063,1.61696,1.66593,1.70614,1.73589,1.75442,1.76023,1.75318,1.73296,1.69957,1.65291,1.59394,1.52341,1.44207,1.35174,1.25339,1.14856,1.03907,0.92640,0.81206,0.69797,0.58536,0.47613,0.37128,0.27206,0.17954,0.09462,0.01796,-0.04961,-0.10756,-0.15601,-0.19457,-0.22313,-0.24180,-0.25083,-0.25022,-0.24020,-0.22152,-0.19452,-0.15979,-0.11807,-0.07008,-0.01651,0.04207,0.10446,0.16980,0.23765,0.30709,0.37752,0.44807,0.51851,0.58830,0.65647,0.72319,0.78793,0.85037,0.91044,0.96808,1.02312,1.07516,1.12441,1.17073,1.21368,1.25332,1.28900,1.32071,1.34791,1.37000,1.38683
0,0,0.87139,0.74072,0.61460,0.49525,0.38413,0.28289,0.19348,0.11672,0.05356,0.00481,-0.02903,-0.04759,-0.05074,-0.03947,-0.01416,0.02420,0.07429,0.13430,0.20257,0.27672,0.35490,0.43435,0.51252,0.58681,0.65481,0.71405,0.76228,0.79778,0.81852,0.82322,0.81134,0.78205,0.73558,0.67232,0.59352,0.50079,0.39585,0.28102,0.15901,0.03276,-0.09476,-0.22014,-0.34056,-0.45330,-0.55529,-0.64433,-0.71842,-0.77571,-0.81545,-0.83656,-0.83919,-0.82384,-0.79116,-0.74223,-0.67869,-0.60222,-0.51479,-0.41880,-0.31590,-0.20805,-0.09720,0.01511,0.12767,0.23916,0.34883,0.45607,0.56097,0.66360,0.76369,0.86186,0.95834,1.05350,1.14758,1.24081,1.33332,1.42479,1.51485,1.60331,1.68872,1.77024,1.84680,1.91710,1.97951,2.03261,2.07514,2.10592,2.12377,2.12760,2.11674,2.09094,2.05015,1.99446,1.92465,1.84129,1.74568,1.63922,1.52337,1.39989,1.27114,1.13863,1.00471
0,0,0.99853,1.14718,1.28999,1.42467,1.54943,1.66192,1.76107,1.84521,1.91325,1.96450,1.99867,2.01558,2.01520,1.99819,1.96541,1.91759,1.85635,1.78303,1.69905,1.60632,1.50640,1.40159,1.29355,1.18431,1.07564,0.96972,0.86743,0.77089,0.68163,0.60118,0.53023,0.47029,0.42226,0.38667,0.36428,0.35530,0.36004,0.37824,0.40969,0.45355,0.50920,0.57565,0.65197,0.73690,0.82898,0.92669,1.02875,1.13371,1.23986,1.34586,1.45027,1.55169,1.64864,1.73991,1.82402,1.89985,1.96615,2.02162,2.06513,2.09549,2.11158,2.11253,2.09754,2.06641,2.01860,1.95424,1.87340,1.77719,1.66639,1.54236,1.40676,1.26160,1.10888,0.95116,0.79088,0.63063,0.47297,0.32039,0.17536,0.04027,-0.08296,-0.19262,-0.28676,-0.36431,-0.42424,-0.46583,-0.48827,-0.49175,-0.47598,-0.44149,-0.38875,-0.31892,-0.23267,-0.13130,-0.01653,0.10989,0.24598,0.39005,0.53951,0.69228,0.84603
0,0,0.50325,0.54078,0.57315,0.59893,0.61751,0.62755,0.62857,0.62056,0.60349,0.57754,0.54352,0.50195,0.45405,0.40099,0.34417,0.28494,0.22455,0.16462,0.10655,0.05153,0.00042,-0.04565,-0.08595,-0.11995,-0.14754,-0.16842,-0.18298,-0.19149,-0.19432,-0.19242,-0.18635,-0.17694,-0.16485,-0.15122,-0.13708,-0.12281,-0.10924,-0.09713,-0.08653,-0.07824,-0.07205,-0.06823,-0.06640,-0.06639,-0.06800,-0.07046,-0.07321,-0.07572,-0.07709,-0.07669,-0.07356,-0.06729,-0.05723,-0.04259,-0.02337,0.00121,0.03075,0.06531,0.10480,0.14844,0.19594,0.24645,0.29914,0.35279,0.40660,0.45917,0.50945,0.55644,0.59897,0.63600,0.66661,0.68991,0.70566,0.71341,0.71273,0.70401,0.68730,0.66293,0.63185,0.59532,0.55389,0.50894,0.46237,0.41516,0.36901,0.32556,0.28610,0.25212,0.22490,0.20506,0.19349,0.19050,0.19597,0.21005,0.23190,0.26044,0.29502,0.33422,0.37618,0.41941,0.46239
0,0,0.49753,0.40132,0.30589,0.21346,0.12545,0.04392,-0.02912,-0.09221,-0.14385,-0.18278,-0.20812,-0.21915,-0.21578,-0.19776,-0.16596,-0.12126,-0.06446,0.00267,0.07831,0.16039,0.24677,0.33521,0.42317,0.50850,0.58879,0.66209,0.72686,0.78130,0.82438,0.85530,0.87349,0.87929,0.87278,0.85457,0.82614,0.78850,0.74351,0.69275,0.63796,0.58099,0.52381,0.46822,0.41544,0.36728,0.32474,0.28861,0.26009,0.23931,0.22643,0.22212,0.22576,0.23721,0.25595,0.28163,0.31352,0.35088,0.39302,0.43948,0.48920,0.54118,0.59491,0.64995,0.70505,0.75993,0.81365,0.86559,0.91523,0.96212,1.00578,1.04595,1.08245,1.11523,1.14434,1.16965,1.19142,1.21030,1.22643,1.24027,1.25216,1.26213,1.27080,1.27788,1.28353,1.28759,1.28956,1.28930,1.28587,1.27879,1.26705,1.25001,1.22709,1.19741,1.16038,1.11547,1.06236,1.00120,0.93215,0.85597,0.77306,0.68488,0.59274
0,0,0.81953,0.89823,0.97308,1.04273,1.10564,1.16080,1.20685,1.24268,1.26801,1.28246,1.28554,1.27777,1.25976,1.23222,1.19633,1.15336,1.10460,1.05211,0.99726,0.94225,0.88865,0.83807,0.79244,0.75309,0.72140,0.69858,0.68555,0.68302,0.69137,0.71066,0.74078,0.78108,0.83125,0.88959,0.95525,1.02659,1.10140,1.17821,1.25454,1.32838,1.39795,1.46086,1.51555,1.56032,1.59357,1.61451,1.62239,1.61665,1.59728,1.56487,1.52010,1.46373,1.39742,1.32211,1.23963,1.15171,1.05975,0.96540,0.86990,0.77469,0.68098,0.58938,0.50089,0.41610,0.33557,0.25960,0.18874,0.12300,0.06242,0.00704,-0.04271,-0.08701,-0.12556,-0.15867,-0.18619,-0.20807,-0.22453,-0.23543,-0.24129,-0.24205,-0.23785,-0.22884,-0.21551,-0.19793,-0.17646,-0.15067,-0.12094,-0.08704,-0.04928,-0.00693,0.03976,0.09115,0.14737,0.20818,0.27358,0.34373,0.41769,0.49504,0.57498,0.65634,0.73834
